Orthogroup	MHP_KM014_genes	MHP_153B_genes
OG0000000	CIB43_RS03015	NB625_RS02230
OG0000000	CIB43_RS02600	NB625_RS01725
OG0000001	CIB43_RS03715	NB625_RS02955
OG0000001	CIB43_RS03670	NB625_RS02910
OG0000002	CIB43_RS03100	NB625_RS02350
OG0000002	CIB43_RS04020	NB625_RS02345
OG0000002	CIB43_RS02610	NB625_RS01730
OG0000003	CIB43_RS02725	NB625_RS01830
OG0000004	CIB43_RS00290	NB625_RS03355
OG0000005	CIB43_RS00810	NB625_RS00100
OG0000005	CIB43_RS00830	NB625_RS00125
OG0000006	CIB43_RS03435	NB625_RS02650
OG0000006	CIB43_RS03420	NB625_RS02500, NB625_RS02645, NB625_RS02470
OG0000007	CIB43_RS03095	NB625_RS02325
OG0000007	CIB43_RS03080	NB625_RS02305
OG0000008	CIB43_RS03225	NB625_RS02460
OG0000009	CIB43_RS00790	NB625_RS00085
OG0000009	CIB43_RS01550	NB625_RS01005
OG0000010	CIB43_RS02735, CIB43_RS00795	NB625_RS01850
OG0000011	CIB43_RS02850	NB625_RS01950
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	NB625_RS02890, NB625_RS01075
OG0000014	CIB43_RS01955	NB625_RS01095
OG0000015	CIB43_RS01235	NB625_RS02065
OG0000015	CIB43_RS01220	NB625_RS01580
OG0000016	CIB43_RS03755	NB625_RS02995
OG0000017	CIB43_RS00855	NB625_RS00160
OG0000017	CIB43_RS03765	NB625_RS03005
OG0000018	CIB43_RS01250	NB625_RS02090
OG0000019	CIB43_RS00115	NB625_RS03175
OG0000019	CIB43_RS03950, CIB43_RS00005	NB625_RS03195
OG0000020	CIB43_RS00635	NB625_RS03695
OG0000021	CIB43_RS02635	NB625_RS01755
OG0000022	CIB43_RS02590	NB625_RS01720
OG0000023	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195	NB625_RS01320
OG0000024	CIB43_RS02140	NB625_RS01275
OG0000025	CIB43_RS02585	NB625_RS01715
OG0000026	CIB43_RS02565	NB625_RS01695
OG0000028	CIB43_RS03325	NB625_RS02565
OG0000031	CIB43_RS01295	NB625_RS02145
OG0000035	CIB43_RS00280	NB625_RS03365
OG0000036	CIB43_RS00815	NB625_RS00110
OG0000038	CIB43_RS02625	NB625_RS01745
OG0000039	CIB43_RS02500	NB625_RS01615
OG0000041	CIB43_RS03980	NB625_RS01015
OG0000042	CIB43_RS03855	NB625_RS03095
OG0000043	CIB43_RS02825	NB625_RS01915
OG0000043	CIB43_RS00070	NB625_RS01915
OG0000044	CIB43_RS02665	NB625_RS01790
OG0000045	CIB43_RS02520	NB625_RS01620
OG0000048	CIB43_RS02995	NB625_RS02195
OG0000049	CIB43_RS00150	NB625_RS03205
OG0000051	CIB43_RS03575	NB625_RS02810
OG0000052	CIB43_RS00775	NB625_RS00075
OG0000053	CIB43_RS02315	NB625_RS01450, NB625_RS01455
OG0000054	CIB43_RS03395	NB625_RS02620
OG0000055	CIB43_RS00835	NB625_RS00135
OG0000056	CIB43_RS00630, CIB43_RS03960	NB625_RS03680
OG0000057	CIB43_RS03840	NB625_RS03080
OG0000058	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085	NB625_RS02155
OG0000058	CIB43_RS01300	NB625_RS02150
OG0000059	CIB43_RS00080, CIB43_RS01165	NB625_RS02125
OG0000060	CIB43_RS00780	NB625_RS00080
OG0000061	CIB43_RS02745	NB625_RS01860
OG0000062	CIB43_RS00675	NB625_RS03725
OG0000063	CIB43_RS00660	NB625_RS03720
OG0000064	CIB43_RS00650	NB625_RS03710
OG0000065	CIB43_RS03145	NB625_RS02395
OG0000068	CIB43_RS01520	NB625_RS01040
OG0000069	CIB43_RS03740	NB625_RS02975
OG0000070	CIB43_RS03400	NB625_RS02625
OG0000071	CIB43_RS00360	NB625_RS03430
OG0000072	CIB43_RS00375	NB625_RS03435
OG0000073	CIB43_RS01580	NB625_RS00980
OG0000075	CIB43_RS01060	NB625_RS00345
OG0000077	CIB43_RS01330	NB625_RS00445
