Orthogroup	MHP_KM014_genes	MHP_111A_genes
OG0000000	CIB43_RS02595	NB623_RS01845
OG0000000	CIB43_RS02600	NB623_RS01850
OG0000001	CIB43_RS03715	NB623_RS02960
OG0000001	CIB43_RS03670	NB623_RS02915, NB623_RS02910
OG0000002	CIB43_RS03100	NB623_RS02345
OG0000003	CIB43_RS01390	NB623_RS00495, NB623_RS00505
OG0000003	CIB43_RS02725	NB623_RS02255
OG0000004	CIB43_RS00290	NB623_RS03360
OG0000004	CIB43_RS00275	NB623_RS03350
OG0000005	CIB43_RS00810	NB623_RS00105
OG0000006	CIB43_RS03435	NB623_RS02650
OG0000006	CIB43_RS03420	NB623_RS02495, NB623_RS02465
OG0000007	CIB43_RS03095	NB623_RS01045
OG0000007	CIB43_RS03080	NB623_RS01050
OG0000007	CIB43_RS03075	NB623_RS01060
OG0000008	CIB43_RS03225	NB623_RS02455
OG0000009	CIB43_RS00790	NB623_RS00090
OG0000009	CIB43_RS01550	NB623_RS00680
OG0000010	CIB43_RS02735	NB623_RS02245
OG0000011	CIB43_RS02850	NB623_RS02145
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	NB623_RS02340
OG0000014	CIB43_RS01955	NB623_RS01220
OG0000015	CIB43_RS01235	NB623_RS01925
OG0000017	CIB43_RS00855	NB623_RS00145
OG0000017	CIB43_RS03765	NB623_RS03015
OG0000018	CIB43_RS01250	NB623_RS01950
OG0000019	CIB43_RS00115	NB623_RS03175
OG0000020	CIB43_RS00635	NB623_RS03745
OG0000021	CIB43_RS02635	NB623_RS02325
OG0000022	CIB43_RS02590	NB623_RS01840
OG0000023	CIB43_RS01245	NB623_RS01940
OG0000024	CIB43_RS02140	NB623_RS01395
OG0000025	CIB43_RS02585	NB623_RS01835
OG0000026	CIB43_RS02565	NB623_RS01815
OG0000027	CIB43_RS00440	NB623_RS03535
OG0000028	CIB43_RS03325	NB623_RS02565, NB623_RS02570
OG0000030	CIB43_RS00435	NB623_RS03530
OG0000031	CIB43_RS01295	NB623_RS01985
OG0000035	CIB43_RS00280, CIB43_RS00300	NB623_RS03355
OG0000035	CIB43_RS00270	NB623_RS03345
OG0000036	CIB43_RS00815	NB623_RS00120
OG0000037	CIB43_RS02475, CIB43_RS02465	NB623_RS01700
OG0000038	CIB43_RS02625	NB623_RS00485, NB623_RS02330
OG0000039	CIB43_RS02500	NB623_RS01730
OG0000041	CIB43_RS03980	NB623_RS00670
OG0000042	CIB43_RS03855	NB623_RS03100
OG0000043	CIB43_RS00070	NB623_RS02180
OG0000044	CIB43_RS02665	NB623_RS02300
OG0000045	CIB43_RS02520	NB623_RS01740, NB623_RS01735
OG0000048	CIB43_RS02995	NB623_RS01920
OG0000049	CIB43_RS00150	NB623_RS03205
OG0000051	CIB43_RS03575	NB623_RS02820
OG0000052	CIB43_RS00775	NB623_RS00080
OG0000053	CIB43_RS02315	NB623_RS01570
OG0000054	CIB43_RS03395	NB623_RS02625
OG0000055	CIB43_RS00835	NB623_RS00125
OG0000056	CIB43_RS00630, CIB43_RS03960	NB623_RS03725
OG0000057	CIB43_RS03840	NB623_RS03085
OG0000058	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085	NB623_RS01995
OG0000058	CIB43_RS01300	NB623_RS01990
OG0000060	CIB43_RS00780	NB623_RS00085
OG0000061	CIB43_RS02745	NB623_RS02235
OG0000062	CIB43_RS00675	NB623_RS03775
OG0000063	CIB43_RS00660	NB623_RS03770
OG0000064	CIB43_RS00650	NB623_RS03760
