Orthogroup	MHP_KM014_genes	MHP_TB1_genes
OG0000000	CIB43_RS02595, CIB43_RS02600	B5M19_RS02095
OG0000001	CIB43_RS02150	B5M19_RS04385
OG0000001	CIB43_RS03715	B5M19_RS02555
OG0000001	CIB43_RS03670	B5M19_RS02505, B5M19_RS02510
OG0000002	CIB43_RS03100	B5M19_RS04465
OG0000002	CIB43_RS02610	B5M19_RS02105
OG0000003	CIB43_RS02725	B5M19_RS03885
OG0000005	CIB43_RS00810	B5M19_RS00020
OG0000006	CIB43_RS03435	B5M19_RS03635, B5M19_RS03630
OG0000006	CIB43_RS03420	B5M19_RS03605, B5M19_RS02695
OG0000008	CIB43_RS03225	B5M19_RS03790
OG0000009	CIB43_RS01550	B5M19_RS04265
OG0000010	CIB43_RS02735	B5M19_RS00670
OG0000010	CIB43_RS00795	B5M19_RS00015
OG0000011	CIB43_RS02850	B5M19_RS04080
OG0000014	CIB43_RS01955	B5M19_RS03715
OG0000015	CIB43_RS01235	B5M19_RS02855
OG0000015	CIB43_RS00010	B5M19_RS02335
OG0000015	CIB43_RS01220	B5M19_RS03260
OG0000016	CIB43_RS03755	B5M19_RS01425
OG0000017	CIB43_RS00855	B5M19_RS00065
OG0000017	CIB43_RS03765	B5M19_RS01415
OG0000018	CIB43_RS01250	B5M19_RS04450
OG0000018	CIB43_RS01185	B5M19_RS04445
OG0000020	CIB43_RS00635	B5M19_RS02010
OG0000021	CIB43_RS02635	B5M19_RS03625
OG0000022	CIB43_RS02590	B5M19_RS02090
OG0000023	CIB43_RS00020	B5M19_RS04365
OG0000024	CIB43_RS02140	B5M19_RS04395
OG0000025	CIB43_RS02585	B5M19_RS02085
OG0000026	CIB43_RS02565	B5M19_RS02065
OG0000027	CIB43_RS00440	B5M19_RS00550
OG0000028	CIB43_RS03340	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475
OG0000030	CIB43_RS00435	B5M19_RS00555
OG0000031	CIB43_RS01295, CIB43_RS00065	B5M19_RS04360
OG0000035	CIB43_RS00280	B5M19_RS01610
OG0000035	CIB43_RS00270	B5M19_RS04235
OG0000036	CIB43_RS00815	B5M19_RS00040
OG0000039	CIB43_RS02500	B5M19_RS03320
OG0000041	CIB43_RS03980	B5M19_RS03050
OG0000042	CIB43_RS03855	B5M19_RS01320
OG0000043	CIB43_RS02825	B5M19_RS00735
OG0000043	CIB43_RS00070	B5M19_RS02270
OG0000044	CIB43_RS02665	B5M19_RS00620
OG0000045	CIB43_RS02520	B5M19_RS03325
OG0000047	CIB43_RS01205	B5M19_RS03245
OG0000047	CIB43_RS00045	B5M19_RS02295
OG0000048	CIB43_RS02995	B5M19_RS03695
OG0000049	CIB43_RS00150	B5M19_RS01455
OG0000051	CIB43_RS03575	B5M19_RS04110, B5M19_RS00915
OG0000052	CIB43_RS00775	B5M19_RS00005
OG0000053	CIB43_RS02315	B5M19_RS01120
OG0000054	CIB43_RS03395	B5M19_RS02800
OG0000055	CIB43_RS00835	B5M19_RS00045
OG0000056	CIB43_RS00630, CIB43_RS03960	B5M19_RS00375
OG0000057	CIB43_RS03840	B5M19_RS01340
OG0000058	CIB43_RS00085	B5M19_RS02250
OG0000058	CIB43_RS01300	B5M19_RS02905
OG0000059	CIB43_RS00080, CIB43_RS01165	B5M19_RS02265
OG0000060	CIB43_RS00780	B5M19_RS04370, B5M19_RS03995
OG0000061	CIB43_RS02745	B5M19_RS03265
OG0000062	CIB43_RS00675	B5M19_RS01970
OG0000063	CIB43_RS00660	B5M19_RS01975
OG0000064	CIB43_RS00650	B5M19_RS01990
OG0000065	CIB43_RS03145	B5M19_RS02925
OG0000068	CIB43_RS01520	B5M19_RS04480
OG0000069	CIB43_RS03740	B5M19_RS03520
OG0000070	CIB43_RS03400	B5M19_RS02795
OG0000071	CIB43_RS00360	B5M19_RS02995
OG0000072	CIB43_RS00375	B5M19_RS02990
OG0000073	CIB43_RS01580	B5M19_RS01840
OG0000075	CIB43_RS01060	B5M19_RS00265
OG0000077	CIB43_RS01330	B5M19_RS03440
OG0000078	CIB43_RS02560	B5M19_RS02055
OG0000079	CIB43_RS03480	B5M19_RS01010
OG0000080	CIB43_RS03525	B5M19_RS03900
OG0000081	CIB43_RS01055	B5M19_RS00260
OG0000082	CIB43_RS03315	B5M19_RS04415
OG0000083	CIB43_RS02935	B5M19_RS00845
OG0000084	CIB43_RS02955	B5M19_RS02760
OG0000086	CIB43_RS02970	B5M19_RS02745
OG0000087	CIB43_RS02975	B5M19_RS02730
OG0000088	CIB43_RS02980	B5M19_RS02725
OG0000089	CIB43_RS02990	B5M19_RS03690
OG0000090	CIB43_RS00770	B5M19_RS03775
OG0000091	CIB43_RS00760	B5M19_RS04280
OG0000092	CIB43_RS00745	B5M19_RS01895
OG0000093	CIB43_RS00735	B5M19_RS01900
OG0000094	CIB43_RS00730	B5M19_RS01905
OG0000095	CIB43_RS00715	B5M19_RS04290
OG0000096	CIB43_RS00700	B5M19_RS01935
OG0000097	CIB43_RS00690	B5M19_RS01955
OG0000100	CIB43_RS00610	B5M19_RS00385
OG0000101	CIB43_RS00600	B5M19_RS00390
OG0000102	CIB43_RS02580	B5M19_RS02080
OG0000103	CIB43_RS03110	B5M19_RS02960
OG0000104	CIB43_RS03120	B5M19_RS04460
OG0000105	CIB43_RS03130	B5M19_RS02940
OG0000106	CIB43_RS03140	B5M19_RS02930
OG0000107	CIB43_RS03150	B5M19_RS04455
OG0000108	CIB43_RS03155	B5M19_RS04620
OG0000109	CIB43_RS03160	B5M19_RS02910
OG0000110	CIB43_RS03290	B5M19_RS02660
OG0000111	CIB43_RS03285	B5M19_RS02665
OG0000112	CIB43_RS03280	B5M19_RS02675
OG0000113	CIB43_RS03260	B5M19_RS02700
OG0000114	CIB43_RS03245	B5M19_RS02710
OG0000115	CIB43_RS03230	B5M19_RS03610
OG0000116	CIB43_RS02165	B5M19_RS02580
OG0000117	CIB43_RS02170	B5M19_RS02575
OG0000118	CIB43_RS02205	B5M19_RS01235
OG0000119	CIB43_RS02210	B5M19_RS01230
OG0000120	CIB43_RS02230	B5M19_RS01215
OG0000121	CIB43_RS02250	B5M19_RS01190
OG0000122	CIB43_RS02255	B5M19_RS01185
OG0000123	CIB43_RS02275	B5M19_RS01165
OG0000124	CIB43_RS02280	B5M19_RS01160
OG0000125	CIB43_RS02285	B5M19_RS01155
OG0000126	CIB43_RS02295	B5M19_RS01145
OG0000127	CIB43_RS02305	B5M19_RS01135
OG0000128	CIB43_RS02320	B5M19_RS01115
OG0000129	CIB43_RS02330	B5M19_RS01110
OG0000130	CIB43_RS02335	B5M19_RS01100
OG0000131	CIB43_RS02370	B5M19_RS01075
OG0000132	CIB43_RS02385	B5M19_RS01060
OG0000133	CIB43_RS01415	B5M19_RS02380
OG0000134	CIB43_RS01425	B5M19_RS02385
OG0000135	CIB43_RS01435	B5M19_RS02400
OG0000136	CIB43_RS01440	B5M19_RS02405
OG0000137	CIB43_RS01470	B5M19_RS02445
OG0000138	CIB43_RS01495	B5M19_RS03090
OG0000139	CIB43_RS01525	B5M19_RS03070
OG0000140	CIB43_RS01540	B5M19_RS03065
OG0000141	CIB43_RS03850	B5M19_RS01330
OG0000142	CIB43_RS03845	B5M19_RS01335
OG0000143	CIB43_RS03835	B5M19_RS01360
OG0000144	CIB43_RS03815	B5M19_RS01370
OG0000145	CIB43_RS03805	B5M19_RS01380
OG0000146	CIB43_RS03790	B5M19_RS01390
OG0000147	CIB43_RS03785	B5M19_RS01395
OG0000148	CIB43_RS03780	B5M19_RS01410
OG0000149	CIB43_RS03760	B5M19_RS01420
OG0000150	CIB43_RS03745	B5M19_RS04180
OG0000151	CIB43_RS03700	B5M19_RS02540
OG0000152	CIB43_RS03695	B5M19_RS02535
OG0000153	CIB43_RS03690	B5M19_RS02530
OG0000154	CIB43_RS03680	B5M19_RS02520
OG0000155	CIB43_RS03645	B5M19_RS02480
OG0000156	CIB43_RS03635	B5M19_RS00860
OG0000157	CIB43_RS03625	B5M19_RS00865
OG0000158	CIB43_RS03620	B5M19_RS04580
OG0000159	CIB43_RS03385	B5M19_RS02810
OG0000160	CIB43_RS03380	B5M19_RS02815
OG0000161	CIB43_RS03375	B5M19_RS02820
OG0000163	CIB43_RS03370	B5M19_RS02835
OG0000164	CIB43_RS02495	B5M19_RS04495
OG0000165	CIB43_RS02840	B5M19_RS00760
OG0000166	CIB43_RS02860	B5M19_RS00785
OG0000167	CIB43_RS02875	B5M19_RS00800
OG0000168	CIB43_RS02880	B5M19_RS00805
OG0000169	CIB43_RS00130	B5M19_RS01450
OG0000171	CIB43_RS00155	B5M19_RS01475
OG0000172	CIB43_RS00160	B5M19_RS01480
OG0000173	CIB43_RS00165	B5M19_RS01490
OG0000174	CIB43_RS00170	B5M19_RS01495
OG0000175	CIB43_RS00190	B5M19_RS01510
OG0000176	CIB43_RS00235	B5M19_RS01560
OG0000177	CIB43_RS00240	B5M19_RS01565
OG0000178	CIB43_RS00245	B5M19_RS04200
OG0000179	CIB43_RS00255	B5M19_RS01580
OG0000180	CIB43_RS00260	B5M19_RS01585
OG0000181	CIB43_RS00310	B5M19_RS03045
OG0000182	CIB43_RS00320	B5M19_RS03035
OG0000183	CIB43_RS00355	B5M19_RS03000
OG0000184	CIB43_RS00430	B5M19_RS03105
OG0000185	CIB43_RS00380	B5M19_RS03120
OG0000186	CIB43_RS02400	B5M19_RS03550
OG0000187	CIB43_RS02410	B5M19_RS03535
OG0000188	CIB43_RS02425	B5M19_RS03525
OG0000189	CIB43_RS03200	B5M19_RS03210
OG0000190	CIB43_RS03195	B5M19_RS03215
