Orthogroup	MHP_KM014_genes	MFC_MF29_genes
OG0000000	CIB43_RS02600	DR095_RS01240
OG0000001	CIB43_RS02150, CIB43_RS03715, CIB43_RS03670	DR095_RS00305, DR095_RS00300
OG0000002	CIB43_RS02610	DR095_RS03820
OG0000007	CIB43_RS03095	DR095_RS03020
OG0000007	CIB43_RS03080	DR095_RS03025
OG0000007	CIB43_RS03075	DR095_RS03035
OG0000011	CIB43_RS02845, CIB43_RS02850	DR095_RS03240, DR095_RS03235
OG0000014	CIB43_RS01485, CIB43_RS01955	DR095_RS03760
OG0000015	CIB43_RS00010	DR095_RS01695
OG0000016	CIB43_RS03755	DR095_RS00250
OG0000017	CIB43_RS00855	DR095_RS01000
OG0000017	CIB43_RS03765	DR095_RS00240
OG0000018	CIB43_RS01250, CIB43_RS01185	DR095_RS03835
OG0000019	CIB43_RS03950, CIB43_RS00005	DR095_RS03740
OG0000020	CIB43_RS00635	DR095_RS03805
OG0000022	CIB43_RS02590	DR095_RS03815
OG0000023	CIB43_RS00020	DR095_RS03490
OG0000023	CIB43_RS01245, CIB43_RS01195	DR095_RS01955
OG0000024	CIB43_RS02140	DR095_RS00310
OG0000025	CIB43_RS02585	DR095_RS01230
OG0000026	CIB43_RS02565	DR095_RS01450
OG0000027	CIB43_RS00440	DR095_RS03960
OG0000028	CIB43_RS03340	DR095_RS00595
OG0000030	CIB43_RS00435	DR095_RS03965
OG0000031	CIB43_RS00065	DR095_RS01640
OG0000039	CIB43_RS02500	DR095_RS00145
OG0000042	CIB43_RS03855	DR095_RS00140, DR095_RS00285
OG0000043	CIB43_RS00070	DR095_RS02735
OG0000045	CIB43_RS02520	DR095_RS03295, DR095_RS03300
OG0000047	CIB43_RS00045	DR095_RS03200
OG0000048	CIB43_RS02995	DR095_RS03095, DR095_RS02830
OG0000051	CIB43_RS03575	DR095_RS01545
OG0000052	CIB43_RS00775	DR095_RS01040
OG0000053	CIB43_RS02315	DR095_RS03995, DR095_RS01535
OG0000054	CIB43_RS03395	DR095_RS00625
OG0000055	CIB43_RS00835	DR095_RS01035
OG0000056	CIB43_RS00630, CIB43_RS03960	DR095_RS01205
OG0000057	CIB43_RS03840	DR095_RS00165
OG0000058	CIB43_RS00085	DR095_RS01620
OG0000059	CIB43_RS00080, CIB43_RS01165	DR095_RS03480
OG0000062	CIB43_RS00675	DR095_RS01150
OG0000063	CIB43_RS00660	DR095_RS01155
OG0000064	CIB43_RS00650	DR095_RS01165
OG0000065	CIB43_RS03145	DR095_RS01310
OG0000067	CIB43_RS01410	DR095_RS00010
OG0000068	CIB43_RS01520	DR095_RS00120
OG0000069	CIB43_RS03740	DR095_RS00275
OG0000070	CIB43_RS03400	DR095_RS00605
OG0000071	CIB43_RS00360	DR095_RS01935
OG0000072	CIB43_RS00375	DR095_RS03885
OG0000073	CIB43_RS01580	DR095_RS02080
OG0000075	CIB43_RS01060	DR095_RS00815
OG0000077	CIB43_RS01330	DR095_RS00715
OG0000078	CIB43_RS02560	DR095_RS00415
OG0000079	CIB43_RS03480	DR095_RS00525
OG0000080	CIB43_RS03525	DR095_RS03375
OG0000081	CIB43_RS01055	DR095_RS00820
OG0000082	CIB43_RS03315	DR095_RS00585
OG0000083	CIB43_RS02935	DR095_RS03045
OG0000084	CIB43_RS02955	DR095_RS02880
OG0000086	CIB43_RS02970	DR095_RS03990
OG0000087	CIB43_RS02975	DR095_RS02850
OG0000088	CIB43_RS02980	DR095_RS02845
OG0000089	CIB43_RS02990	DR095_RS02835
OG0000090	CIB43_RS00770	DR095_RS01045
OG0000091	CIB43_RS00760	DR095_RS01060
OG0000092	CIB43_RS00745	DR095_RS01075
OG0000093	CIB43_RS00735	DR095_RS01080
OG0000094	CIB43_RS00730	DR095_RS01085
OG0000095	CIB43_RS00715	DR095_RS01110
OG0000096	CIB43_RS00700	DR095_RS01115
OG0000097	CIB43_RS00690	DR095_RS01135
OG0000100	CIB43_RS00610	DR095_RS01210
OG0000101	CIB43_RS00600	DR095_RS01215
OG0000102	CIB43_RS02580	DR095_RS01225
OG0000103	CIB43_RS03110	DR095_RS01275
OG0000104	CIB43_RS03120	DR095_RS01280
OG0000105	CIB43_RS03130	DR095_RS01295
OG0000106	CIB43_RS03140	DR095_RS01305
OG0000107	CIB43_RS03150	DR095_RS01315
OG0000108	CIB43_RS03155	DR095_RS01320
OG0000109	CIB43_RS03160	DR095_RS01325
OG0000110	CIB43_RS03290	DR095_RS01330
OG0000111	CIB43_RS03285	DR095_RS01335
OG0000112	CIB43_RS03280	DR095_RS01345
OG0000113	CIB43_RS03260	DR095_RS03830
OG0000114	CIB43_RS03245	DR095_RS01370
OG0000115	CIB43_RS03230	DR095_RS01380
OG0000116	CIB43_RS02165	DR095_RS01390
OG0000117	CIB43_RS02170	DR095_RS01395
OG0000118	CIB43_RS02205	DR095_RS01425
OG0000119	CIB43_RS02210	DR095_RS01430
OG0000120	CIB43_RS02230	DR095_RS01445
OG0000121	CIB43_RS02250	DR095_RS01470
