Orthogroup	MHP_MHP696_genes	MHP_7448_genes
OG0000000	DR090_RS03565	MHP7448_RS02135
OG0000000	DR090_RS04125	MHP7448_RS01735
OG0000000	DR090_RS04630	MHP7448_RS01740
OG0000001	DR090_RS01575	MHP7448_RS02820
OG0000001	DR090_RS03950	MHP7448_RS03920
OG0000001	DR090_RS03945	MHP7448_RS04045
OG0000002	DR090_RS04315	MHP7448_RS03995
OG0000002	DR090_RS03425	MHP7448_RS01745
OG0000003	DR090_RS04250, DR090_RS04620, DR090_RS03665	MHP7448_RS03870
OG0000004	DR090_RS03435	MHP7448_RS03245
OG0000004	DR090_RS03440	MHP7448_RS03065
OG0000005	DR090_RS03620	MHP7448_RS00100
OG0000005	DR090_RS04590	MHP7448_RS00120
OG0000005	DR090_RS03525	MHP7448_RS00105
OG0000005	DR090_RS03075	MHP7448_RS00110
OG0000005	DR090_RS04595	MHP7448_RS00125
OG0000006	DR090_RS04155	MHP7448_RS02380
OG0000008	DR090_RS03700	MHP7448_RS01665
OG0000008	DR090_RS04310	MHP7448_RS04030
OG0000009	DR090_RS01340	MHP7448_RS00085
OG0000009	DR090_RS00150	MHP7448_RS00690
OG0000010	DR090_RS00915	MHP7448_RS01885
OG0000010	DR090_RS03520, DR090_RS03650	MHP7448_RS00095
OG0000011	DR090_RS01025	MHP7448_RS01970
OG0000011	DR090_RS01020	MHP7448_RS01965
OG0000012	DR090_RS01360	MHP7448_RS01780, MHP7448_RS03630
OG0000012	DR090_RS03670	MHP7448_RS03880
OG0000013	DR090_RS02640	MHP7448_RS02430
OG0000013	DR090_RS03805	MHP7448_RS03945
OG0000014	DR090_RS00220	MHP7448_RS01090
OG0000014	DR090_RS04325	MHP7448_RS00605
OG0000015	DR090_RS03270	MHP7448_RS03965, MHP7448_RS04005, MHP7448_RS04000, MHP7448_RS01650
OG0000016	DR090_RS01615	MHP7448_RS02865
OG0000016	DR090_RS00790	MHP7448_RS00170
OG0000017	DR090_RS00805	MHP7448_RS00155
OG0000017	DR090_RS01625	MHP7448_RS02875
OG0000018	DR090_RS04560	MHP7448_RS01340, MHP7448_RS02275
OG0000019	DR090_RS04270	MHP7448_RS03045
OG0000020	DR090_RS04405	MHP7448_RS03580
OG0000020	DR090_RS04410	MHP7448_RS03585
OG0000021	DR090_RS00825	MHP7448_RS04125, MHP7448_RS03950
OG0000022	DR090_RS02415	MHP7448_RS01680
OG0000022	DR090_RS04550	MHP7448_RS01730
OG0000023	DR090_RS02440	MHP7448_RS04010, MHP7448_RS01335
OG0000024	DR090_RS01515	MHP7448_RS02765
OG0000024	DR090_RS00410	MHP7448_RS01290
OG0000025	DR090_RS04555	MHP7448_RS01685
OG0000025	DR090_RS02365	MHP7448_RS01725
OG0000026	DR090_RS02485	MHP7448_RS01380
OG0000026	DR090_RS02385	MHP7448_RS01705
OG0000027	DR090_RS04475	MHP7448_RS03845
OG0000027	DR090_RS04520	MHP7448_RS03390
OG0000028	DR090_RS04565	MHP7448_RS02440
OG0000029	DR090_RS01710	MHP7448_RS01085
OG0000029	DR090_RS00205	MHP7448_RS00610
OG0000030	DR090_RS04480	MHP7448_RS03370
OG0000030	DR090_RS04515	MHP7448_RS03385
OG0000031	DR090_RS03235	MHP7448_RS01620
OG0000031	DR090_RS03235	MHP7448_RS02310
OG0000032	DR090_RS03265	MHP7448_RS01595
OG0000032	DR090_RS02225	MHP7448_RS03380
OG0000033	DR090_RS02635	MHP7448_RS02435
OG0000035	DR090_RS03430	MHP7448_RS03240
OG0000035	DR090_RS02220	MHP7448_RS03225
OG0000036	DR090_RS03080	MHP7448_RS00115
OG0000036	DR090_RS04210	MHP7448_RS00130
OG0000037	DR090_RS03710	MHP7448_RS03970
OG0000039	DR090_RS03220	MHP7448_RS01635
OG0000040	DR090_RS02020	MHP7448_RS03315
OG0000041	DR090_RS03745	MHP7448_RS00680, MHP7448_RS01195
OG0000042	DR090_RS04585	MHP7448_RS02965
OG0000043	DR090_RS00990	MHP7448_RS01935
OG0000043	DR090_RS00990	MHP7448_RS02315
OG0000044	DR090_RS04685	MHP7448_RS04120
OG0000045	DR090_RS03215	MHP7448_RS01640
OG0000048	DR090_RS02935	MHP7448_RS02115
OG0000049	DR090_RS02075	MHP7448_RS03085
OG0000050	DR090_RS02580	MHP7448_RS02470
OG0000051	DR090_RS01435	MHP7448_RS02675
OG0000052	DR090_RS01330	MHP7448_RS00075
OG0000053	DR090_RS04575	MHP7448_RS01465
OG0000054	DR090_RS02605	MHP7448_RS02495
OG0000055	DR090_RS03105	MHP7448_RS00135
OG0000056	DR090_RS01170	MHP7448_RS03565
OG0000057	DR090_RS01695	MHP7448_RS02950
OG0000060	DR090_RS03905	MHP7448_RS00080
OG0000061	DR090_RS00925	MHP7448_RS01895
OG0000062	DR090_RS01220	MHP7448_RS03615
OG0000063	DR090_RS01215	MHP7448_RS03610
OG0000064	DR090_RS01205	MHP7448_RS03600
OG0000065	DR090_RS03030	MHP7448_RS02180
OG0000066	DR090_RS02475	MHP7448_RS01370
OG0000067	DR090_RS03330	MHP7448_RS00525
OG0000068	DR090_RS00170	MHP7448_RS00655
OG0000069	DR090_RS01590	MHP7448_RS02835
OG0000070	DR090_RS02610	MHP7448_RS02500
OG0000071	DR090_RS02030	MHP7448_RS03305
OG0000072	DR090_RS04500	MHP7448_RS03310
OG0000073	DR090_RS00125	MHP7448_RS00715
OG0000074	DR090_RS04455	MHP7448_RS03660
OG0000075	DR090_RS00610	MHP7448_RS00340
OG0000076	DR090_RS00595	MHP7448_RS00355
OG0000077	DR090_RS00505	MHP7448_RS00445
OG0000078	DR090_RS02395	MHP7448_RS01695
OG0000079	DR090_RS02780	MHP7448_RS02580
OG0000080	DR090_RS03915	MHP7448_RS03915
OG0000081	DR090_RS00615	MHP7448_RS00335
OG0000082	DR090_RS04170, DR090_RS04165	MHP7448_RS02425
OG0000083	DR090_RS01095	MHP7448_RS02040
OG0000084	DR090_RS02885	MHP7448_RS02065
OG0000085	DR090_RS02890	MHP7448_RS02070
OG0000086	DR090_RS02900	MHP7448_RS02080
OG0000087	DR090_RS02915	MHP7448_RS02095
OG0000088	DR090_RS02920	MHP7448_RS02100
OG0000089	DR090_RS02930	MHP7448_RS02110
OG0000090	DR090_RS01325	MHP7448_RS00070
OG0000091	DR090_RS01310	MHP7448_RS00055
OG0000092	DR090_RS01295	MHP7448_RS00040
OG0000093	DR090_RS01290	MHP7448_RS00035
OG0000094	DR090_RS01285	MHP7448_RS00030
OG0000095	DR090_RS01260	MHP7448_RS00005
OG0000096	DR090_RS01255	MHP7448_RS03655
OG0000097	DR090_RS01235	MHP7448_RS03635
OG0000098	DR090_RS01225	MHP7448_RS03620
OG0000099	DR090_RS04400	MHP7448_RS03570
OG0000100	DR090_RS01160	MHP7448_RS03555
OG0000101	DR090_RS01155	MHP7448_RS03550
OG0000102	DR090_RS02370	MHP7448_RS01720
OG0000103	DR090_RS03065	MHP7448_RS02145
OG0000104	DR090_RS03060	MHP7448_RS02150
OG0000105	DR090_RS03045	MHP7448_RS02165
OG0000106	DR090_RS03035	MHP7448_RS02175
OG0000107	DR090_RS03025	MHP7448_RS02185
OG0000108	DR090_RS03020	MHP7448_RS02190
OG0000109	DR090_RS03015	MHP7448_RS02195
OG0000110	DR090_RS02655	MHP7448_RS02410
OG0000111	DR090_RS02660	MHP7448_RS02405
OG0000112	DR090_RS02670	MHP7448_RS02395
OG0000113	DR090_RS04615	MHP7448_RS02375
