Orthogroup	MHP_MHP696_genes	MHP_ES2_genes
OG0000000	DR090_RS03565	E5E95_RS02310
OG0000000	DR090_RS03595	E5E95_RS02235
OG0000000	DR090_RS04285	E5E95_RS02240
OG0000000	DR090_RS04700	E5E95_RS03920
OG0000000	DR090_RS04125	E5E95_RS01830
OG0000000	DR090_RS04630	E5E95_RS04235, E5E95_RS01835
OG0000001	DR090_RS01575	E5E95_RS03000
OG0000001	DR090_RS03945	E5E95_RS04150
OG0000002	DR090_RS04315	E5E95_RS02320
OG0000002	DR090_RS03590	E5E95_RS02315
OG0000002	DR090_RS03470	E5E95_RS02250
OG0000002	DR090_RS03425	E5E95_RS01840
OG0000003	DR090_RS00820	E5E95_RS01870
OG0000003	DR090_RS04250	E5E95_RS04060
OG0000003	DR090_RS04620	E5E95_RS04070
OG0000003	DR090_RS03665	E5E95_RS03910
OG0000004	DR090_RS03435	E5E95_RS03425
OG0000005	DR090_RS03620	E5E95_RS00090
OG0000005	DR090_RS04590	E5E95_RS00110
OG0000005	DR090_RS03525	E5E95_RS00095
OG0000005	DR090_RS03075	E5E95_RS00100
OG0000005	DR090_RS04595	E5E95_RS00115
OG0000006	DR090_RS04160	E5E95_RS02705
OG0000006	DR090_RS04155	E5E95_RS04120, E5E95_RS04115
OG0000007	DR090_RS03340	E5E95_RS02300
OG0000007	DR090_RS03345	E5E95_RS02295
OG0000007	DR090_RS03360	E5E95_RS02290
OG0000008	DR090_RS03700	E5E95_RS03905
OG0000008	DR090_RS04310	E5E95_RS04135
OG0000009	DR090_RS00150	E5E95_RS00680
OG0000010	DR090_RS00915	E5E95_RS01970
OG0000011	DR090_RS01025	E5E95_RS02070
OG0000011	DR090_RS01020	E5E95_RS02060
OG0000013	DR090_RS02640	E5E95_RS02610
OG0000013	DR090_RS03805	E5E95_RS03955
OG0000014	DR090_RS00220	E5E95_RS01105
OG0000014	DR090_RS04325	E5E95_RS00605
OG0000015	DR090_RS03270	E5E95_RS04195, E5E95_RS01745, E5E95_RS02450, E5E95_RS01590
OG0000016	DR090_RS01615	E5E95_RS03040
OG0000016	DR090_RS00790	E5E95_RS00160
OG0000017	DR090_RS00805	E5E95_RS00145
OG0000017	DR090_RS01625	E5E95_RS03050
OG0000018	DR090_RS04560	E5E95_RS01340, E5E95_RS02480
OG0000019	DR090_RS04270	E5E95_RS04175
OG0000020	DR090_RS04405	E5E95_RS03770
OG0000021	DR090_RS00825	E5E95_RS01875, E5E95_RS03845, E5E95_RS03755, E5E95_RS00510
OG0000022	DR090_RS02415	E5E95_RS01770
OG0000022	DR090_RS04550	E5E95_RS01825
OG0000023	DR090_RS02440	E5E95_RS01335, E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105
OG0000024	DR090_RS01515	E5E95_RS02945
OG0000024	DR090_RS00410	E5E95_RS01290
OG0000025	DR090_RS04555	E5E95_RS01775
OG0000025	DR090_RS02365	E5E95_RS01820
OG0000026	DR090_RS02485	E5E95_RS01380
OG0000026	DR090_RS02385	E5E95_RS01800
OG0000027	DR090_RS04475	E5E95_RS03560
OG0000027	DR090_RS04520	E5E95_RS03575
OG0000028	DR090_RS04565	E5E95_RS02620
OG0000029	DR090_RS01710	E5E95_RS01100
OG0000029	DR090_RS00205	E5E95_RS00610
OG0000030	DR090_RS04480	E5E95_RS03550
OG0000030	DR090_RS04515	E5E95_RS03570
OG0000031	DR090_RS03235	E5E95_RS01625
OG0000032	DR090_RS03265	E5E95_RS03995
OG0000032	DR090_RS02225	E5E95_RS03565
OG0000033	DR090_RS02635	E5E95_RS04125, E5E95_RS04130
OG0000034	DR090_RS00815	E5E95_RS04045
OG0000034	DR090_RS04300	E5E95_RS04050
OG0000035	DR090_RS03430	E5E95_RS03405
OG0000035	DR090_RS02220	E5E95_RS03395
OG0000036	DR090_RS03080	E5E95_RS00105
OG0000036	DR090_RS04210	E5E95_RS00120
OG0000037	DR090_RS03250	E5E95_RS01610
OG0000038	DR090_RS00450	E5E95_RS01865
OG0000039	DR090_RS03220	E5E95_RS01650, E5E95_RS01645
OG0000040	DR090_RS02020	E5E95_RS03495
OG0000041	DR090_RS03745	E5E95_RS01205, E5E95_RS00670
OG0000042	DR090_RS04585	E5E95_RS03140
OG0000043	DR090_RS00990	E5E95_RS02030
OG0000044	DR090_RS04685	E5E95_RS04290
OG0000045	DR090_RS03215	E5E95_RS01655
OG0000048	DR090_RS02935	E5E95_RS02215
OG0000049	DR090_RS02075	E5E95_RS03260
OG0000050	DR090_RS02580	E5E95_RS02655
OG0000051	DR090_RS01435	E5E95_RS02855
OG0000052	DR090_RS01330	E5E95_RS00075
OG0000053	DR090_RS04575	E5E95_RS01465
OG0000054	DR090_RS02605	E5E95_RS02680
OG0000055	DR090_RS03105	E5E95_RS00125
OG0000056	DR090_RS01170	E5E95_RS03750
OG0000057	DR090_RS01695	E5E95_RS03125
OG0000060	DR090_RS03905	E5E95_RS01215, E5E95_RS00080
OG0000061	DR090_RS00925	E5E95_RS01980
OG0000062	DR090_RS01220	E5E95_RS03805
OG0000063	DR090_RS01215	E5E95_RS03800
OG0000064	DR090_RS01205	E5E95_RS03790
OG0000065	DR090_RS03030	E5E95_RS02365
OG0000066	DR090_RS02475	E5E95_RS01370
OG0000067	DR090_RS03330	E5E95_RS00525
OG0000068	DR090_RS00170	E5E95_RS00645
OG0000069	DR090_RS01590	E5E95_RS03015
OG0000070	DR090_RS02610	E5E95_RS02685
OG0000071	DR090_RS02030	E5E95_RS03485
OG0000072	DR090_RS04500	E5E95_RS03490
OG0000073	DR090_RS00125	E5E95_RS00705
OG0000074	DR090_RS04455	E5E95_RS00900
OG0000075	DR090_RS00610	E5E95_RS00340
OG0000076	DR090_RS00595	E5E95_RS00355
OG0000077	DR090_RS00505	E5E95_RS00445
OG0000078	DR090_RS02395	E5E95_RS01790
OG0000079	DR090_RS02780	E5E95_RS02760
OG0000080	DR090_RS03915	E5E95_RS03935
OG0000081	DR090_RS00615	E5E95_RS00335
OG0000082	DR090_RS04165	E5E95_RS02605
OG0000083	DR090_RS01095	E5E95_RS02140
OG0000084	DR090_RS02885	E5E95_RS02165
OG0000085	DR090_RS02890	E5E95_RS02170
OG0000086	DR090_RS02900	E5E95_RS02180
OG0000087	DR090_RS02915	E5E95_RS02195
OG0000088	DR090_RS02920	E5E95_RS02200
OG0000089	DR090_RS02930	E5E95_RS02210
OG0000090	DR090_RS01325	E5E95_RS00070
OG0000091	DR090_RS01310	E5E95_RS00055
OG0000092	DR090_RS01295	E5E95_RS00040
OG0000093	DR090_RS01290	E5E95_RS00035
OG0000094	DR090_RS01285	E5E95_RS00030
OG0000095	DR090_RS01260	E5E95_RS00005
OG0000096	DR090_RS01255	E5E95_RS03840
OG0000097	DR090_RS01235	E5E95_RS03820
OG0000098	DR090_RS01225	E5E95_RS03810
OG0000099	DR090_RS04400	E5E95_RS03760
OG0000100	DR090_RS01160	E5E95_RS03740
OG0000101	DR090_RS01155	E5E95_RS03735
OG0000102	DR090_RS02370	E5E95_RS01815
OG0000103	DR090_RS03065	E5E95_RS02330
OG0000104	DR090_RS03060	E5E95_RS02335
OG0000105	DR090_RS03045	E5E95_RS02350
OG0000106	DR090_RS03035	E5E95_RS02360
OG0000107	DR090_RS03025	E5E95_RS02370
OG0000108	DR090_RS03020	E5E95_RS02375
OG0000109	DR090_RS03015	E5E95_RS02380
OG0000110	DR090_RS02655	E5E95_RS02595
OG0000111	DR090_RS02660	E5E95_RS02590
OG0000112	DR090_RS02670	E5E95_RS02580
OG0000113	DR090_RS04615	E5E95_RS02560
OG0000114	DR090_RS03300	E5E95_RS04300
OG0000115	DR090_RS03285	E5E95_RS02535
OG0000116	DR090_RS00435	E5E95_RS01315
OG0000117	DR090_RS00440	E5E95_RS01320
OG0000118	DR090_RS02460	E5E95_RS01355
OG0000119	DR090_RS02465	E5E95_RS01360
OG0000120	DR090_RS02480	E5E95_RS01375
OG0000121	DR090_RS02505	E5E95_RS01400
OG0000122	DR090_RS02510	E5E95_RS01405
OG0000123	DR090_RS02530	E5E95_RS01425
OG0000124	DR090_RS02535	E5E95_RS01430
OG0000125	DR090_RS02540	E5E95_RS01435
OG0000126	DR090_RS02835	E5E95_RS01445
OG0000127	DR090_RS02845	E5E95_RS01455
OG0000128	DR090_RS02860	E5E95_RS01470
OG0000129	DR090_RS02865	E5E95_RS01475
OG0000130	DR090_RS02875	E5E95_RS01485
OG0000131	DR090_RS03150	E5E95_RS01515
OG0000132	DR090_RS04600	E5E95_RS01530
OG0000133	DR090_RS02690	E5E95_RS00530
OG0000134	DR090_RS02695	E5E95_RS00535
OG0000135	DR090_RS02710	E5E95_RS00550
OG0000136	DR090_RS02715	E5E95_RS00555
OG0000137	DR090_RS02755	E5E95_RS00585
OG0000138	DR090_RS00195	E5E95_RS00620
OG0000139	DR090_RS00165	E5E95_RS00650
OG0000140	DR090_RS00160	E5E95_RS00655
OG0000141	DR090_RS01705	E5E95_RS03135
OG0000142	DR090_RS04450	E5E95_RS03130
OG0000143	DR090_RS01680	E5E95_RS03105
OG0000144	DR090_RS01670	E5E95_RS03095
OG0000145	DR090_RS01660	E5E95_RS03085
OG0000146	DR090_RS01650	E5E95_RS03075
OG0000147	DR090_RS01645	E5E95_RS03070
OG0000148	DR090_RS01630	E5E95_RS03055
OG0000149	DR090_RS01620	E5E95_RS03045
OG0000150	DR090_RS01605	E5E95_RS03030
OG0000151	DR090_RS01555	E5E95_RS02985
OG0000152	DR090_RS01550	E5E95_RS02980
OG0000153	DR090_RS01545	E5E95_RS02975
OG0000154	DR090_RS01535	E5E95_RS02965
OG0000155	DR090_RS01495	E5E95_RS02925
OG0000156	DR090_RS01485	E5E95_RS02915
OG0000157	DR090_RS04440	E5E95_RS02910
OG0000158	DR090_RS04435	E5E95_RS02905
OG0000159	DR090_RS02595	E5E95_RS04310
OG0000160	DR090_RS02590	E5E95_RS02665
OG0000161	DR090_RS02585	E5E95_RS02660
OG0000162	DR090_RS02575	E5E95_RS02650
OG0000163	DR090_RS02570	E5E95_RS02645
OG0000164	DR090_RS03230	E5E95_RS01630
OG0000165	DR090_RS01015	E5E95_RS02055
OG0000166	DR090_RS01035	E5E95_RS02080
OG0000167	DR090_RS01050	E5E95_RS02095
OG0000168	DR090_RS01055	E5E95_RS02100
OG0000169	DR090_RS02070	E5E95_RS03255
OG0000170	DR090_RS02085	E5E95_RS03270
OG0000171	DR090_RS02095	E5E95_RS03280
OG0000172	DR090_RS02105	E5E95_RS03285
OG0000173	DR090_RS02110	E5E95_RS03290
OG0000174	DR090_RS02115	E5E95_RS03295
OG0000175	DR090_RS02130	E5E95_RS03310
OG0000176	DR090_RS02180	E5E95_RS03360
OG0000177	DR090_RS02185	E5E95_RS03365
OG0000178	DR090_RS02190	E5E95_RS03370
OG0000179	DR090_RS02200	E5E95_RS03380
OG0000180	DR090_RS02205	E5E95_RS03385
OG0000181	DR090_RS04655	E5E95_RS03435
OG0000182	DR090_RS03515	E5E95_RS03445
OG0000183	DR090_RS02035	E5E95_RS03480
OG0000184	DR090_RS01995	E5E95_RS03525
OG0000185	DR090_RS02010	E5E95_RS03510
OG0000186	DR090_RS04605	E5E95_RS01540
OG0000187	DR090_RS03190	E5E95_RS01555
OG0000188	DR090_RS03200	E5E95_RS01565
OG0000189	DR090_RS04625	E5E95_RS02415
OG0000190	DR090_RS03370	E5E95_RS02410
OG0000191	DR090_RS03395	E5E95_RS02390
OG0000192	DR090_RS00355	E5E95_RS01235
OG0000193	DR090_RS00340	E5E95_RS01225
OG0000194	DR090_RS00140	E5E95_RS00690
OG0000195	DR090_RS00135	E5E95_RS00695
OG0000196	DR090_RS00115	E5E95_RS00715
OG0000197	DR090_RS00110	E5E95_RS00720
OG0000198	DR090_RS00095	E5E95_RS00735
OG0000199	DR090_RS00090	E5E95_RS00740
OG0000200	DR090_RS00075	E5E95_RS00755
OG0000201	DR090_RS00065	E5E95_RS00765
OG0000202	DR090_RS00010	E5E95_RS00820
OG0000203	DR090_RS00005	E5E95_RS00825
OG0000204	DR090_RS04470	E5E95_RS00830
OG0000205	DR090_RS01955	E5E95_RS00835
OG0000206	DR090_RS01935	E5E95_RS00855
OG0000207	DR090_RS01920	E5E95_RS00870
OG0000208	DR090_RS01915	E5E95_RS00875
OG0000209	DR090_RS01910	E5E95_RS00880
OG0000210	DR090_RS01865	E5E95_RS00925
OG0000211	DR090_RS01855	E5E95_RS00955
OG0000212	DR090_RS01845	E5E95_RS00965
OG0000213	DR090_RS01840	E5E95_RS00970
OG0000214	DR090_RS01835	E5E95_RS00975
OG0000215	DR090_RS01830	E5E95_RS00980
OG0000216	DR090_RS01825	E5E95_RS00985
OG0000217	DR090_RS01820	E5E95_RS00995
