Assembly	GCA_045005995.1_ASM4500599v1_genomic
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	920392
Total length (>= 1000 bp)	920392
Total length (>= 5000 bp)	920392
Total length (>= 10000 bp)	920392
Total length (>= 25000 bp)	920392
Total length (>= 50000 bp)	920392
# contigs	1
Largest contig	920392
Total length	920392
GC (%)	28.53
N50	920392
N90	920392
auN	920392.0
L50	1
L90	1
# N's per 100 kbp	0.00
