#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP142079.1:111496-112287|+ -            264 1679at2085           -            265     6e-79  260.4  12.3   1   1   7.6e-81   6.6e-79  260.2  12.3    12   256     1   255     1   263 0.90 NZ_CP142079.1_90 # 111496 # 112287 # 1 # ID=1_90;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.270
NZ_CP142079.1:91612-92913|+   -            434 1679at2085           -            265   4.2e-23   77.3  12.0   1   3   1.5e-11   1.3e-09   33.1   0.2   123   177     6    64     1    79 0.80 NZ_CP142079.1_73 # 91612 # 92913 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_CP142079.1:91612-92913|+   -            434 1679at2085           -            265   4.2e-23   77.3  12.0   2   3   1.8e-12   1.6e-10   36.1   0.6    22   173    78   228    71   240 0.77 NZ_CP142079.1_73 # 91612 # 92913 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_CP142079.1:91612-92913|+   -            434 1679at2085           -            265   4.2e-23   77.3  12.0   3   3   7.1e-06   0.00062   14.4   1.1    24   139   251   380   245   386 0.62 NZ_CP142079.1_73 # 91612 # 92913 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_CP142079.1:568452-569048|- -            199 1679at2085           -            265   2.8e-13   45.1   5.8   1   2   8.2e-13   7.1e-11   37.2   0.1   123   172    41    91    31   109 0.90 NZ_CP142079.1_457 # 568452 # 569048 # -1 # ID=1_457;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_CP142079.1:568452-569048|- -            199 1679at2085           -            265   2.8e-13   45.1   5.8   2   2    0.0002     0.017    9.7   2.1    25    97   118   195   107   198 0.78 NZ_CP142079.1_457 # 568452 # 569048 # -1 # ID=1_457;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_CP142079.1:243643-244971|- -            443 1679at2085           -            265   1.5e-12   42.7  15.7   1   3       1.1        92   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_CP142079.1_222 # 243643 # 244971 # -1 # ID=1_222;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_CP142079.1:243643-244971|- -            443 1679at2085           -            265   1.5e-12   42.7  15.7   2   3   1.3e-13   1.2e-11   39.8   0.2    97   174   194   275   185   287 0.79 NZ_CP142079.1_222 # 243643 # 244971 # -1 # ID=1_222;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_CP142079.1:243643-244971|- -            443 1679at2085           -            265   1.5e-12   42.7  15.7   3   3   0.00027     0.024    9.3   6.3    21   104   291   366   283   386 0.70 NZ_CP142079.1_222 # 243643 # 244971 # -1 # ID=1_222;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_CP142079.1:194698-195579|- -            294 1679at2085           -            265   1.3e-10   36.3   9.5   1   2   2.1e-11   1.8e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_CP142079.1_160 # 194698 # 195579 # -1 # ID=1_160;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_CP142079.1:194698-195579|- -            294 1679at2085           -            265   1.3e-10   36.3   9.5   2   2    0.0013      0.11    7.1   3.9    47   103   108   169    77   190 0.77 NZ_CP142079.1_160 # 194698 # 195579 # -1 # ID=1_160;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NZ_CP142079.1:54183-55442|+   -            420 1679at2085           -            265   3.4e-06   21.8  12.5   1   2   5.7e-07     5e-05   18.0   0.0   124   174   161   214   145   235 0.75 NZ_CP142079.1_42 # 54183 # 55442 # 1 # ID=1_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.310
NZ_CP142079.1:54183-55442|+   -            420 1679at2085           -            265   3.4e-06   21.8  12.5   2   2    0.0072      0.62    4.6   9.4    39   121   257   343   253   346 0.86 NZ_CP142079.1_42 # 54183 # 55442 # 1 # ID=1_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.310
NZ_CP142079.1:354788-355891|- -            368 1679at2085           -            265   1.3e-05   20.0   0.1   1   1   3.4e-07     3e-05   18.8   0.1   119   155     2    37     1    47 0.85 NZ_CP142079.1_309 # 354788 # 355891 # -1 # ID=1_309;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.297
NZ_CP142079.1:191528-192385|- -            286 1679at2085           -            265   1.9e-05   19.4   8.0   1   1   4.7e-05    0.0041   11.8   8.0    19   173    65   212    58   231 0.62 NZ_CP142079.1_156 # 191528 # 192385 # -1 # ID=1_156;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.283
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/Ue273/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/Ue273/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/Ue273/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/Ue273/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/Ue273/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/Ue273/Use
# Date:            Sun Dec  1 19:02:53 2024
# [ok]
