Orthogroup	MHP_NCTC10127_genes	MHP_7448_genes
OG0000000	EXC50_RS01055	MHP7448_RS02135
OG0000000	EXC50_RS01165	MHP7448_RS02245
OG0000000	EXC50_RS01170	MHP7448_RS03825
OG0000000	EXC50_RS03990	MHP7448_RS01735
OG0000000	EXC50_RS00675	MHP7448_RS01740
OG0000001	EXC50_RS01640	MHP7448_RS02820
OG0000001	EXC50_RS04045	MHP7448_RS03920
OG0000001	EXC50_RS01590	MHP7448_RS04045
OG0000002	EXC50_RS04010	MHP7448_RS03995
OG0000002	EXC50_RS03900	MHP7448_RS03900
OG0000002	EXC50_RS00680	MHP7448_RS01745
OG0000004	EXC50_RS02030	MHP7448_RS03230
OG0000004	EXC50_RS02050	MHP7448_RS03245
OG0000004	EXC50_RS01865	MHP7448_RS03055, MHP7448_RS03035, MHP7448_RS03065
OG0000005	EXC50_RS00100	MHP7448_RS00100
OG0000005	EXC50_RS00120	MHP7448_RS00120
OG0000005	EXC50_RS00105	MHP7448_RS00105
OG0000005	EXC50_RS00110	MHP7448_RS00110
OG0000005	EXC50_RS00125	MHP7448_RS00125
OG0000006	EXC50_RS04025	MHP7448_RS04025
OG0000006	EXC50_RS01210	MHP7448_RS02380
OG0000008	EXC50_RS01160, EXC50_RS04015	MHP7448_RS02240
OG0000008	EXC50_RS00595	MHP7448_RS01665
OG0000008	EXC50_RS04030	MHP7448_RS04030
OG0000009	EXC50_RS03420	MHP7448_RS00675
OG0000009	EXC50_RS00085	MHP7448_RS00085
OG0000009	EXC50_RS03405	MHP7448_RS00690
OG0000010	EXC50_RS00795	MHP7448_RS01885
OG0000010	EXC50_RS00095	MHP7448_RS00095
OG0000011	EXC50_RS00895	MHP7448_RS01970
OG0000011	EXC50_RS00890	MHP7448_RS01965
OG0000012	EXC50_RS01855	MHP7448_RS01780, MHP7448_RS03630, MHP7448_RS01190, MHP7448_RS03435, MHP7448_RS02690, MHP7448_RS03880
OG0000013	EXC50_RS01255	MHP7448_RS02430
OG0000013	EXC50_RS03965	MHP7448_RS03945
OG0000014	EXC50_RS03000	MHP7448_RS01090
OG0000014	EXC50_RS03480	MHP7448_RS00605
OG0000016	EXC50_RS01680	MHP7448_RS02865
OG0000016	EXC50_RS00170	MHP7448_RS00170
OG0000017	EXC50_RS00155	MHP7448_RS00155
OG0000017	EXC50_RS01690	MHP7448_RS02875
OG0000019	EXC50_RS04065	MHP7448_RS04070
OG0000019	EXC50_RS04060	MHP7448_RS03045
OG0000020	EXC50_RS02390	MHP7448_RS03580
OG0000020	EXC50_RS02395	MHP7448_RS03585
OG0000022	EXC50_RS00615	MHP7448_RS01680
OG0000022	EXC50_RS00670	MHP7448_RS01730
OG0000024	EXC50_RS01585	MHP7448_RS02765
OG0000024	EXC50_RS02815	MHP7448_RS01290
OG0000025	EXC50_RS00620	MHP7448_RS01685
OG0000025	EXC50_RS00665	MHP7448_RS01725
OG0000026	EXC50_RS02725	MHP7448_RS01380
OG0000026	EXC50_RS00645	MHP7448_RS01705
OG0000027	EXC50_RS02185	MHP7448_RS03845
OG0000027	EXC50_RS02200	MHP7448_RS03390
OG0000029	EXC50_RS03005	MHP7448_RS01085
OG0000029	EXC50_RS03475	MHP7448_RS00610
OG0000030	EXC50_RS02175	MHP7448_RS03370
OG0000030	EXC50_RS02195	MHP7448_RS03385
OG0000032	EXC50_RS04070	MHP7448_RS03380
OG0000035	EXC50_RS02045	MHP7448_RS03240
OG0000035	EXC50_RS02025	MHP7448_RS03225
OG0000036	EXC50_RS00115	MHP7448_RS00115
OG0000036	EXC50_RS00130	MHP7448_RS00130
OG0000037	EXC50_RS03970	MHP7448_RS03725
OG0000039	EXC50_RS03975, EXC50_RS00560	MHP7448_RS01635
OG0000040	EXC50_RS02120	MHP7448_RS03315
OG0000041	EXC50_RS03415	MHP7448_RS00680
OG0000042	EXC50_RS01780	MHP7448_RS02965
OG0000043	EXC50_RS00860	MHP7448_RS02315
OG0000044	EXC50_RS04255	MHP7448_RS04120
OG0000045	EXC50_RS00570	MHP7448_RS01640
OG0000046	EXC50_RS02130	MHP7448_RS03325
OG0000047	EXC50_RS03955, EXC50_RS03735	MHP7448_RS01590
OG0000048	EXC50_RS01040	MHP7448_RS02115
OG0000049	EXC50_RS01890	MHP7448_RS03085
OG0000050	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	MHP7448_RS02470
OG0000051	EXC50_RS01500	MHP7448_RS02675
OG0000052	EXC50_RS00075	MHP7448_RS00075
OG0000053	EXC50_RS02640	MHP7448_RS01465
OG0000054	EXC50_RS03835, EXC50_RS01320, EXC50_RS04250	MHP7448_RS02495
OG0000055	EXC50_RS00135	MHP7448_RS00135
OG0000056	EXC50_RS02375	MHP7448_RS03565
OG0000057	EXC50_RS01765	MHP7448_RS02950
OG0000059	EXC50_RS02510	MHP7448_RS02325, MHP7448_RS02320
OG0000061	EXC50_RS00805	MHP7448_RS01895
OG0000062	EXC50_RS02425	MHP7448_RS03615
OG0000063	EXC50_RS02420	MHP7448_RS03610
OG0000064	EXC50_RS02410	MHP7448_RS03600
OG0000065	EXC50_RS01100	MHP7448_RS02180
OG0000066	EXC50_RS02735	MHP7448_RS01370
OG0000067	EXC50_RS03560	MHP7448_RS00525
OG0000068	EXC50_RS03440	MHP7448_RS00655
OG0000069	EXC50_RS01655	MHP7448_RS02835
OG0000070	EXC50_RS03840, EXC50_RS01325	MHP7448_RS02500
OG0000071	EXC50_RS02110	MHP7448_RS03305
OG0000072	EXC50_RS02115	MHP7448_RS03310
OG0000073	EXC50_RS03380	MHP7448_RS00715
OG0000074	EXC50_RS03185	MHP7448_RS03660
OG0000075	EXC50_RS00355	MHP7448_RS00340
OG0000076	EXC50_RS00370	MHP7448_RS00355
OG0000077	EXC50_RS03640	MHP7448_RS00445
OG0000079	EXC50_RS01405	MHP7448_RS02580
OG0000080	EXC50_RS03930	MHP7448_RS03915
