Orthogroup	MHP_NCTC10127_genes	MHP_MHP682_genes
OG0000000	EXC50_RS01055	DR097_RS02690
OG0000000	EXC50_RS01165, EXC50_RS01170	DR097_RS04740
OG0000000	EXC50_RS00675	DR097_RS01835
OG0000001	EXC50_RS01640	DR097_RS04145
OG0000002	EXC50_RS04010	DR097_RS02700
OG0000002	EXC50_RS00680	DR097_RS04675
OG0000004	EXC50_RS02030	DR097_RS01330
OG0000004	EXC50_RS02050	DR097_RS01325
OG0000005	EXC50_RS00100	DR097_RS02455
OG0000005	EXC50_RS00120	DR097_RS04720
OG0000005	EXC50_RS00105	DR097_RS02445
OG0000005	EXC50_RS00110	DR097_RS02440
OG0000005	EXC50_RS00125	DR097_RS04715
OG0000008	EXC50_RS04030	DR097_RS03625
OG0000009	EXC50_RS00085	DR097_RS02470
OG0000009	EXC50_RS04115	DR097_RS00430
OG0000009	EXC50_RS03405	DR097_RS01140
OG0000010	EXC50_RS00795	DR097_RS02510
OG0000010	EXC50_RS02530	DR097_RS04755
OG0000010	EXC50_RS00095	DR097_RS02450
OG0000011	EXC50_RS00895	DR097_RS00820
OG0000011	EXC50_RS00890	DR097_RS00825
OG0000012	EXC50_RS01855	DR097_RS03825
OG0000013	EXC50_RS01255	DR097_RS02175
OG0000013	EXC50_RS03965	DR097_RS03895
OG0000014	EXC50_RS04120	DR097_RS03860
OG0000014	EXC50_RS03480	DR097_RS03370
OG0000016	EXC50_RS01680	DR097_RS01165
OG0000016	EXC50_RS00170	DR097_RS00270
OG0000017	EXC50_RS00155	DR097_RS00285
OG0000017	EXC50_RS01690	DR097_RS01175
OG0000019	EXC50_RS04065, EXC50_RS04060	DR097_RS03615
OG0000020	EXC50_RS02390	DR097_RS04835
OG0000020	EXC50_RS02395	DR097_RS04830
OG0000021	EXC50_RS00715, EXC50_RS04125, EXC50_RS03575	DR097_RS03390
OG0000022	EXC50_RS00615	DR097_RS01895
OG0000022	EXC50_RS00670	DR097_RS04680
OG0000023	EXC50_RS00495, EXC50_RS03740	DR097_RS02020
OG0000024	EXC50_RS01585	DR097_RS01795
OG0000024	EXC50_RS02815	DR097_RS00345
OG0000025	EXC50_RS00620	DR097_RS04685
OG0000025	EXC50_RS00665	DR097_RS01845
OG0000026	EXC50_RS02725	DR097_RS01665
OG0000026	EXC50_RS00645	DR097_RS01865
OG0000027	EXC50_RS02185	DR097_RS02965
OG0000027	EXC50_RS02200	DR097_RS04560
OG0000028	EXC50_RS01265	DR097_RS04690
OG0000029	EXC50_RS03005	DR097_RS02335
OG0000030	EXC50_RS02175	DR097_RS04775
OG0000030	EXC50_RS02195	DR097_RS04565
OG0000031	EXC50_RS02515, EXC50_RS03805	DR097_RS02075
OG0000031	EXC50_RS00545	DR097_RS03120
OG0000032	EXC50_RS04070	DR097_RS00730
OG0000035	EXC50_RS02025	DR097_RS04085
OG0000036	EXC50_RS00115	DR097_RS02435
OG0000036	EXC50_RS00130	DR097_RS02415
OG0000037	EXC50_RS03970	DR097_RS04800
OG0000039	EXC50_RS03975	DR097_RS04950
OG0000040	EXC50_RS02120	DR097_RS03560
OG0000041	EXC50_RS03415	DR097_RS03645
OG0000042	EXC50_RS01780	DR097_RS01265
OG0000043	EXC50_RS00860	DR097_RS00855
OG0000044	EXC50_RS04255	DR097_RS04900
OG0000045	EXC50_RS00570	DR097_RS03525
OG0000046	EXC50_RS02130	DR097_RS04785
OG0000047	EXC50_RS00500	DR097_RS02010
OG0000048	EXC50_RS01040	DR097_RS02830
OG0000049	EXC50_RS01890	DR097_RS01470
OG0000050	EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	DR097_RS01960
OG0000051	EXC50_RS01500	DR097_RS01545
OG0000052	EXC50_RS00075	DR097_RS02480
OG0000053	EXC50_RS02640	DR097_RS04845
OG0000054	EXC50_RS03835, EXC50_RS01320, EXC50_RS04250	DR097_RS01935
OG0000055	EXC50_RS00135	DR097_RS00305
OG0000056	EXC50_RS02375	DR097_RS00545
OG0000057	EXC50_RS01765	DR097_RS01250
OG0000058	EXC50_RS03810	DR097_RS02080
OG0000059	EXC50_RS02510	DR097_RS04190, DR097_RS02070
OG0000060	EXC50_RS04110	DR097_RS00425
OG0000061	EXC50_RS00525	DR097_RS02500
OG0000062	EXC50_RS02425	DR097_RS02590
OG0000063	EXC50_RS02420	DR097_RS04735
OG0000064	EXC50_RS02410	DR097_RS02605
OG0000065	EXC50_RS01100	DR097_RS02745
OG0000066	EXC50_RS02735	DR097_RS01675
OG0000067	EXC50_RS03560	DR097_RS02405
OG0000068	EXC50_RS03440	DR097_RS03055
OG0000069	EXC50_RS01655	DR097_RS01725
OG0000070	EXC50_RS03840, EXC50_RS01325	DR097_RS01930
OG0000071	EXC50_RS02110	DR097_RS03575
OG0000072	EXC50_RS02115	DR097_RS03580, DR097_RS04860
