Orthogroup	MHP_NCTC10127_genes	MHP_4284_genes
OG0000000	EXC50_RS01055	ABLE99_RS02150
OG0000000	EXC50_RS03990, EXC50_RS00675	ABLE99_RS01670
OG0000001	EXC50_RS01640	ABLE99_RS02690
OG0000001	EXC50_RS01590	ABLE99_RS02640
OG0000002	EXC50_RS04010	ABLE99_RS02040
OG0000002	EXC50_RS03900	ABLE99_RS02035
OG0000002	EXC50_RS00680	ABLE99_RS01675
OG0000003	EXC50_RS03580	ABLE99_RS00505
OG0000004	EXC50_RS02030	ABLE99_RS03080
OG0000004	EXC50_RS02050	ABLE99_RS03095
OG0000004	EXC50_RS01865	ABLE99_RS02925, ABLE99_RS02905
OG0000005	EXC50_RS00100	ABLE99_RS00100
OG0000005	EXC50_RS00120	ABLE99_RS00120
OG0000005	EXC50_RS00105	ABLE99_RS00105
OG0000005	EXC50_RS00110	ABLE99_RS00110
OG0000005	EXC50_RS00125	ABLE99_RS00125
OG0000008	EXC50_RS01160, EXC50_RS04015	ABLE99_RS02145
OG0000008	EXC50_RS00595	ABLE99_RS01590
OG0000008	EXC50_RS04030	ABLE99_RS02405
OG0000009	EXC50_RS00085	ABLE99_RS00085
OG0000009	EXC50_RS03405	ABLE99_RS00995
OG0000010	EXC50_RS00795	ABLE99_RS01770
OG0000011	EXC50_RS00895	ABLE99_RS01865
OG0000011	EXC50_RS00890	ABLE99_RS01860
OG0000012	EXC50_RS01855	ABLE99_RS02305
OG0000013	EXC50_RS01255	ABLE99_RS02310
OG0000014	EXC50_RS04120	ABLE99_RS00590
OG0000014	EXC50_RS03480	ABLE99_RS01060
OG0000016	EXC50_RS01680	ABLE99_RS02735
OG0000016	EXC50_RS00170	ABLE99_RS00170
OG0000017	EXC50_RS00155	ABLE99_RS00155
OG0000017	EXC50_RS01690	ABLE99_RS02745
OG0000019	EXC50_RS04060	ABLE99_RS02920, ABLE99_RS02915
OG0000020	EXC50_RS02390	ABLE99_RS03410
OG0000020	EXC50_RS02395	ABLE99_RS03415
OG0000021	EXC50_RS00715	ABLE99_RS01695
OG0000022	EXC50_RS00615	ABLE99_RS01610
OG0000022	EXC50_RS00670	ABLE99_RS01665
OG0000023	EXC50_RS02770, EXC50_RS00495, EXC50_RS03740	ABLE99_RS01285
OG0000024	EXC50_RS01585	ABLE99_RS02635
OG0000024	EXC50_RS02815	ABLE99_RS01245
OG0000025	EXC50_RS00620	ABLE99_RS01615
OG0000025	EXC50_RS00665	ABLE99_RS01660
OG0000026	EXC50_RS02725	ABLE99_RS01330
OG0000026	EXC50_RS00645	ABLE99_RS01640
OG0000027	EXC50_RS02185	ABLE99_RS03220
OG0000029	EXC50_RS03005	ABLE99_RS00595
OG0000030	EXC50_RS02175	ABLE99_RS03215
OG0000031	EXC50_RS00545	ABLE99_RS01555
OG0000035	EXC50_RS02045	ABLE99_RS03090
OG0000036	EXC50_RS00115	ABLE99_RS00115
OG0000036	EXC50_RS00130	ABLE99_RS00130
OG0000037	EXC50_RS03970	ABLE99_RS01540
OG0000038	EXC50_RS03585	ABLE99_RS00495
