Orthogroup	MHP_NCTC10127_genes	MFC_MF11_genes
OG0000000	EXC50_RS01055	DR093_RS02920
OG0000000	EXC50_RS03990	DR093_RS03435
OG0000001	EXC50_RS02805, EXC50_RS02810, EXC50_RS01640, EXC50_RS04045, EXC50_RS01590	DR093_RS00830, DR093_RS00825
OG0000002	EXC50_RS00680	DR093_RS03845
OG0000004	EXC50_RS01845, EXC50_RS01865	DR093_RS01845
OG0000008	EXC50_RS00595	DR093_RS03250
OG0000011	EXC50_RS00895	DR093_RS03025
OG0000011	EXC50_RS00890	DR093_RS03260
OG0000013	EXC50_RS01255	DR093_RS01095, DR093_RS01090
OG0000013	EXC50_RS03965	DR093_RS03220
OG0000014	EXC50_RS04120, EXC50_RS03000, EXC50_RS03480	DR093_RS03805
OG0000016	EXC50_RS01680	DR093_RS00770
OG0000016	EXC50_RS00170	DR093_RS00190
OG0000017	EXC50_RS00155	DR093_RS00175
OG0000017	EXC50_RS01690	DR093_RS00760
OG0000018	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085	DR093_RS03935
OG0000019	EXC50_RS04065	DR093_RS03125
OG0000020	EXC50_RS02390	DR093_RS03835
OG0000020	EXC50_RS02395	DR093_RS03830
OG0000022	EXC50_RS00670	DR093_RS03840
OG0000023	EXC50_RS02770, EXC50_RS00495, EXC50_RS03740	DR093_RS01985
OG0000024	EXC50_RS01585, EXC50_RS02815	DR093_RS00835
OG0000025	EXC50_RS00665	DR093_RS01230
OG0000026	EXC50_RS02725, EXC50_RS00645	DR093_RS02030
OG0000027	EXC50_RS02185	DR093_RS01425
OG0000027	EXC50_RS02200	DR093_RS03885
OG0000028	EXC50_RS01265	DR093_RS01110
OG0000029	EXC50_RS03005, EXC50_RS03475	DR093_RS00605
OG0000030	EXC50_RS02175, EXC50_RS02195	DR093_RS03890
OG0000031	EXC50_RS02515, EXC50_RS03805, EXC50_RS00545	DR093_RS02685
OG0000032	EXC50_RS04070, EXC50_RS02190	DR093_RS01420
OG0000039	EXC50_RS03975, EXC50_RS00560	DR093_RS00665
OG0000040	EXC50_RS02120	DR093_RS02380, DR093_RS03230
OG0000042	EXC50_RS01780	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	EXC50_RS00860	DR093_RS02660
OG0000045	EXC50_RS00570	DR093_RS00670
OG0000047	EXC50_RS00500, EXC50_RS03955, EXC50_RS03735	DR093_RS00840
OG0000048	EXC50_RS01040	DR093_RS03685, DR093_RS03690
OG0000049	EXC50_RS01890	DR093_RS03590
