Orthogroup	MHP_NCTC10127_genes	MHP_153B_genes
OG0000000	EXC50_RS01055	NB625_RS02335
OG0000001	EXC50_RS01640	NB625_RS02955
OG0000001	EXC50_RS01590	NB625_RS02910
OG0000002	EXC50_RS04010	NB625_RS02350
OG0000002	EXC50_RS03900	NB625_RS02345
OG0000002	EXC50_RS00680	NB625_RS01730
OG0000004	EXC50_RS02030	NB625_RS03355
OG0000004	EXC50_RS02050	NB625_RS03370
OG0000004	EXC50_RS01865	NB625_RS03190
OG0000005	EXC50_RS00100	NB625_RS00100
OG0000005	EXC50_RS00120	NB625_RS00125
OG0000005	EXC50_RS00110	NB625_RS00105
OG0000006	EXC50_RS01210	NB625_RS02645
OG0000008	EXC50_RS01160, EXC50_RS04015	NB625_RS02460
OG0000008	EXC50_RS00595	NB625_RS01635, NB625_RS01640
OG0000008	EXC50_RS04030	NB625_RS02660
OG0000009	EXC50_RS03420	NB625_RS01020
OG0000009	EXC50_RS00085	NB625_RS00085
OG0000009	EXC50_RS03405	NB625_RS01005
OG0000010	EXC50_RS00795, EXC50_RS04090, EXC50_RS02530, EXC50_RS00095	NB625_RS01850
OG0000011	EXC50_RS00895	NB625_RS01950
OG0000012	EXC50_RS01855	NB625_RS02890, NB625_RS01075, NB625_RS01865
OG0000013	EXC50_RS01255	NB625_RS02545
OG0000013	EXC50_RS03965	NB625_RS00190
OG0000014	EXC50_RS03000	NB625_RS01095
OG0000014	EXC50_RS03480	NB625_RS01085
OG0000015	EXC50_RS03670	NB625_RS02065
OG0000016	EXC50_RS01680	NB625_RS02995
OG0000016	EXC50_RS00170	NB625_RS00175
OG0000017	EXC50_RS00155	NB625_RS00160
OG0000017	EXC50_RS01690	NB625_RS03005
OG0000018	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085	NB625_RS02090
OG0000019	EXC50_RS04060	NB625_RS03185
OG0000020	EXC50_RS02395	NB625_RS03695
OG0000021	EXC50_RS04125	NB625_RS01755
OG0000021	EXC50_RS03575	NB625_RS01760
OG0000022	EXC50_RS00615	NB625_RS01665
OG0000022	EXC50_RS00670	NB625_RS01720
OG0000023	EXC50_RS02770, EXC50_RS00495, EXC50_RS03740	NB625_RS01320
OG0000024	EXC50_RS01585	NB625_RS02905
OG0000024	EXC50_RS02815	NB625_RS01275
OG0000025	EXC50_RS00620	NB625_RS01670
OG0000025	EXC50_RS00665	NB625_RS01715
OG0000026	EXC50_RS02725	NB625_RS01365
OG0000026	EXC50_RS00645	NB625_RS01695
OG0000027	EXC50_RS02185	NB625_RS03505
OG0000029	EXC50_RS03005	NB625_RS00600
OG0000029	EXC50_RS03475	NB625_RS01080
OG0000030	EXC50_RS02175	NB625_RS03495
OG0000031	EXC50_RS02515, EXC50_RS03805	NB625_RS02145
OG0000031	EXC50_RS00545	NB625_RS01605
OG0000035	EXC50_RS02045	NB625_RS03365
OG0000036	EXC50_RS00115	NB625_RS00110
OG0000036	EXC50_RS00130	NB625_RS00130
OG0000039	EXC50_RS03975, EXC50_RS00560	NB625_RS01615
OG0000040	EXC50_RS02120	NB625_RS03440
OG0000041	EXC50_RS03415	NB625_RS01015
OG0000042	EXC50_RS01780	NB625_RS03095
OG0000043	EXC50_RS00860	NB625_RS01915
OG0000044	EXC50_RS04255	NB625_RS01680
OG0000044	EXC50_RS00745	NB625_RS01790
OG0000045	EXC50_RS00570	NB625_RS01620
OG0000046	EXC50_RS02130	NB625_RS03445
OG0000047	EXC50_RS00500	NB625_RS02080
OG0000048	EXC50_RS01040	NB625_RS02195
OG0000049	EXC50_RS01890	NB625_RS03205
OG0000050	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295	NB625_RS02595
OG0000051	EXC50_RS01500	NB625_RS02810
OG0000052	EXC50_RS00075	NB625_RS00075
OG0000053	EXC50_RS02640	NB625_RS01450, NB625_RS01455
OG0000054	EXC50_RS03835, EXC50_RS01320, EXC50_RS04250	NB625_RS02620
OG0000055	EXC50_RS00135	NB625_RS00135
OG0000056	EXC50_RS02375	NB625_RS03680
OG0000057	EXC50_RS01765	NB625_RS03080
