#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_MWWN01000002.1:233674-234465|- -            264 1679at2085           -            265   1.2e-78  259.4  13.2   1   1   1.5e-80   1.3e-78  259.3  13.2    12   256     1   255     1   263 0.90 NZ_MWWN01000002.1_203 # 233674 # 234465 # -1 # ID=2_203;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NZ_MWWN01000001.1:313140-314441|+ -            434 1679at2085           -            265   3.5e-23   77.5  11.9   1   3   1.5e-11   1.3e-09   33.1   0.2   123   177     6    64     1    79 0.80 NZ_MWWN01000001.1_227 # 313140 # 314441 # 1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_MWWN01000001.1:313140-314441|+ -            434 1679at2085           -            265   3.5e-23   77.5  11.9   2   3   1.6e-12   1.4e-10   36.3   0.5    22   173    78   228    71   240 0.77 NZ_MWWN01000001.1_227 # 313140 # 314441 # 1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_MWWN01000001.1:313140-314441|+ -            434 1679at2085           -            265   3.5e-23   77.5  11.9   3   3   7.1e-06   0.00061   14.4   1.1    24   139   251   380   245   386 0.62 NZ_MWWN01000001.1_227 # 313140 # 314441 # 1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_MWWN01000003.1:73861-74457|-   -            199 1679at2085           -            265   2.4e-13   45.3   5.4   1   2   8.2e-13     7e-11   37.2   0.1   123   172    41    91    32   106 0.90 NZ_MWWN01000003.1_45 # 73861 # 74457 # -1 # ID=3_45;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
NZ_MWWN01000003.1:73861-74457|-   -            199 1679at2085           -            265   2.4e-13   45.3   5.4   2   2   0.00018     0.016    9.8   1.8    24    97   117   195   102   198 0.78 NZ_MWWN01000003.1_45 # 73861 # 74457 # -1 # ID=3_45;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
NZ_MWWN01000002.1:106800-108128|+ -            443 1679at2085           -            265   1.5e-12   42.7  15.7   1   3       1.1        91   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_MWWN01000002.1_84 # 106800 # 108128 # 1 # ID=2_84;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_MWWN01000002.1:106800-108128|+ -            443 1679at2085           -            265   1.5e-12   42.7  15.7   2   3   1.3e-13   1.1e-11   39.8   0.2    97   174   194   275   185   287 0.79 NZ_MWWN01000002.1_84 # 106800 # 108128 # 1 # ID=2_84;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_MWWN01000002.1:106800-108128|+ -            443 1679at2085           -            265   1.5e-12   42.7  15.7   3   3   0.00027     0.023    9.3   6.3    21   104   291   366   283   386 0.70 NZ_MWWN01000002.1_84 # 106800 # 108128 # 1 # ID=2_84;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_MWWN01000002.1:150553-151434|+ -            294 1679at2085           -            265   1.5e-10   36.1   9.5   1   2   2.1e-11   1.8e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_MWWN01000002.1_136 # 150553 # 151434 # 1 # ID=2_136;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_MWWN01000002.1:150553-151434|+ -            294 1679at2085           -            265   1.5e-10   36.1   9.5   2   2    0.0015      0.13    6.8   4.0    47   103   108   169    77   190 0.77 NZ_MWWN01000002.1_136 # 150553 # 151434 # 1 # ID=2_136;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_MWWN01000001.1:275716-276975|+ -            420 1679at2085           -            265   3.7e-06   21.7  12.8   1   2     5e-07   4.2e-05   18.2   0.1   124   175   161   215   145   236 0.75 NZ_MWWN01000001.1_196 # 275716 # 276975 # 1 # ID=1_196;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.308
NZ_MWWN01000001.1:275716-276975|+ -            420 1679at2085           -            265   3.7e-06   21.7  12.8   2   2    0.0072      0.61    4.6   9.4    39   121   257   343   253   346 0.86 NZ_MWWN01000001.1_196 # 275716 # 276975 # 1 # ID=1_196;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.308
NZ_MWWN01000004.1:4505-5608|-     -            368 1679at2085           -            265   1.3e-05   19.9   0.1   1   1   3.4e-07   2.9e-05   18.8   0.1   119   155     2    37     1    47 0.85 NZ_MWWN01000004.1_5 # 4505 # 5608 # -1 # ID=4_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.303
NZ_MWWN01000002.1:153756-154613|+ -            286 1679at2085           -            265   1.9e-05   19.4   8.0   1   1   4.7e-05     0.004   11.8   8.0    19   173    65   212    58   231 0.62 NZ_MWWN01000002.1_140 # 153756 # 154613 # 1 # ID=2_140;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.280
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/11/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/11/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
