Orthogroup	MHP_KM014_proteins	MHP_232_proteins
OG0000000	WP_094521686.1	WP_011206233.1
OG0000000	WP_157696714.1, WP_157696719.1	WP_011206165.1
OG0000001	WP_011206352.1	WP_228365393.1
OG0000001	WP_094521729.1	WP_232039548.1, WP_011206342.1
OG0000002	WP_011284160.1	WP_011206236.1
OG0000002	WP_094521652.1	WP_011206167.1
OG0000003	WP_094521572.1	WP_044284791.1, WP_044284785.1
OG0000003	WP_094521666.1	WP_187145846.1
OG0000004	WP_044284710.1	WP_011206448.1
OG0000004	WP_094521753.1	WP_011206415.1
OG0000005	WP_094521539.1	WP_011205860.1
OG0000005	WP_094521540.1	WP_011205864.1
OG0000006	WP_041361789.1	WP_011206294.1
OG0000006	WP_094521717.1	WP_011206263.1, WP_011206269.1
OG0000008	WP_094521776.1	WP_232039538.1, WP_011206260.1
OG0000009	WP_094521537.1	WP_011205856.1
OG0000009	WP_094521581.1	WP_011206098.1
OG0000010	WP_094521667.1	WP_011206187.1
OG0000010	WP_094521538.1	WP_228366119.1
OG0000011	WP_094521674.1	WP_011206202.1
OG0000012	WP_094521543.1, WP_094521638.1, WP_094521670.1	WP_011205920.1
OG0000014	WP_094521602.1	WP_011206019.1
OG0000015	WP_094521565.1	WP_011206371.1
OG0000016	WP_094521736.1	WP_011206378.1
OG0000017	WP_020835500.1	WP_011205870.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000018	WP_094521567.1	WP_011206364.1
OG0000018	WP_094521560.1	WP_011206365.1
OG0000020	WP_094521756.1	WP_011206517.1
OG0000022	WP_094521650.1	WP_011206164.1
OG0000023	WP_094521566.1	WP_011206367.1
OG0000024	WP_094521619.1	WP_011205981.1
OG0000025	WP_094521649.1	WP_011206163.1
OG0000026	WP_094521646.1	WP_011206159.1
OG0000027	WP_094521515.1	WP_011206480.1
OG0000028	WP_094521713.1	WP_011206281.1
OG0000030	WP_020835904.1	WP_011206479.1
OG0000031	WP_088172525.1	WP_011206356.1
OG0000035	WP_094521509.1	WP_011206449.1
OG0000035	WP_094521508.1	WP_011206447.1
OG0000036	WP_044284813.1	WP_011205863.1
OG0000037	WP_094521641.1, WP_094521640.1	WP_044284786.1
OG0000038	WP_094521654.1	WP_011206130.1, WP_011206171.1
OG0000039	WP_094521643.1	WP_232039515.1, WP_011206145.1
