Orthogroup	MHP_KM014_proteins	MHP_98_proteins
OG0000000	WP_094521686.1	WP_258556549.1
OG0000000	WP_157696714.1, WP_157696719.1	WP_258556573.1
OG0000001	WP_094521767.1	WP_258556582.1
OG0000001	WP_011206352.1	WP_228365393.1
OG0000001	WP_094521729.1	WP_258556578.1, WP_258556577.1
OG0000002	WP_011284160.1	WP_237697200.1
OG0000002	WP_094521652.1	WP_179696125.1
OG0000003	WP_094521572.1	WP_258556536.1
OG0000003	WP_094521666.1	WP_052259119.1, WP_179696107.1
OG0000004	WP_094521510.1	WP_179695903.1
OG0000005	WP_094521539.1	WP_179695878.1
OG0000006	WP_041361789.1	WP_179695976.1
OG0000006	WP_094521717.1	WP_258556552.1, WP_179696027.1
OG0000008	WP_094521776.1	WP_179696025.1
OG0000009	WP_094521537.1	WP_041361519.1
OG0000009	WP_094521581.1	WP_179695839.1
OG0000010	WP_094521667.1	WP_179696106.1
OG0000010	WP_094521538.1	WP_258555487.1
OG0000011	WP_094521674.1	WP_179696098.1
OG0000014	WP_094521578.1	WP_179696116.1, WP_179695966.1
OG0000015	WP_094521565.1	WP_179695828.1
OG0000015	WP_094521488.1, WP_014579746.1	WP_258556564.1
OG0000016	WP_094521736.1	WP_179695925.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000018	WP_094521567.1	WP_179695831.1
OG0000020	WP_094521756.1	WP_258556514.1
OG0000021	WP_094521573.1	WP_160590103.1
OG0000021	WP_094521655.1	WP_179696103.1
OG0000022	WP_094521650.1	WP_011290156.1
OG0000023	WP_094521566.1	WP_258556508.1
OG0000024	WP_094521619.1	WP_011205981.1
OG0000025	WP_094521649.1	WP_179696070.1
OG0000026	WP_094521646.1	WP_160606777.1
OG0000027	WP_094521515.1	WP_179695885.1
OG0000028	WP_094521710.1	WP_179695973.1
OG0000030	WP_020835904.1	WP_308705275.1
OG0000031	WP_088172525.1	WP_179695837.1
OG0000035	WP_094521509.1	WP_179695901.1
OG0000035	WP_094521508.1	WP_179695904.1
OG0000036	WP_044284813.1	WP_179696118.1
OG0000037	WP_094521640.1	WP_308705298.1
OG0000038	WP_094521654.1	WP_179696113.1, WP_179696124.1
OG0000039	WP_094521643.1	WP_011290139.1
OG0000041	WP_011206099.1	WP_232039589.1
OG0000042	WP_094521741.1	WP_179695917.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_011290239.1	WP_014579804.1
OG0000045	WP_094521771.1	WP_225973032.1
OG0000048	WP_011284150.1	WP_179696016.1
OG0000049	WP_094521498.1	WP_179695914.1
OG0000051	WP_094521726.1	WP_179695991.1
OG0000052	WP_094521536.1	WP_011289937.1
OG0000053	WP_094521633.1	WP_020835649.1
OG0000054	WP_011206291.1	WP_179695975.1
OG0000055	WP_011205867.1	WP_160607724.1
OG0000056	WP_157696708.1, WP_157696707.1	WP_179695863.1
OG0000057	WP_094521783.1	WP_020835847.1
OG0000058	WP_094521760.1, WP_094521555.1, WP_094521493.1	WP_179695838.1
OG0000059	WP_094521751.1, WP_094521761.1	WP_220200465.1
OG0000060	WP_011283837.1	WP_258556516.1
OG0000061	WP_094521669.1	WP_179696104.1
OG0000062	WP_094521530.1	WP_011206522.1
OG0000063	WP_094521529.1	WP_179695867.1
OG0000064	WP_011290440.1	WP_160588095.1
OG0000065	WP_011290219.1	WP_011290219.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_179695928.1, WP_179696086.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_094521512.1	WP_179695896.1
OG0000072	WP_094521513.1	WP_308705279.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000075	WP_094521552.1	WP_179695946.1
OG0000077	WP_094521763.1	WP_179695954.1
OG0000078	WP_094521645.1	WP_179696073.1
OG0000079	WP_011206305.1	WP_179695982.1
OG0000080	WP_014579900.1	WP_179695988.1
OG0000081	WP_094521551.1	WP_179695945.1
OG0000083	WP_094521681.1	WP_094521681.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000086	WP_094521683.1	WP_179696014.1
OG0000087	WP_094521684.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011290212.1
OG0000090	WP_094521535.1	WP_094521535.1
OG0000091	WP_020835487.1	WP_179695876.1
OG0000092	WP_011205847.1	WP_179695874.1
OG0000093	WP_011205846.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_179695873.1
OG0000095	WP_094521532.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_094521757.1	WP_258556515.1
OG0000100	WP_094521527.1	WP_160584888.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_094521648.1	WP_179696071.1
