Orthogroup	MHP_KM014_proteins	MHP_MHP696_proteins
OG0000000	WP_094521687.1	WP_308507072.1
OG0000000	WP_039387598.1	WP_039387598.1
OG0000000	WP_157696714.1, WP_157696719.1	WP_160617502.1
OG0000001	WP_011206352.1	WP_258555241.1
OG0000001	WP_094521729.1	WP_228366104.1, WP_258555237.1
OG0000002	WP_011284160.1	WP_258555377.1
OG0000002	WP_094521652.1	WP_160588193.1
OG0000003	WP_094521666.1	WP_052293597.1
OG0000005	WP_094521539.1	WP_160588124.1
OG0000005	WP_094521540.1	WP_160588336.1
OG0000006	WP_041361789.1	WP_225972988.1
OG0000006	WP_094521717.1	WP_308507061.1, WP_258555362.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_160588331.1
OG0000009	WP_094521537.1	WP_146379448.1
OG0000009	WP_094521581.1	WP_011290021.1
OG0000010	WP_094521667.1	WP_160587884.1
OG0000010	WP_094521538.1	WP_160588372.1, WP_160588382.1
OG0000011	WP_094521674.1	WP_160587900.1
OG0000014	WP_094521602.1	WP_160587971.1
OG0000015	WP_094521565.1, WP_094521488.1, WP_014579746.1	WP_225973030.1
OG0000016	WP_094521736.1	WP_160587852.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_094521623.1, WP_094521567.1, WP_094521560.1	WP_160588235.1
OG0000019	WP_094521752.1	WP_160617521.1
OG0000020	WP_094521756.1	WP_220191087.1
OG0000021	WP_094521573.1, WP_094521655.1	WP_044284635.1
OG0000022	WP_094521650.1	WP_160588197.1
OG0000023	WP_094521750.1, WP_094521566.1, WP_094521562.1	WP_160588233.1
OG0000024	WP_094521619.1	WP_160588003.1
OG0000025	WP_094521649.1	WP_160588199.1
OG0000026	WP_094521646.1	WP_160588201.1
OG0000027	WP_094521515.1	WP_160588189.1
OG0000028	WP_094521709.1, WP_094521712.1	WP_160617517.1
OG0000028	WP_094521710.1	WP_160617508.1
OG0000030	WP_020835904.1	WP_020835904.1
OG0000031	WP_088172525.1, WP_011290238.1	WP_011290137.1
OG0000035	WP_094521509.1	WP_160588344.1
OG0000035	WP_094521508.1	WP_160588066.1
OG0000036	WP_044284813.1	WP_020835495.1
OG0000038	WP_094521654.1	WP_160617486.1
OG0000039	WP_094521643.1	WP_160588346.1
OG0000041	WP_011206099.1	WP_258555272.1
OG0000042	WP_094521741.1	WP_308507064.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_011290239.1	WP_014579804.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_094521771.1	WP_225973032.1
OG0000048	WP_011284150.1	WP_011284150.1
OG0000049	WP_094521498.1	WP_020835860.1
OG0000051	WP_094521726.1	WP_160587825.1
OG0000052	WP_094521536.1	WP_146379447.1
OG0000053	WP_094521633.1	WP_160588221.1
OG0000054	WP_011206291.1	WP_160588303.1
OG0000055	WP_011205867.1	WP_146379455.1
OG0000056	WP_157696708.1, WP_157696707.1	WP_160588161.1
OG0000057	WP_094521783.1	WP_160587863.1
OG0000060	WP_011283837.1	WP_225973002.1
OG0000061	WP_094521669.1	WP_160587888.1
OG0000062	WP_094521530.1	WP_160588098.1
OG0000063	WP_094521529.1	WP_146379768.1
OG0000064	WP_011290440.1	WP_160588095.1
OG0000065	WP_011290219.1	WP_011290219.1
OG0000067	WP_094521575.1	WP_160615850.1
OG0000068	WP_011206103.1	WP_160587949.1
OG0000069	WP_011206373.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_146379657.1
OG0000071	WP_094521512.1	WP_160585219.1
OG0000072	WP_094521513.1	WP_160588134.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000075	WP_094521552.1	WP_014579568.1
OG0000077	WP_094521763.1	WP_160588013.1
OG0000078	WP_094521645.1	WP_160588203.1
OG0000079	WP_011206305.1	WP_011206305.1
OG0000080	WP_014579900.1	WP_179695988.1
OG0000081	WP_094521551.1	WP_160588023.1
OG0000082	WP_094521707.1	WP_258555885.1
OG0000083	WP_094521681.1	WP_160587917.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000086	WP_094521683.1	WP_160587925.1
OG0000087	WP_094521684.1	WP_160587927.1
OG0000088	WP_044272480.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_094521535.1	WP_160588122.1
OG0000091	WP_020835487.1	WP_160588118.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_160588114.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_094521532.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_094521757.1	WP_258555298.1
OG0000100	WP_094521527.1	WP_160585575.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_094521648.1	WP_160588213.1
OG0000103	WP_011206238.1	WP_160606854.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_094521691.1	WP_160588282.1
OG0000106	WP_011290218.1	WP_135618884.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_014579827.1	WP_308507065.1
OG0000109	WP_094521692.1	WP_146379632.1
OG0000110	WP_094521705.1	WP_160585726.1
OG0000111	WP_094521704.1	WP_258555345.1
OG0000112	WP_094521703.1	WP_237697204.1
OG0000113	WP_094521701.1	WP_160585296.1
OG0000114	WP_094521777.1	WP_258555347.1
OG0000115	WP_094521698.1	WP_160585718.1
OG0000116	WP_094521621.1	WP_146379549.1
OG0000117	WP_094521622.1	WP_160588005.1
OG0000118	WP_094521624.1	WP_179221071.1
OG0000119	WP_094521625.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011205959.1	WP_011284032.1
OG0000122	WP_094521627.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_160588259.1
OG0000126	WP_094521629.1	WP_146379560.1
OG0000127	WP_094521631.1	WP_011290122.1
OG0000128	WP_094521634.1	WP_160585095.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_094521635.1	WP_160588225.1
OG0000132	WP_094521636.1	WP_160588229.1
OG0000133	WP_094521764.1	WP_094521764.1
OG0000134	WP_094521765.1	WP_228365407.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_094521576.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_011206106.1	WP_160587956.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_160584795.1
OG0000141	WP_011290345.1	WP_160617495.1
OG0000142	WP_094521740.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_094521739.1	WP_160587861.1
OG0000145	WP_011290337.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_094521737.1	WP_160587854.1
OG0000149	WP_011206379.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_135619006.1
OG0000151	WP_094521732.1	WP_020835828.1
OG0000152	WP_094521731.1	WP_020835827.1
OG0000153	WP_011206347.1	WP_011206347.1
OG0000154	WP_094521730.1	WP_160587842.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_160587838.1
OG0000157	WP_011206334.1	WP_160587836.1
OG0000158	WP_094521727.1	WP_160587834.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_081430769.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_146379654.1
OG0000163	WP_094521716.1	WP_160588299.1
OG0000164	WP_094521642.1	WP_146379571.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_094521676.1	WP_011206204.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_044284793.1	WP_160587908.1
OG0000169	WP_094521497.1	WP_002557698.1
OG0000171	WP_011206422.1	WP_146379717.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_094521499.1	WP_160588049.1
OG0000174	WP_094521500.1	WP_160588051.1
OG0000175	WP_094521754.1	WP_160588054.1
OG0000176	WP_094521505.1	WP_160607777.1
OG0000177	WP_094521506.1	WP_160585273.1
OG0000178	WP_020835878.1	WP_160585275.1
OG0000179	WP_014579979.1	WP_020835880.1
OG0000180	WP_011206445.1	WP_081642895.1
OG0000181	WP_020835888.1	WP_020835888.1
OG0000182	WP_011206453.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_011206468.1	WP_160588140.1
OG0000185	WP_094521514.1	WP_160588138.1
OG0000186	WP_094521637.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_094521695.1	WP_160588291.1
OG0000190	WP_011206256.1	WP_146379637.1
OG0000191	WP_011290223.1	WP_020835755.1
OG0000192	WP_011205992.1	WP_160587990.1
OG0000193	WP_094521610.1	WP_094521610.1
OG0000194	WP_094521582.1	WP_011290023.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_094521584.1	WP_179695841.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_094521587.1	WP_160588272.1
OG0000201	WP_094521588.1	WP_011283934.1
OG0000202	WP_011283943.1	WP_160588267.1
OG0000203	WP_094521591.1	WP_160588265.1
OG0000204	WP_014579633.1	WP_160617497.1
OG0000205	WP_094521592.1	WP_160588086.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_094521594.1	WP_094521594.1
OG0000208	WP_011290046.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_094521596.1	WP_011206052.1
OG0000211	WP_011206050.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_160588083.1
OG0000215	WP_011206046.1	WP_011290055.1
OG0000216	WP_011283965.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_160588081.1
OG0000218	WP_094521597.1	WP_011290058.1
OG0000219	WP_051129924.1	WP_020835591.1
OG0000220	WP_011206040.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_041361589.1	WP_160588076.1
OG0000225	WP_094521598.1	WP_160588073.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011206031.1	WP_011206031.1
OG0000228	WP_094521599.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_014579605.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_011290071.1	WP_011290071.1
