Orthogroup	MHP_KM014_proteins	MHP_F72C_proteins
OG0000000	WP_094521687.1	WP_225973043.1
OG0000000	WP_094521686.1	WP_225973037.1
OG0000001	WP_011206352.1	WP_225972995.1
OG0000001	WP_094521729.1	WP_225972992.1, WP_225972991.1
OG0000002	WP_011284160.1	WP_225972974.1
OG0000002	WP_094521652.1	WP_146379583.1
OG0000003	WP_094521666.1	WP_192894277.1
OG0000004	WP_094521510.1	WP_020835883.1
OG0000004	WP_094521753.1	WP_225973000.1
OG0000005	WP_094521539.1	WP_146379449.1
OG0000005	WP_094521540.1	WP_146379452.1
OG0000006	WP_041361789.1	WP_225972988.1
OG0000006	WP_094521717.1	WP_225972980.1, WP_258555362.1, WP_225972978.1
OG0000007	WP_011284157.1	WP_146379518.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_094521776.1	WP_011290229.1
OG0000009	WP_094521537.1	WP_146379448.1
OG0000009	WP_094521581.1	WP_146379497.1
OG0000010	WP_094521667.1	WP_146379615.1
OG0000011	WP_094521674.1	WP_146379608.1
OG0000012	WP_094521543.1, WP_094521638.1, WP_094521670.1	WP_011284103.1, WP_146379586.1, WP_146379713.1
OG0000014	WP_094521578.1	WP_146379490.1
OG0000014	WP_094521602.1	WP_146379526.1
OG0000016	WP_094521736.1	WP_146379690.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_094521623.1	WP_146379553.1
OG0000019	WP_094521752.1	WP_146379712.1
OG0000019	WP_094521748.1, WP_094521749.1	WP_146379710.1
OG0000020	WP_094521756.1	WP_192894283.1
OG0000021	WP_094521655.1	WP_094521655.1
OG0000022	WP_094521650.1	WP_146379581.1
OG0000024	WP_094521619.1	WP_146379547.1
OG0000025	WP_094521649.1	WP_146379580.1
OG0000026	WP_094521646.1	WP_146379579.1
OG0000028	WP_094521710.1	WP_146379651.1
OG0000031	WP_088172525.1, WP_011290238.1	WP_011290137.1
OG0000035	WP_094521509.1	WP_146379730.1
OG0000035	WP_094521508.1	WP_146379728.1
OG0000036	WP_044284813.1	WP_225973004.1
OG0000037	WP_094521640.1	WP_225973046.1
OG0000038	WP_094521654.1	WP_146379621.1, WP_146379625.1
OG0000039	WP_094521643.1	WP_146379572.1
OG0000041	WP_011206099.1	WP_192894287.1
OG0000042	WP_094521741.1	WP_146379699.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_011290239.1	WP_014579804.1
OG0000045	WP_094521771.1	WP_225973032.1
OG0000048	WP_011284150.1	WP_146379588.1
OG0000049	WP_094521498.1	WP_146379714.1
OG0000051	WP_094521726.1	WP_146379673.1
OG0000052	WP_094521536.1	WP_146379447.1
OG0000053	WP_094521633.1	WP_146379563.1
OG0000054	WP_011206291.1	WP_146379656.1
OG0000055	WP_011205867.1	WP_146379455.1
OG0000056	WP_157696708.1, WP_157696707.1	WP_146379764.1
OG0000057	WP_094521783.1	WP_146379697.1
OG0000060	WP_011283837.1	WP_225973002.1
OG0000061	WP_094521669.1	WP_146379613.1
OG0000062	WP_094521530.1	WP_011290443.1
OG0000063	WP_094521529.1	WP_146379768.1
OG0000064	WP_011290440.1	WP_011290440.1
OG0000065	WP_011290219.1	WP_011290219.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_146379657.1
OG0000071	WP_094521512.1	WP_146379735.1
OG0000072	WP_094521513.1	WP_146379736.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000075	WP_094521552.1	WP_146379474.1
OG0000077	WP_094521763.1	WP_146379479.1
OG0000078	WP_094521645.1	WP_146379578.1
OG0000079	WP_011206305.1	WP_146379663.1
OG0000080	WP_014579900.1	WP_192894279.1
OG0000081	WP_094521551.1	WP_225973010.1
OG0000082	WP_094521707.1	WP_225972983.1
OG0000083	WP_094521681.1	WP_146379599.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000086	WP_094521683.1	WP_146379593.1
OG0000087	WP_094521684.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_146379590.1
OG0000089	WP_011206231.1	WP_011290212.1
OG0000090	WP_094521535.1	WP_094521535.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_011205846.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_094521532.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_094521757.1	WP_146379771.1
OG0000100	WP_094521527.1	WP_146379762.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_094521648.1	WP_225973035.1
OG0000103	WP_011206238.1	WP_146379627.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_094521691.1	WP_146379630.1
OG0000106	WP_011290218.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_014579827.1	WP_192894278.1
OG0000109	WP_094521692.1	WP_146379632.1
OG0000110	WP_094521705.1	WP_146379648.1
OG0000111	WP_094521704.1	WP_225972982.1
OG0000112	WP_094521703.1	WP_225972981.1
OG0000113	WP_094521701.1	WP_146379641.1
OG0000114	WP_094521777.1	WP_225972979.1
OG0000115	WP_094521698.1	WP_011290245.1
OG0000116	WP_094521621.1	WP_146379549.1
OG0000117	WP_094521622.1	WP_146379550.1
OG0000118	WP_094521624.1	WP_011290108.1
OG0000119	WP_094521625.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011205959.1	WP_146379557.1
OG0000122	WP_094521627.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_094521629.1	WP_146379560.1
OG0000127	WP_094521631.1	WP_146379562.1
OG0000128	WP_094521634.1	WP_146379564.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_094521635.1	WP_146379566.1
OG0000132	WP_094521636.1	WP_135618714.1
OG0000133	WP_094521764.1	WP_014579589.1
OG0000134	WP_094521765.1	WP_225973012.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_094521576.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_011206106.1	WP_146379494.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_146379496.1
