DR084_RS03680 WP_160605629.1
DR084_RS03685 WP_052234586.1
DR084_RS03410 WP_258555149.1
DR084_RS03415 WP_308705462.1
DR084_RS03690 WP_160581474.1
DR084_RS02845 WP_002557446.1
DR084_RS02850 WP_039387592.1
DR084_RS03020 WP_169742226.1
DR084_RS03695 WP_160605631.1
DR084_RS02860 WP_002557739.1
DR084_RS02865 WP_160605633.1
DR084_RS02870 WP_160605635.1
DR084_RS02875 WP_002557742.1
DR084_RS02880 WP_002557743.1
DR084_RS02885 WP_220190801.1
DR084_RS02890 WP_220190801.1
DR084_RS03440 WP_160605640.1
DR084_RS02900 WP_308705463.1
DR084_RS02905 WP_160605643.1
DR084_RS02910 WP_160605643.1
DR084_RS02915 WP_308705464.1
DR084_RS03030 WP_308705464.1
DR084_RS02920 WP_308705464.1
DR084_RS02925 WP_308705464.1
DR084_RS00005 WP_308705440.1
DR084_RS00010 WP_160605278.1
DR084_RS00015 WP_002557886.1
DR084_RS02985 WP_258555096.1
DR084_RS00025 WP_160581057.1
DR084_RS00030 WP_039387487.1
DR084_RS03445 WP_308705441.1
DR084_RS00040 WP_002557890.1
DR084_RS00045 WP_002557891.1
DR084_RS00050 WP_002557892.1
DR084_RS00055 WP_160581051.1
DR084_RS00060 WP_160605282.1
DR084_RS00065 WP_002557895.1
DR084_RS00070 WP_160605284.1
DR084_RS00075 WP_002557898.1
DR084_RS00080 WP_002557899.1
DR084_RS00085 WP_160605286.1
DR084_RS00090 WP_002557901.1
DR084_RS00095 WP_160605288.1
DR084_RS00100 WP_002557903.1
DR084_RS00105 WP_002557904.1
DR084_RS00110 WP_231237879.1
DR084_RS00115 WP_160605290.1
DR084_RS00120 WP_220190747.1
DR084_RS00125 WP_160605292.1
DR084_RS00130 WP_160605294.1
DR084_RS00135 WP_160605296.1
DR084_RS00140 WP_258555097.1
DR084_RS00145 WP_160581036.1
DR084_RS00150 WP_002557912.1
DR084_RS00155 WP_160605298.1
DR084_RS00160 WP_160605300.1
DR084_RS03450 WP_160605302.1
DR084_RS00170 WP_308705447.1
DR084_RS00175 WP_160605306.1
DR084_RS00180 WP_002557919.1
DR084_RS00185 WP_160581026.1
DR084_RS00190 WP_002557921.1
DR084_RS00195 WP_002557922.1
DR084_RS00200 WP_002557923.1
DR084_RS00205 WP_039387496.1
DR084_RS00210 WP_160581017.1
DR084_RS00215 WP_002557926.1
DR084_RS00220 WP_002557927.1
DR084_RS00225 WP_002557928.1
DR084_RS00230 WP_039387498.1
DR084_RS00235 WP_002557930.1
DR084_RS00240 WP_039387501.1
DR084_RS00245 WP_039387504.1
DR084_RS00250 WP_160581015.1
DR084_RS00255 WP_160583705.1
DR084_RS00260 WP_002557934.1
DR084_RS00265 WP_002557935.1
DR084_RS00270 WP_160583703.1
DR084_RS00275 WP_160605308.1
DR084_RS00280 WP_002557938.1
DR084_RS00330 WP_220190748.1
DR084_RS00335 WP_160605310.1
DR084_RS00340 WP_160605312.1
DR084_RS00345 WP_002557573.1
DR084_RS00350 WP_002557574.1
DR084_RS03455 WP_160605314.1
DR084_RS00360 WP_002557576.1
DR084_RS00370 WP_002557577.1
DR084_RS00375 WP_160605316.1
DR084_RS00380 WP_160580856.1
DR084_RS00385 WP_160605318.1
DR084_RS03460 WP_160605320.1
DR084_RS00395 WP_051054279.1
DR084_RS00400 WP_160580862.1
DR084_RS00405 WP_160583687.1
DR084_RS00415 WP_160580864.1
DR084_RS03465 WP_220190749.1
DR084_RS00420 WP_160605322.1
DR084_RS00425 WP_002557589.1
DR084_RS03075 WP_255454454.1
DR084_RS00430 WP_002557590.1
DR084_RS00445 WP_220190750.1
DR084_RS00450 WP_160580870.1
DR084_RS00455 WP_002557593.1
DR084_RS00460 WP_002557594.1
DR084_RS00465 WP_002557595.1
DR084_RS00475 WP_160605324.1
DR084_RS00480 WP_160605326.1
DR084_RS00485 WP_002557601.1
DR084_RS00490 WP_002557602.1
DR084_RS03470 WP_002557603.1
DR084_RS00500 WP_258555107.1
DR084_RS03090 WP_258555108.1
DR084_RS00515 WP_160580878.1
DR084_RS00520 WP_160580880.1
DR084_RS00525 WP_160580882.1
DR084_RS00530 WP_160605328.1
DR084_RS00535 WP_002557610.1
DR084_RS00540 WP_002557611.1
DR084_RS00545 WP_160605330.1
DR084_RS00550 WP_002557613.1
DR084_RS00555 WP_002557614.1
DR084_RS00560 WP_160580892.1
DR084_RS00565 WP_160605332.1
DR084_RS00570 WP_160583667.1
DR084_RS00575 WP_160605334.1
DR084_RS00580 WP_002557620.1
DR084_RS00585 WP_160580902.1
DR084_RS00590 WP_002557622.1
DR084_RS00595 WP_002557623.1
DR084_RS00600 WP_160605336.1
DR084_RS00605 WP_002557625.1
DR084_RS00610 WP_002557626.1
DR084_RS00615 WP_160605338.1
DR084_RS00620 WP_160605340.1
DR084_RS00625 WP_160583660.1
DR084_RS02995 WP_201771011.1
DR084_RS03095 WP_002557631.1
DR084_RS00640 WP_258555110.1
DR084_RS03000 WP_155897261.1
DR084_RS00645 WP_160580918.1
DR084_RS00650 WP_160605342.1
DR084_RS00655 WP_160605344.1
DR084_RS00660 WP_160580924.1
DR084_RS00665 WP_160580926.1
DR084_RS00670 WP_002557639.1
DR084_RS00675 WP_160605346.1
DR084_RS00680 WP_160605348.1
DR084_RS00685 WP_160605350.1
DR084_RS00690 WP_160605352.1
DR084_RS00695 WP_160603067.1
DR084_RS00700 WP_160583648.1
DR084_RS03475 WP_160583646.1
DR084_RS00710 WP_160605354.1
DR084_RS03480 WP_160605356.1
DR084_RS00720 WP_160605358.1
DR084_RS00725 WP_160605360.1
DR084_RS03485 WP_220190751.1
DR084_RS00735 WP_220190752.1
DR084_RS00740 WP_160605361.1
DR084_RS00750 WP_160605363.1
DR084_RS00755 WP_160605365.1
DR084_RS00760 WP_002558005.1
DR084_RS00765 WP_002558006.1
DR084_RS00770 WP_002558007.1
DR084_RS00775 WP_039387750.1
DR084_RS00780 WP_160605367.1
DR084_RS00785 WP_160580958.1
DR084_RS03130 WP_196792423.1
DR084_RS00795 WP_039387539.1
DR084_RS00800 WP_160605369.1
DR084_RS00805 WP_160603085.1
DR084_RS00810 WP_002558014.1
DR084_RS00815 WP_160605371.1
DR084_RS00820 WP_160605373.1
DR084_RS00825 WP_160580964.1
DR084_RS00830 WP_160580966.1
DR084_RS00835 WP_160580968.1
DR084_RS00840 WP_160605375.1
DR084_RS00845 WP_160605377.1
DR084_RS00850 WP_255454460.1
DR084_RS00855 WP_002557982.1
DR084_RS00860 WP_160605379.1
DR084_RS00865 WP_002557980.1
DR084_RS00870 WP_160605381.1
DR084_RS00875 WP_160605383.1
DR084_RS00880 WP_002557977.1
DR084_RS00885 WP_160605385.1
DR084_RS00890 WP_160605387.1
DR084_RS00895 WP_220190753.1
DR084_RS00900 WP_160605389.1
DR084_RS00905 WP_220190754.1
DR084_RS00910 WP_160605394.1
DR084_RS00915 WP_160605396.1
DR084_RS00920 WP_160605398.1
DR084_RS00925 WP_039387548.1
DR084_RS00940 WP_160605400.1
DR084_RS00945 WP_160605402.1
DR084_RS00950 WP_002557667.1
DR084_RS00955 WP_002557668.1
DR084_RS00960 WP_160603116.1
DR084_RS00965 WP_160605404.1
DR084_RS00970 WP_160581406.1
DR084_RS00975 WP_160581408.1
DR084_RS00985 WP_002557673.1
DR084_RS00990 WP_160605406.1
DR084_RS00995 WP_039387554.1
DR084_RS01000 WP_160605408.1
DR084_RS03490 WP_160581414.1
DR084_RS03495 WP_231237866.1
DR084_RS01025 WP_160605410.1
DR084_RS01030 WP_160605412.1
DR084_RS01035 WP_160605414.1
DR084_RS01040 WP_160605416.1
DR084_RS01045 WP_220190755.1
DR084_RS01050 WP_002557684.1
DR084_RS01055 WP_160605420.1
DR084_RS03145 WP_160605422.1
DR084_RS01065 WP_160605424.1
DR084_RS01070 WP_160605426.1
DR084_RS01075 WP_160605428.1
DR084_RS01080 WP_220190081.1
DR084_RS01085 WP_160581429.1
DR084_RS01090 WP_160605430.1
DR084_RS01095 WP_160581431.1
DR084_RS03500 WP_308705446.1
DR084_RS01105 WP_160605432.1
DR084_RS01110 WP_160605434.1
DR084_RS01115 WP_160605434.1
DR084_RS02930 WP_220190802.1
DR084_RS02935 WP_220190802.1
DR084_RS02940 WP_160605649.1
DR084_RS02945 WP_160605649.1
DR084_RS02950 WP_160605649.1
DR084_RS02955 WP_160605649.1
DR084_RS02960 WP_160605649.1
DR084_RS02965 WP_160605649.1
DR084_RS02970 WP_160605649.1
DR084_RS01120 WP_160605649.1
DR084_RS03505 WP_160605454.1
DR084_RS01130 WP_002557749.1
DR084_RS01135 WP_160603234.1
DR084_RS01140 WP_002557751.1
DR084_RS01145 WP_160603232.1
DR084_RS01150 WP_002557753.1
DR084_RS01155 WP_002557754.1
DR084_RS01160 WP_002557755.1
DR084_RS01165 WP_258555124.1
DR084_RS03510 WP_160605456.1
DR084_RS01175 WP_160605458.1
DR084_RS01180 WP_039387782.1
DR084_RS01185 WP_160605460.1
DR084_RS01190 WP_002557760.1
DR084_RS01195 WP_255454511.1
DR084_RS01200 WP_160605462.1
DR084_RS01205 WP_160605464.1
DR084_RS01210 WP_002557764.1
DR084_RS01215 WP_334296058.1
DR084_RS01220 WP_002557766.1
DR084_RS01225 WP_160583987.1
DR084_RS01230 WP_002557768.1
DR084_RS01235 WP_002557769.1
DR084_RS01240 WP_039387628.1
DR084_RS01245 WP_039387630.1
DR084_RS01250 WP_002557773.1
DR084_RS03515 WP_160581303.1
DR084_RS01260 WP_160605466.1
DR084_RS01265 WP_002557776.1
DR084_RS01270 WP_039387785.1
DR084_RS01275 WP_160605468.1
DR084_RS01280 WP_002557779.1
DR084_RS01285 WP_002557780.1
DR084_RS01295 WP_002557781.1
DR084_RS01300 WP_002557782.1
DR084_RS01305 WP_160605470.1
DR084_RS03520 WP_308705450.1
DR084_RS01320 WP_002557784.1
DR084_RS01325 WP_160605472.1
DR084_RS01330 WP_160581307.1
DR084_RS01335 WP_039387636.1
DR084_RS01340 WP_039387638.1
DR084_RS03525 WP_160605474.1
DR084_RS01355 WP_308507115.1
DR084_RS01360 WP_160605476.1
DR084_RS01365 WP_160583979.1
DR084_RS01370 WP_160605479.1
DR084_RS01375 WP_002557794.1
DR084_RS01380 WP_039387641.1
DR084_RS01385 WP_002557796.1
DR084_RS01390 WP_160581357.1
DR084_RS01395 WP_002557798.1
DR084_RS01400 WP_002557799.1
DR084_RS03530 WP_002557800.1
DR084_RS01410 WP_002557801.1
DR084_RS01415 WP_002557802.1
DR084_RS01420 WP_002557803.1
DR084_RS01425 WP_039387644.1
DR084_RS03535 WP_002557805.1
DR084_RS01435 WP_160583855.1
DR084_RS03540 WP_236681775.1
