DR095_RS02755 WP_220190833.1
DR095_RS02760 WP_002557684.1
DR095_RS03230 WP_308704663.1
DR095_RS03235 WP_258555793.1
DR095_RS03240 WP_220200593.1
DR095_RS02775 WP_039387562.1
DR095_RS02780 WP_160581423.1
DR095_RS02785 WP_160581425.1
DR095_RS02790 WP_220190081.1
DR095_RS02795 WP_160581429.1
DR095_RS02800 WP_002557693.1
DR095_RS02805 WP_160581431.1
DR095_RS03985 WP_308507120.1
DR095_RS02815 WP_160581432.1
DR095_RS02820 WP_160581434.1
DR095_RS02830 WP_160581439.1
DR095_RS02835 WP_002557461.1
DR095_RS02840 WP_160581441.1
DR095_RS02845 WP_160581443.1
DR095_RS02850 WP_258555794.1
DR095_RS02855 WP_236681784.1
DR095_RS02860 WP_160581445.1
DR095_RS03990 WP_160581447.1
DR095_RS02870 WP_160581449.1
DR095_RS02875 WP_160581451.1
DR095_RS02880 WP_002557451.1
DR095_RS02885 WP_160581452.1
DR095_RS02890 WP_160581454.1
DR095_RS03995 WP_220200596.1
DR095_RS02900 WP_160581457.1
DR095_RS02905 WP_160581459.1
DR095_RS02910 WP_160581461.1
DR095_RS02915 WP_002557565.1
DR095_RS02945 WP_002557566.1
DR095_RS02950 WP_002557567.1
DR095_RS02955 WP_160581463.1
DR095_RS04000 WP_160581465.1
DR095_RS02965 WP_002557739.1
DR095_RS02970 WP_160581467.1
DR095_RS02975 WP_160581469.1
DR095_RS02980 WP_002557742.1
DR095_RS02985 WP_002557743.1
DR095_RS04005 WP_160581470.1
DR095_RS04010 WP_052234586.1
DR095_RS03000 WP_160581472.1
DR095_RS04015 WP_160581474.1
DR095_RS03010 WP_160581474.1
DR095_RS04020 WP_160581478.1
DR095_RS03020 WP_160581480.1
DR095_RS03025 WP_160581482.1
DR095_RS03030 WP_002557992.1
DR095_RS03035 WP_002557992.1
DR095_RS03040 WP_002557988.1
DR095_RS03045 WP_160581484.1
DR095_RS03050 WP_039387592.1
DR095_RS03245 WP_169742226.1
DR095_RS04025 WP_160581485.1
DR095_RS03060 WP_160581487.1
DR095_RS03065 WP_220200598.1
DR095_RS04030 WP_160581489.1
DR095_RS00005 WP_160580848.1
DR095_RS00010 WP_160580850.1
DR095_RS00015 WP_002557574.1
DR095_RS03750 WP_160580852.1
DR095_RS00025 WP_002557576.1
DR095_RS00035 WP_002557577.1
DR095_RS00040 WP_160580854.1
DR095_RS00045 WP_160580856.1
DR095_RS00050 WP_160580858.1
DR095_RS03755 WP_160580860.1
DR095_RS00060 WP_051054279.1
DR095_RS00065 WP_160580862.1
DR095_RS00070 WP_002557585.1
DR095_RS00080 WP_160580864.1
DR095_RS03760 WP_220200543.1
DR095_RS00085 WP_160580866.1
DR095_RS00090 WP_002557589.1
DR095_RS03290 WP_255454454.1
DR095_RS00095 WP_160580868.1
DR095_RS00110 WP_220200544.1
DR095_RS00115 WP_160580870.1
DR095_RS00120 WP_002557593.1
DR095_RS00125 WP_160580872.1
DR095_RS00130 WP_002557595.1
DR095_RS00140 WP_160580874.1
DR095_RS00145 WP_160580876.1
DR095_RS03295 WP_255454455.1
DR095_RS03300 WP_255454456.1
DR095_RS00155 WP_002557602.1
DR095_RS03765 WP_002557603.1
DR095_RS00165 WP_258555750.1
DR095_RS03315 WP_002557605.1
DR095_RS00180 WP_160580878.1
DR095_RS00185 WP_160580880.1
DR095_RS00190 WP_160580882.1
DR095_RS00195 WP_160580884.1
DR095_RS00200 WP_160580886.1
DR095_RS00205 WP_160580888.1
DR095_RS00210 WP_258555751.1
DR095_RS00215 WP_002557613.1
DR095_RS00220 WP_002557614.1
DR095_RS00225 WP_160580892.1
DR095_RS00230 WP_160580894.1
DR095_RS00235 WP_160580896.1
DR095_RS00240 WP_160580898.1
DR095_RS00245 WP_160580900.1
DR095_RS00250 WP_160580902.1
DR095_RS00255 WP_160580903.1
DR095_RS00260 WP_002557623.1
DR095_RS00265 WP_160580905.1
DR095_RS00270 WP_002557625.1
DR095_RS00275 WP_002557626.1
DR095_RS00280 WP_160580907.1
DR095_RS03320 WP_258555752.1
DR095_RS00285 WP_160580909.1
DR095_RS00290 WP_160580911.1
DR095_RS00295 WP_220200545.1
DR095_RS00300 WP_160580916.1
DR095_RS00305 WP_039387745.1
DR095_RS00310 WP_231237865.1
DR095_RS03200 WP_155897261.1
DR095_RS00315 WP_160580918.1
DR095_RS00320 WP_160580920.1
DR095_RS00325 WP_160580922.1
DR095_RS00330 WP_160580924.1
DR095_RS00335 WP_160580926.1
DR095_RS00340 WP_002557639.1
DR095_RS00345 WP_002557640.1
DR095_RS00350 WP_160580928.1
DR095_RS00355 WP_002557642.1
DR095_RS03770 WP_160580930.1
DR095_RS00365 WP_160580932.1
DR095_RS03775 WP_308704647.1
DR095_RS00375 WP_308704648.1
DR095_RS00380 WP_160580937.1
DR095_RS00385 WP_160580939.1
DR095_RS00390 WP_160580941.1
DR095_RS03780 WP_002557648.1
DR095_RS00400 WP_160580943.1
DR095_RS03785 WP_002557650.1
DR095_RS00410 WP_160580945.1
DR095_RS00415 WP_160580948.1
DR095_RS03790 WP_220200546.1
DR095_RS00425 WP_220200547.1
DR095_RS00430 WP_160580950.1
DR095_RS00435 WP_160580953.1
DR095_RS00440 WP_002558003.1
DR095_RS03365 WP_002558003.1
DR095_RS03370 WP_002558003.1
DR095_RS00450 WP_002558005.1
DR095_RS00455 WP_160580955.1
DR095_RS00460 WP_002558007.1
DR095_RS00465 WP_039387750.1
DR095_RS00470 WP_160580957.1
DR095_RS00475 WP_160580958.1
DR095_RS03375 WP_196792423.1
DR095_RS00485 WP_160580960.1
DR095_RS00490 WP_160580962.1
DR095_RS00495 WP_002558013.1
DR095_RS00500 WP_002558014.1
DR095_RS00505 WP_002558016.1
DR095_RS00510 WP_002558017.1
DR095_RS00515 WP_160580964.1
DR095_RS00520 WP_160580966.1
DR095_RS00525 WP_160580968.1
DR095_RS00530 WP_002557985.1
DR095_RS00535 WP_002557984.1
DR095_RS00540 WP_255454460.1
DR095_RS00545 WP_160580973.1
DR095_RS00550 WP_160580975.1
DR095_RS00555 WP_002557980.1
DR095_RS00560 WP_160580977.1
DR095_RS00565 WP_002557978.1
DR095_RS00570 WP_002557977.1
DR095_RS00575 WP_160580979.1
DR095_RS00580 WP_160580981.1
DR095_RS00585 WP_220200548.1
DR095_RS00590 WP_160580983.1
DR095_RS00595 WP_160580985.1
DR095_RS00600 WP_160580987.1
DR095_RS03210 WP_220200549.1
DR095_RS00605 WP_002557663.1
DR095_RS00610 WP_039387548.1
DR095_RS00625 WP_160580989.1
DR095_RS00630 WP_160580991.1
DR095_RS00635 WP_002557667.1
DR095_RS00640 WP_160580992.1
DR095_RS00645 WP_160580994.1
DR095_RS00650 WP_160580994.1
DR095_RS03740 WP_160581493.1
DR095_RS03080 WP_160581495.1
DR095_RS03095 WP_308704664.1
DR095_RS03100 WP_308704665.1
DR095_RS03105 WP_308704665.1
DR095_RS03115 WP_160581500.1
DR095_RS03120 WP_160581501.1
DR095_RS03125 WP_160581501.1
DR095_RS03255 WP_160581501.1
DR095_RS03130 WP_160581501.1
