DR085_RS02820 WP_160609430.1
DR085_RS02825 WP_160609431.1
DR085_RS02830 WP_002557451.1
DR085_RS02835 WP_002557452.1
DR085_RS02840 WP_160581449.1
DR085_RS03880 WP_160609432.1
DR085_RS02850 WP_160609433.1
DR085_RS02855 WP_258556792.1
DR085_RS02860 WP_236681783.1
DR085_RS02865 WP_160581443.1
DR085_RS02870 WP_039387578.1
DR085_RS02875 WP_002557461.1
DR085_RS02880 WP_160609435.1
DR085_RS03550 WP_258556794.1
DR085_RS03885 WP_308704745.1
DR085_RS02890 WP_011284157.1
DR085_RS02895 WP_002557993.1
DR085_RS02900 WP_002557992.1
DR085_RS03890 WP_002557992.1
DR085_RS02910 WP_002557988.1
DR085_RS03895 WP_160609436.1
DR085_RS02920 WP_308704746.1
DR085_RS02935 WP_002557743.1
DR085_RS02940 WP_160609438.1
DR085_RS02945 WP_160609439.1
DR085_RS02950 WP_160581467.1
DR085_RS02955 WP_002557739.1
DR085_RS03900 WP_160609440.1
DR085_RS03905 WP_052234586.1
DR085_RS02970 WP_160609441.1
DR085_RS03910 WP_160609442.1
DR085_RS02980 WP_160609442.1
DR085_RS02985 WP_160609444.1
DR085_RS03915 WP_160609445.1
DR085_RS03170 WP_169742226.1
DR085_RS02995 WP_160609446.1
DR085_RS03000 WP_160581484.1
DR085_RS03010 WP_160609447.1
DR085_RS03020 WP_220190092.1
DR085_RS03035 WP_308704747.1
DR085_RS03040 WP_308704748.1
DR085_RS00005 WP_308704719.1
DR085_RS00010 WP_160605278.1
DR085_RS00015 WP_002557886.1
DR085_RS03115 WP_258556745.1
DR085_RS00025 WP_160581057.1
DR085_RS00030 WP_039387487.1
DR085_RS03630 WP_308704720.1
DR085_RS00040 WP_002557890.1
DR085_RS00045 WP_002557891.1
DR085_RS00050 WP_002557892.1
DR085_RS00055 WP_160581051.1
DR085_RS00060 WP_160583733.1
DR085_RS00065 WP_002557895.1
DR085_RS00070 WP_160583731.1
DR085_RS00075 WP_002557898.1
DR085_RS00080 WP_002557899.1
DR085_RS00085 WP_002557900.1
DR085_RS00090 WP_002557901.1
DR085_RS00095 WP_160609237.1
DR085_RS00100 WP_002557903.1
DR085_RS00105 WP_160609238.1
DR085_RS00110 WP_231237879.1
DR085_RS00115 WP_160609239.1
DR085_RS00120 WP_002557906.1
DR085_RS00125 WP_160609240.1
DR085_RS00130 WP_160609241.1
DR085_RS00135 WP_002557909.1
DR085_RS00140 WP_258556748.1
DR085_RS00145 WP_160609242.1
DR085_RS00150 WP_002557912.1
DR085_RS00155 WP_002557913.1
DR085_RS00160 WP_002557914.1
DR085_RS03635 WP_160609243.1
DR085_RS00170 WP_308704724.1
DR085_RS00175 WP_160581028.1
DR085_RS00180 WP_002557919.1
DR085_RS00185 WP_160581026.1
DR085_RS00190 WP_002557921.1
DR085_RS00195 WP_160609245.1
DR085_RS00200 WP_002557923.1
DR085_RS00205 WP_039387496.1
DR085_RS00210 WP_160581017.1
DR085_RS00215 WP_002557926.1
DR085_RS00220 WP_002557927.1
DR085_RS00225 WP_002557928.1
DR085_RS00230 WP_039387498.1
DR085_RS00235 WP_002557930.1
DR085_RS00240 WP_039387501.1
DR085_RS00245 WP_039387504.1
DR085_RS00250 WP_002557932.1
DR085_RS00255 WP_160583705.1
DR085_RS00260 WP_002557934.1
DR085_RS00265 WP_002557935.1
DR085_RS00270 WP_002557936.1
DR085_RS00275 WP_160609246.1
DR085_RS00280 WP_002557938.1
DR085_RS00330 WP_220189978.1
DR085_RS00335 WP_160609247.1
DR085_RS00340 WP_160580848.1
DR085_RS00345 WP_160609248.1
DR085_RS00350 WP_002557574.1
DR085_RS03640 WP_160609249.1
DR085_RS00360 WP_160609250.1
DR085_RS00370 WP_002557577.1
DR085_RS00375 WP_002557578.1
DR085_RS00380 WP_039387509.1
DR085_RS00385 WP_160609251.1
DR085_RS03645 WP_308704722.1
DR085_RS00395 WP_160609253.1
DR085_RS00400 WP_160580862.1
DR085_RS00405 WP_160583687.1
DR085_RS00415 WP_160609254.1
DR085_RS03650 WP_160609255.1
DR085_RS00425 WP_160609256.1
DR085_RS00430 WP_002557589.1
DR085_RS03215 WP_255454454.1
DR085_RS00435 WP_160583684.1
DR085_RS00450 WP_220189979.1
DR085_RS00455 WP_160609257.1
DR085_RS00460 WP_002557593.1
DR085_RS00465 WP_160609258.1
DR085_RS00470 WP_002557595.1
DR085_RS00480 WP_160609259.1
DR085_RS00485 WP_160609260.1
DR085_RS00490 WP_258556750.1
DR085_RS00495 WP_160609261.1
DR085_RS00500 WP_160609262.1
DR085_RS00505 WP_144245607.1
DR085_RS00510 WP_002557602.1
DR085_RS03655 WP_002557603.1
DR085_RS00520 WP_258556751.1
DR085_RS03230 WP_258556752.1
DR085_RS00535 WP_160580878.1
DR085_RS00540 WP_002557607.1
DR085_RS00545 WP_160583674.1
DR085_RS00550 WP_002557609.1
DR085_RS00555 WP_160609263.1
DR085_RS00560 WP_160583671.1
DR085_RS00565 WP_160580890.1
DR085_RS00570 WP_002557613.1
DR085_RS00575 WP_002557614.1
DR085_RS00580 WP_160580892.1
DR085_RS00585 WP_160609264.1
DR085_RS00590 WP_160583667.1
DR085_RS00595 WP_160609265.1
DR085_RS00600 WP_002557620.1
DR085_RS00605 WP_160609266.1
DR085_RS00610 WP_002557622.1
DR085_RS00615 WP_002557623.1
DR085_RS00620 WP_160609267.1
DR085_RS00625 WP_160609268.1
DR085_RS00630 WP_002557626.1
DR085_RS00635 WP_160609269.1
DR085_RS00645 WP_160609271.1
DR085_RS00650 WP_160609272.1
DR085_RS00655 WP_220189980.1
DR085_RS03235 WP_258556753.1
DR085_RS00665 WP_231237865.1
DR085_RS03120 WP_220189981.1
DR085_RS00670 WP_160609274.1
DR085_RS00675 WP_160609275.1
DR085_RS00680 WP_160609276.1
DR085_RS00685 WP_160603060.1
DR085_RS00690 WP_160609277.1
DR085_RS00695 WP_002557639.1
DR085_RS00700 WP_002557640.1
DR085_RS00705 WP_160609278.1
DR085_RS00710 WP_160609279.1
DR085_RS00715 WP_308704725.1
DR085_RS00720 WP_160580937.1
DR085_RS00725 WP_160609280.1
DR085_RS00730 WP_160583648.1
DR085_RS03660 WP_160609306.1
DR085_RS00740 WP_002557649.1
DR085_RS03665 WP_160609281.1
DR085_RS00750 WP_160609282.1
DR085_RS00755 WP_160609283.1
DR085_RS03670 WP_220189982.1
DR085_RS00760 WP_220189983.1
DR085_RS00765 WP_160609284.1
DR085_RS00775 WP_002558003.1
DR085_RS03265 WP_002558003.1
DR085_RS03270 WP_002558003.1
DR085_RS00785 WP_002558005.1
DR085_RS00790 WP_002558006.1
DR085_RS00795 WP_160609286.1
DR085_RS00800 WP_039387750.1
DR085_RS00805 WP_160609287.1
DR085_RS00810 WP_160580958.1
DR085_RS03275 WP_196792423.1
DR085_RS00820 WP_039387539.1
DR085_RS00825 WP_160609288.1
DR085_RS00830 WP_160609289.1
DR085_RS00835 WP_002558014.1
DR085_RS00840 WP_002558016.1
DR085_RS00845 WP_160583624.1
DR085_RS00850 WP_160580964.1
DR085_RS00855 WP_160580966.1
DR085_RS00860 WP_160609290.1
DR085_RS00865 WP_002557985.1
DR085_RS00870 WP_160609291.1
DR085_RS00875 WP_258556596.1
DR085_RS00880 WP_002557982.1
DR085_RS00885 WP_160609292.1
DR085_RS00890 WP_002557980.1
DR085_RS00895 WP_160609293.1
DR085_RS00900 WP_160609294.1
DR085_RS00905 WP_002557977.1
DR085_RS00910 WP_160609295.1
DR085_RS00915 WP_160609296.1
DR085_RS00920 WP_220189984.1
DR085_RS00925 WP_160580983.1
DR085_RS00930 WP_160609297.1
DR085_RS00935 WP_160609298.1
DR085_RS00940 WP_160609299.1
DR085_RS00945 WP_039387548.1
DR085_RS00960 WP_160609300.1
DR085_RS00965 WP_160609301.1
DR085_RS00970 WP_002557667.1
DR085_RS00975 WP_002557668.1
DR085_RS00980 WP_160593407.1
DR085_RS00985 WP_160593407.1
DR085_RS03055 WP_308704749.1
DR085_RS03060 WP_308704750.1
DR085_RS03065 WP_308704750.1
DR085_RS03075 WP_308704750.1
DR085_RS03085 WP_308704750.1
DR085_RS03945 WP_308704750.1
DR085_RS03095 WP_160602617.1
DR085_RS03100 WP_160602617.1
DR085_RS03105 WP_160602617.1
DR085_RS03675 WP_160609309.1
DR085_RS00995 WP_002557794.1
DR085_RS01000 WP_039387641.1
DR085_RS01005 WP_002557796.1
DR085_RS01010 WP_160581357.1
DR085_RS01015 WP_002557798.1
DR085_RS01020 WP_160609310.1
DR085_RS03680 WP_160609311.1
DR085_RS01030 WP_160609312.1
DR085_RS01035 WP_002557802.1
DR085_RS01040 WP_002557803.1
DR085_RS01045 WP_039387644.1
DR085_RS03685 WP_160609339.1
DR085_RS01055 WP_002557806.1
DR085_RS03690 WP_308704727.1
DR085_RS01065 WP_039387648.1
DR085_RS01070 WP_002557809.1
DR085_RS01075 WP_160581348.1
DR085_RS01080 WP_039387651.1
DR085_RS01085 WP_160581347.1
DR085_RS01090 WP_160581345.1
DR085_RS01095 WP_002557813.1
DR085_RS01100 WP_002557814.1
DR085_RS01105 WP_002557815.1
DR085_RS01110 WP_002557816.1
DR085_RS01115 WP_002557817.1
DR085_RS01120 WP_160609313.1
DR085_RS01125 WP_160581343.1
DR085_RS01130 WP_160609314.1
DR085_RS01135 WP_002557821.1
DR085_RS03695 WP_160609315.1
DR085_RS01145 WP_160603160.1
DR085_RS01150 WP_002557824.1
DR085_RS01155 WP_002557825.1
DR085_RS01160 WP_002557826.1
DR085_RS01165 WP_002557827.1
DR085_RS01170 WP_160581337.1
DR085_RS01175 WP_002557829.1
DR085_RS01180 WP_051054304.1
DR085_RS01185 WP_002557831.1
DR085_RS01190 WP_002557832.1
DR085_RS01195 WP_002557833.1
DR085_RS03930 WP_160609316.1
DR085_RS01205 WP_002557835.1
DR085_RS01210 WP_002557836.1
DR085_RS01215 WP_160609317.1
DR085_RS01220 WP_160581334.1
DR085_RS01225 WP_002557839.1
DR085_RS01230 WP_002557840.1
DR085_RS01235 WP_002557841.1
DR085_RS01240 WP_160581330.1
DR085_RS01245 WP_160609318.1
DR085_RS01250 WP_039387658.1
DR085_RS01255 WP_002557845.1
DR085_RS01260 WP_160583871.1
DR085_RS01265 WP_160609319.1
DR085_RS01270 WP_160609320.1
DR085_RS01275 WP_160603168.1
DR085_RS01280 WP_002557850.1
DR085_RS01285 WP_160581215.1
DR085_RS01290 WP_160583877.1
DR085_RS01295 WP_160583879.1
DR085_RS01300 WP_002557854.1
DR085_RS01305 WP_160593437.1
DR085_RS01310 WP_002557856.1
DR085_RS01315 WP_002557857.1
DR085_RS01320 WP_039387661.1
DR085_RS01325 WP_160609321.1
DR085_RS03700 WP_160609322.1
DR085_RS01335 WP_160583885.1
DR085_RS01340 WP_002557863.1
DR085_RS01345 WP_002557864.1
DR085_RS01350 WP_160593441.1
DR085_RS01355 WP_002557866.1
DR085_RS01360 WP_002557867.1
DR085_RS01365 WP_002557868.1
DR085_RS01370 WP_039387665.1
DR085_RS01375 WP_002557870.1
DR085_RS01380 WP_258556764.1
DR085_RS01385 WP_002557872.1
DR085_RS01390 WP_160583926.1
DR085_RS01395 WP_220190012.1
DR085_RS03320 WP_160609324.1
DR085_RS01405 WP_002557698.1
DR085_RS01410 WP_308704732.1
DR085_RS03325 WP_258556765.1
DR085_RS01415 WP_160609325.1
DR085_RS01420 WP_160609326.1
DR085_RS01425 WP_160583899.1
DR085_RS01430 WP_160581256.1
DR085_RS01435 WP_002557707.1
DR085_RS01440 WP_002557708.1
DR085_RS01445 WP_002557709.1
DR085_RS03705 WP_160605540.1
DR085_RS01455 WP_160609327.1
DR085_RS01460 WP_160609328.1
DR085_RS01465 WP_160609329.1
DR085_RS01470 WP_039387681.1
DR085_RS01475 WP_160581263.1
DR085_RS01480 WP_039387683.1
DR085_RS01485 WP_002557715.1
DR085_RS01490 WP_039387808.1
DR085_RS01495 WP_160609330.1
DR085_RS01500 WP_160609331.1
DR085_RS01505 WP_160609332.1
DR085_RS01510 WP_002557721.1
DR085_RS03710 WP_039387689.1
DR085_RS01520 WP_160609333.1
DR085_RS01525 WP_002557725.1
DR085_RS01530 WP_160609334.1
DR085_RS03140 WP_220190013.1
DR085_RS03715 WP_160609335.1
DR085_RS01545 WP_160581276.1
DR085_RS01550 WP_160603214.1
DR085_RS03720 WP_160609336.1
DR085_RS01560 WP_002557731.1
DR085_RS03725 WP_160581280.1
DR085_RS01570 WP_002557733.1
DR085_RS01575 WP_002557734.1
DR085_RS01585 WP_002557735.1
DR085_RS01590 WP_160609337.1
DR085_RS03730 WP_160609338.1
DR085_RS01600 WP_258556766.1
DR085_RS03110 WP_258556766.1
DR085_RS03735 WP_002557569.1
DR085_RS01610 WP_039387619.1
DR085_RS01615 WP_160609342.1
DR085_RS01620 WP_002557566.1
DR085_RS01650 WP_160593526.1
DR085_RS01655 WP_160609343.1
DR085_RS01660 WP_160609344.1
DR085_RS01665 WP_160603202.1
DR085_RS03740 WP_160609345.1
DR085_RS03935 WP_334296055.1
DR085_RS01680 WP_160583976.1
DR085_RS01685 WP_160609346.1
DR085_RS01690 WP_160605532.1
DR085_RS01695 WP_160603196.1
DR085_RS01700 WP_160581203.1
DR085_RS01705 WP_002557554.1
DR085_RS01710 WP_160581199.1
DR085_RS01715 WP_081605280.1
DR085_RS01720 WP_002557551.1
DR085_RS01725 WP_002557550.1
DR085_RS01730 WP_002557549.1
DR085_RS01735 WP_160609347.1
DR085_RS01740 WP_039387613.1
DR085_RS01745 WP_002557547.1
DR085_RS01750 WP_002557546.1
DR085_RS01755 WP_160581190.1
DR085_RS01760 WP_160609348.1
DR085_RS01765 WP_160609349.1
DR085_RS01770 WP_002557542.1
DR085_RS01775 WP_160581187.1
DR085_RS01780 WP_002557540.1
DR085_RS01785 WP_039387610.1
DR085_RS01790 WP_258556770.1
DR085_RS03745 WP_002557538.1
DR085_RS01800 WP_160581180.1
DR085_RS01805 WP_039387777.1
DR085_RS01810 WP_160609350.1
DR085_RS01815 WP_160609351.1
DR085_RS01820 WP_160609352.1
DR085_RS01825 WP_160609353.1
DR085_RS01830 WP_160605518.1
DR085_RS01835 WP_258556771.1
DR085_RS01840 WP_002557529.1
DR085_RS03750 WP_160609354.1
DR085_RS01850 WP_160609355.1
DR085_RS01855 WP_002557526.1
DR085_RS01860 WP_002557525.1
DR085_RS01865 WP_160609356.1
DR085_RS01870 WP_002557523.1
DR085_RS01875 WP_160581160.1
DR085_RS01880 WP_002557520.1
DR085_RS01885 WP_308704655.1
DR085_RS01890 WP_002557518.1
DR085_RS01895 WP_160583941.1
DR085_RS01900 WP_160609357.1
DR085_RS01905 WP_160583937.1
DR085_RS01910 WP_002557514.1
DR085_RS01915 WP_039387606.1
DR085_RS01920 WP_002557511.1
DR085_RS01925 WP_002557510.1
DR085_RS01930 WP_160609358.1
DR085_RS01935 WP_160609359.1
DR085_RS03755 WP_160609360.1
DR085_RS01945 WP_160609360.1
DR085_RS01950 WP_160583979.1
DR085_RS01955 WP_002557791.1
DR085_RS01960 WP_002557790.1
DR085_RS03760 WP_308704659.1
DR085_RS01975 WP_160581309.1
DR085_RS01980 WP_039387636.1
DR085_RS01985 WP_160609361.1
DR085_RS01990 WP_002557785.1
DR085_RS01995 WP_160609362.1
DR085_RS03765 WP_308704737.1
DR085_RS02010 WP_160609363.1
DR085_RS02015 WP_002557782.1
DR085_RS02020 WP_160609364.1
DR085_RS02030 WP_220190044.1
DR085_RS02035 WP_002557779.1
DR085_RS02040 WP_160605468.1
DR085_RS02045 WP_160609365.1
DR085_RS02050 WP_002557776.1
DR085_RS02055 WP_002557775.1
DR085_RS03770 WP_002557774.1
DR085_RS02065 WP_002557773.1
DR085_RS02070 WP_160609366.1
DR085_RS02075 WP_039387628.1
DR085_RS02080 WP_002557769.1
DR085_RS02085 WP_002557768.1
DR085_RS02090 WP_160583987.1
DR085_RS02095 WP_002557766.1
DR085_RS02100 WP_334296056.1
DR085_RS02105 WP_002557764.1
DR085_RS02110 WP_160609368.1
DR085_RS02115 WP_160609369.1
DR085_RS02120 WP_258556776.1
DR085_RS02125 WP_220190045.1
DR085_RS02130 WP_160609371.1
DR085_RS02135 WP_039387782.1
