DR094_RS02860 WP_002557739.1
DR094_RS02865 WP_160584044.1
DR094_RS02870 WP_160584046.1
DR094_RS02875 WP_002557742.1
DR094_RS02880 WP_160584048.1
DR094_RS02885 WP_220190084.1
DR094_RS02890 WP_002557684.1
DR094_RS02895 WP_220190244.1
DR094_RS03520 WP_160584052.1
DR094_RS02905 WP_160584054.1
DR094_RS02910 WP_002557689.1
DR094_RS02915 WP_308704671.1
DR094_RS02920 WP_220190081.1
DR094_RS02925 WP_160581429.1
DR094_RS02930 WP_160584058.1
DR094_RS02935 WP_160581431.1
DR094_RS03825 WP_308507120.1
DR094_RS02945 WP_160581432.1
DR094_RS03830 WP_160584060.1
DR094_RS02955 WP_160584060.1
DR094_RS03835 WP_308704672.1
DR094_RS03840 WP_039387598.1
DR094_RS02970 WP_160584064.1
DR094_RS02975 WP_160584066.1
DR094_RS02980 WP_255454545.1
DR094_RS02985 WP_308704673.1
DR094_RS03000 WP_308704674.1
DR094_RS03005 WP_308704675.1
DR094_RS03010 WP_308704675.1
DR094_RS00005 WP_308704675.1
DR094_RS00010 WP_160580994.1
DR094_RS00015 WP_002557668.1
DR094_RS00020 WP_002557667.1
DR094_RS00025 WP_160580991.1
DR094_RS00030 WP_160583604.1
DR094_RS00045 WP_039387548.1
DR094_RS00050 WP_002557663.1
DR094_RS00055 WP_160583606.1
DR094_RS00060 WP_160583608.1
DR094_RS00065 WP_002557972.1
DR094_RS00070 WP_220190174.1
DR094_RS00075 WP_160583610.1
DR094_RS00080 WP_160583612.1
DR094_RS00085 WP_002557977.1
DR094_RS00090 WP_002557978.1
DR094_RS00095 WP_160583614.1
DR094_RS00100 WP_002557980.1
DR094_RS00105 WP_160583616.1
DR094_RS00110 WP_160580973.1
DR094_RS00115 WP_258556596.1
DR094_RS00120 WP_160583620.1
DR094_RS00125 WP_160583622.1
DR094_RS00130 WP_160580968.1
DR094_RS00135 WP_160580966.1
DR094_RS00140 WP_160580964.1
DR094_RS00145 WP_160583624.1
DR094_RS00150 WP_002558016.1
DR094_RS00155 WP_002558014.1
DR094_RS00160 WP_160583626.1
DR094_RS00165 WP_160583627.1
DR094_RS00170 WP_160580960.1
DR094_RS03080 WP_196792423.1
DR094_RS00180 WP_160580958.1
DR094_RS00185 WP_160583629.1
DR094_RS00190 WP_039387750.1
DR094_RS00195 WP_160583631.1
DR094_RS00200 WP_160583633.1
DR094_RS00205 WP_002558005.1
DR094_RS03085 WP_002558005.1
DR094_RS03090 WP_002558005.1
DR094_RS00215 WP_002558003.1
DR094_RS00225 WP_160583637.1
DR094_RS00230 WP_220190175.1
DR094_RS03535 WP_220190176.1
DR094_RS00235 WP_160583639.1
DR094_RS00240 WP_160583641.1
DR094_RS03540 WP_160583643.1
DR094_RS00250 WP_160583644.1
DR094_RS03545 WP_160583646.1
DR094_RS00260 WP_160583648.1
DR094_RS00265 WP_160583649.1
DR094_RS00270 WP_160583651.1
DR094_RS00275 WP_002557642.1
DR094_RS00280 WP_160583653.1
DR094_RS00285 WP_002557640.1
DR094_RS00290 WP_002557639.1
DR094_RS00295 WP_002557638.1
DR094_RS00300 WP_160583655.1
DR094_RS00305 WP_160580922.1
DR094_RS00310 WP_160583657.1
DR094_RS00315 WP_160580918.1
DR094_RS00320 WP_258556250.1
DR094_RS00325 WP_220190178.1
DR094_RS00330 WP_160580916.1
DR094_RS00335 WP_220190179.1
DR094_RS00340 WP_160583660.1
DR094_RS00345 WP_160583661.1
DR094_RS00350 WP_160583663.1
DR094_RS00355 WP_002557626.1
DR094_RS00360 WP_002557625.1
DR094_RS00365 WP_160583664.1
DR094_RS00370 WP_002557623.1
DR094_RS00375 WP_160580903.1
DR094_RS00380 WP_160580902.1
DR094_RS00385 WP_002557620.1
DR094_RS00390 WP_160583665.1
DR094_RS00395 WP_160583667.1
DR094_RS00400 WP_160583668.1
DR094_RS00405 WP_160583670.1
DR094_RS00410 WP_002557614.1
DR094_RS00415 WP_002557613.1
DR094_RS00420 WP_160580890.1
DR094_RS00425 WP_160583671.1
DR094_RS00430 WP_160583673.1
DR094_RS00435 WP_002557609.1
DR094_RS00440 WP_160583674.1
DR094_RS00445 WP_160580880.1
DR094_RS00450 WP_160580878.1
DR094_RS03120 WP_255454458.1
DR094_RS00465 WP_258556597.1
DR094_RS03550 WP_002557603.1
DR094_RS00475 WP_160583675.1
DR094_RS03135 WP_255454456.1
DR094_RS03140 WP_258556598.1
DR094_RS00485 WP_160583677.1
DR094_RS00490 WP_160583678.1
DR094_RS00500 WP_160583679.1
DR094_RS00505 WP_160583681.1
DR094_RS00510 WP_002557593.1
DR094_RS00515 WP_160583682.1
DR094_RS00520 WP_220190180.1
DR094_RS00535 WP_160583684.1
DR094_RS03145 WP_255454454.1
DR094_RS00540 WP_002557589.1
DR094_RS00545 WP_160583685.1
DR094_RS03555 WP_220190181.1
DR094_RS00550 WP_160580864.1
DR094_RS00560 WP_160583687.1
DR094_RS00565 WP_160580862.1
DR094_RS00570 WP_160583688.1
DR094_RS03560 WP_160583690.1
DR094_RS00580 WP_160583691.1
DR094_RS00585 WP_160580856.1
DR094_RS00590 WP_160583693.1
DR094_RS00595 WP_002557577.1
DR094_RS00605 WP_002557576.1
DR094_RS03565 WP_160583695.1
DR094_RS00615 WP_002557574.1
DR094_RS00620 WP_160583697.1
DR094_RS00625 WP_160580848.1
DR094_RS00630 WP_160581005.1
DR094_RS00635 WP_220190182.1
DR094_RS00685 WP_002557938.1
DR094_RS00690 WP_160583701.1
DR094_RS00695 WP_160583703.1
DR094_RS00700 WP_002557935.1
DR094_RS00705 WP_002557934.1
DR094_RS00710 WP_160583705.1
DR094_RS00715 WP_160581015.1
