DR093_RS02860 WP_002557739.1
DR093_RS02865 WP_160584044.1
DR093_RS02870 WP_160603258.1
DR093_RS02875 WP_002557742.1
DR093_RS02880 WP_002557743.1
DR093_RS02885 WP_220190081.1
DR093_RS02890 WP_160581429.1
DR093_RS02895 WP_160584058.1
DR093_RS02900 WP_160581431.1
DR093_RS04035 WP_308507120.1
DR093_RS02910 WP_160581432.1
DR093_RS02915 WP_160603260.1
DR093_RS02920 WP_160603262.1
DR093_RS04040 WP_160603264.1
DR093_RS04045 WP_052234586.1
DR093_RS02940 WP_160593542.1
DR093_RS04050 WP_160581474.1
DR093_RS02950 WP_160581474.1
DR093_RS02955 WP_160603268.1
DR093_RS02960 WP_039387592.1
DR093_RS03255 WP_169742226.1
DR093_RS04055 WP_160584029.1
DR093_RS02970 WP_160603270.1
DR093_RS02975 WP_039387562.1
DR093_RS02980 WP_160581423.1
DR093_RS02985 WP_160603272.1
DR093_RS02990 WP_220190833.1
DR093_RS02995 WP_002557684.1
DR093_RS03260 WP_220190834.1
DR093_RS03005 WP_160583933.1
DR093_RS04060 WP_308705398.1
DR093_RS03015 WP_308705398.1
DR093_RS03770 WP_369122332.1
DR093_RS03025 WP_369122332.1
DR093_RS03030 WP_160603281.1
DR093_RS00010 WP_160603014.1
DR093_RS00015 WP_160581112.1
DR093_RS03775 WP_160583767.1
DR093_RS00025 WP_002557486.1
DR093_RS00030 WP_160603015.1
DR093_RS00035 WP_160583766.1
DR093_RS00040 WP_160583764.1
DR093_RS00045 WP_160583762.1
DR093_RS00050 WP_160603016.1
DR093_RS00055 WP_039387723.1
DR093_RS00060 WP_002557480.1
DR093_RS00065 WP_002557479.1
DR093_RS00070 WP_160583760.1
DR093_RS00075 WP_002557477.1
DR093_RS00080 WP_002557476.1
DR093_RS04150 WP_002557476.1
DR093_RS04155 WP_160603118.1
DR093_RS00095 WP_002557472.1
DR093_RS00100 WP_002557471.1
DR093_RS00105 WP_160583753.1
DR093_RS00110 WP_002557469.1
DR093_RS00115 WP_160603017.1
DR093_RS00120 WP_160603018.1
DR093_RS00125 WP_160581087.1
DR093_RS00130 WP_160581085.1
DR093_RS00135 WP_002557464.1
DR093_RS00140 WP_002557464.1
DR093_RS00145 WP_002557875.1
DR093_RS00150 WP_002557876.1
DR093_RS00155 WP_160603019.1
DR093_RS00160 WP_160581075.1
DR093_RS00165 WP_160603020.1
DR093_RS00170 WP_160581071.1
DR093_RS00175 WP_160603021.1
DR093_RS00180 WP_160603024.1
DR093_RS00185 WP_002557883.1
DR093_RS00190 WP_160603026.1
DR093_RS00195 WP_160603027.1
DR093_RS00200 WP_002557886.1
DR093_RS03220 WP_258554019.1
DR093_RS00210 WP_002557888.1
DR093_RS00215 WP_039387487.1
DR093_RS03785 WP_308704668.1
DR093_RS00225 WP_002557890.1
DR093_RS00230 WP_002557891.1
DR093_RS00235 WP_002557892.1
DR093_RS00240 WP_160581051.1
DR093_RS00245 WP_160583733.1
DR093_RS00250 WP_002557895.1
DR093_RS00255 WP_160583731.1
