MYF_RS00005 WP_002557479.1
MYF_RS00010 WP_236681780.1
MYF_RS00015 WP_002557477.1
MYF_RS00020 WP_002557476.1
MYF_RS00025 WP_039387473.1
MYF_RS00030 WP_002557473.1
MYF_RS00035 WP_002557472.1
MYF_RS00040 WP_002557471.1
MYF_RS00045 WP_002557470.1
MYF_RS00050 WP_002557469.1
MYF_RS00055 WP_002557468.1
MYF_RS00060 WP_002557467.1
MYF_RS00065 WP_002557466.1
MYF_RS00070 WP_002557465.1
MYF_RS00075 WP_002557464.1
MYF_RS03395 WP_002557874.1
MYF_RS03525 WP_323749063.1
MYF_RS00085 WP_002557875.1
MYF_RS00090 WP_002557876.1
MYF_RS00095 WP_002557877.1
MYF_RS00100 WP_039387482.1
MYF_RS00105 WP_002557879.1
MYF_RS00110 WP_002557880.1
MYF_RS03155 WP_002557881.1
MYF_RS00120 WP_002557882.1
MYF_RS00125 WP_002557883.1
MYF_RS00130 WP_002557884.1
MYF_RS00135 WP_039387485.1
MYF_RS00140 WP_002557886.1
MYF_RS03400 WP_002557887.1
MYF_RS00150 WP_002557888.1
MYF_RS00155 WP_039387487.1
MYF_RS00160 WP_231237877.1
MYF_RS00165 WP_002557890.1
MYF_RS00170 WP_002557891.1
MYF_RS00175 WP_002557892.1
MYF_RS00180 WP_002557893.1
MYF_RS00185 WP_002557894.1
MYF_RS03405 WP_231237878.1
MYF_RS00190 WP_002557895.1
MYF_RS00195 WP_002557896.1
MYF_RS00205 WP_002557898.1
MYF_RS00210 WP_002557899.1
MYF_RS00215 WP_002557900.1
MYF_RS00220 WP_002557901.1
MYF_RS00225 WP_002557902.1
MYF_RS00230 WP_002557903.1
MYF_RS00235 WP_002557904.1
MYF_RS00240 WP_231237879.1
MYF_RS00245 WP_002557905.1
MYF_RS00250 WP_002557906.1
MYF_RS00255 WP_002557907.1
MYF_RS00260 WP_002557908.1
MYF_RS00265 WP_002557909.1
MYF_RS00270 WP_231237880.1
MYF_RS00275 WP_002557911.1
MYF_RS00280 WP_002557912.1
MYF_RS00285 WP_002557913.1
MYF_RS00290 WP_002557914.1
MYF_RS00295 WP_002557915.1
MYF_RS00300 WP_039387493.1
MYF_RS00305 WP_002557918.1
MYF_RS00310 WP_002557919.1
MYF_RS00315 WP_002557920.1
MYF_RS00320 WP_002557921.1
MYF_RS00325 WP_002557922.1
MYF_RS00330 WP_002557923.1
MYF_RS00335 WP_039387496.1
MYF_RS00340 WP_002557925.1
MYF_RS00345 WP_002557926.1
MYF_RS00350 WP_002557927.1
MYF_RS00355 WP_002557928.1
MYF_RS00360 WP_039387498.1
MYF_RS00365 WP_002557930.1
MYF_RS00370 WP_039387501.1
MYF_RS00375 WP_039387504.1
MYF_RS00380 WP_002557932.1
MYF_RS00385 WP_002557933.1
MYF_RS00390 WP_002557934.1
MYF_RS00395 WP_002557935.1
MYF_RS00400 WP_002557936.1
MYF_RS00410 WP_002557937.1
MYF_RS00415 WP_002557938.1
MYF_RS00465 WP_220189978.1
MYF_RS00470 WP_002557571.1
MYF_RS00475 WP_002557572.1
MYF_RS00480 WP_002557573.1
MYF_RS00485 WP_002557574.1
MYF_RS00490 WP_002557575.1
MYF_RS00495 WP_002557576.1
MYF_RS00505 WP_002557577.1
MYF_RS00510 WP_002557578.1
MYF_RS00515 WP_039387509.1
MYF_RS00520 WP_002557580.1
MYF_RS00525 WP_002557581.1
MYF_RS00530 WP_051054279.1
MYF_RS00535 WP_002557584.1
MYF_RS00540 WP_002557585.1
MYF_RS00545 WP_039387510.1
MYF_RS00550 WP_002557587.1
MYF_RS00555 WP_002557588.1
MYF_RS00560 WP_002557589.1
MYF_RS03500 WP_255454454.1
MYF_RS00565 WP_002557590.1
MYF_RS00580 WP_002557591.1
MYF_RS00585 WP_002557592.1
MYF_RS00590 WP_002557593.1
MYF_RS00595 WP_002557594.1
MYF_RS00600 WP_002557595.1
MYF_RS00610 WP_002557596.1
MYF_RS00615 WP_002557597.1
MYF_RS00620 WP_002557598.1
MYF_RS03160 WP_160609261.1
MYF_RS00630 WP_002557601.1
MYF_RS00635 WP_002557602.1
MYF_RS00640 WP_002557603.1
MYF_RS00645 WP_231237864.1
MYF_RS03410 WP_002557605.1
MYF_RS00660 WP_002557606.1
MYF_RS00665 WP_002557607.1
MYF_RS00670 WP_002557608.1
MYF_RS00675 WP_002557609.1
MYF_RS00680 WP_002557610.1
MYF_RS00685 WP_002557611.1
MYF_RS00690 WP_039387514.1
MYF_RS00695 WP_002557613.1
MYF_RS00700 WP_002557614.1
MYF_RS00705 WP_002557615.1
MYF_RS00710 WP_039387516.1
MYF_RS00715 WP_002557618.1
MYF_RS00720 WP_144245598.1
MYF_RS00725 WP_002557620.1
MYF_RS00730 WP_002557621.1
MYF_RS00735 WP_002557622.1
MYF_RS00740 WP_002557623.1
MYF_RS00745 WP_002557624.1
MYF_RS00750 WP_002557625.1
MYF_RS00755 WP_002557626.1
MYF_RS00760 WP_002557627.1
MYF_RS00765 WP_002557628.1
MYF_RS00770 WP_039387523.1
MYF_RS03360 WP_201771011.1
MYF_RS03415 WP_002557631.1
MYF_RS00790 WP_236681781.1
MYF_RS03335 WP_155897261.1
MYF_RS00795 WP_002557634.1
MYF_RS00800 WP_002557635.1
MYF_RS00805 WP_002557636.1
MYF_RS00810 WP_039387525.1
MYF_RS00815 WP_002557638.1
MYF_RS00820 WP_002557639.1
MYF_RS00825 WP_002557640.1
MYF_RS00830 WP_002557641.1
MYF_RS00835 WP_002557642.1
MYF_RS00840 WP_201771013.1
MYF_RS00850 WP_002557646.1
MYF_RS00855 WP_002557647.1
MYF_RS00860 WP_002557648.1
MYF_RS00865 WP_002557649.1
MYF_RS00870 WP_002557650.1
MYF_RS00875 WP_002557651.1
MYF_RS00880 WP_002557996.1
MYF_RS03505 WP_039387531.1
MYF_RS00890 WP_039387533.1
MYF_RS00895 WP_039387535.1
MYF_RS00905 WP_002558003.1
MYF_RS00910 WP_002558004.1
MYF_RS00915 WP_002558005.1
MYF_RS00920 WP_002558006.1
MYF_RS00925 WP_002558007.1
MYF_RS00930 WP_039387750.1
MYF_RS00935 WP_002558009.1
MYF_RS00940 WP_002558010.1
MYF_RS03365 WP_196792423.1
MYF_RS00950 WP_039387539.1
MYF_RS00955 WP_039387541.1
MYF_RS00960 WP_002558013.1
MYF_RS00965 WP_002558014.1
MYF_RS00975 WP_002558016.1
MYF_RS00980 WP_002558017.1
MYF_RS00985 WP_002558018.1
MYF_RS00990 WP_002558019.1
MYF_RS00995 WP_002558020.1
MYF_RS01000 WP_002558011.1
MYF_RS01005 WP_039387539.1
MYF_RS01010 WP_039387541.1
MYF_RS01015 WP_002558013.1
MYF_RS01020 WP_002558014.1
MYF_RS01030 WP_002558016.1
MYF_RS01035 WP_002558017.1
MYF_RS01040 WP_002558018.1
MYF_RS01045 WP_002558019.1
MYF_RS01050 WP_002558020.1
MYF_RS01055 WP_002557985.1
MYF_RS01060 WP_002557984.1
MYF_RS01065 WP_231237889.1
MYF_RS01070 WP_002557982.1
MYF_RS01075 WP_002557981.1
MYF_RS01080 WP_002557980.1
MYF_RS01085 WP_039387544.1
MYF_RS01090 WP_002557978.1
MYF_RS01095 WP_002557977.1
MYF_RS01100 WP_051054340.1
MYF_RS03170 WP_002557975.1
MYF_RS01110 WP_231237888.1
MYF_RS01115 WP_002557972.1
MYF_RS01120 WP_040538377.1
MYF_RS01125 WP_002557653.1
MYF_RS01130 WP_052234584.1
MYF_RS01135 WP_002557663.1
MYF_RS01140 WP_039387548.1
MYF_RS01155 WP_002557665.1
MYF_RS01160 WP_039387550.1
MYF_RS01165 WP_002557667.1
MYF_RS01170 WP_002557668.1
MYF_RS01175 WP_002557669.1
MYF_RS01180 WP_002557670.1
MYF_RS01185 WP_002557671.1
MYF_RS01190 WP_002557672.1
MYF_RS01200 WP_002557673.1
MYF_RS01205 WP_002557674.1
MYF_RS01210 WP_039387554.1
MYF_RS01215 WP_002557676.1
MYF_RS01220 WP_002557677.1
MYF_RS01235 WP_231237866.1
MYF_RS01240 WP_002557679.1
MYF_RS01245 WP_002557680.1
MYF_RS01250 WP_002557681.1
MYF_RS01255 WP_002557682.1
MYF_RS01260 WP_002557683.1
MYF_RS01265 WP_002557684.1
MYF_RS01270 WP_039387558.1
MYF_RS03310 WP_039387561.1
MYF_RS01280 WP_039387562.1
MYF_RS01285 WP_002557689.1
MYF_RS01290 WP_039387564.1
MYF_RS01295 WP_002557691.1
MYF_RS01300 WP_002557692.1
MYF_RS01305 WP_002557693.1
MYF_RS01310 WP_039387569.1
MYF_RS01315 WP_231237867.1
MYF_RS01320 WP_039387574.1
MYF_RS03430 WP_002557696.1
MYF_RS01330 WP_318023896.1
MYF_RS03370 WP_052234585.1
MYF_RS01350 WP_039387763.1
MYF_RS01355 WP_002557461.1
MYF_RS01360 WP_039387578.1
MYF_RS01365 WP_002557458.1
MYF_RS01370 WP_236681783.1
MYF_RS01375 WP_236681784.1
MYF_RS01380 WP_002557455.1
MYF_RS01385 WP_002557454.1
MYF_RS01390 WP_002557453.1
MYF_RS01395 WP_002557452.1
MYF_RS01400 WP_002557451.1
MYF_RS01405 WP_002557450.1
MYF_RS01415 WP_002557449.1
MYF_RS01420 WP_002557448.1
MYF_RS03350 WP_169742226.1
MYF_RS01425 WP_039387592.1
MYF_RS01430 WP_002557446.1
MYF_RS01435 WP_002557445.1
MYF_RS01440 WP_002557444.1
MYF_RS01445 WP_052234586.1
MYF_RS01450 WP_039387594.1
MYF_RS03435 WP_039387597.1
MYF_RS01460 WP_236681786.1
MYF_RS03375 WP_039387598.1
MYF_RS03215 WP_236681787.1
MYF_RS01475 WP_002557987.1
MYF_RS01480 WP_002557988.1
MYF_RS03220 WP_002557988.1
MYF_RS01500 WP_002557992.1
MYF_RS01505 WP_002557993.1
MYF_RS01510 WP_002557994.1
MYF_RS01515 WP_039387603.1
MYF_RS01520 WP_039387605.1
MYF_RS01525 WP_236681788.1
MYF_RS01530 WP_002557507.1
MYF_RS01535 WP_002557508.1
MYF_RS01540 WP_002557509.1
MYF_RS01545 WP_002557510.1
MYF_RS01550 WP_002557511.1
MYF_RS01555 WP_236681771.1
MYF_RS01560 WP_002557514.1
MYF_RS01565 WP_002557515.1
MYF_RS01570 WP_002557516.1
MYF_RS01575 WP_002557517.1
MYF_RS01580 WP_002557518.1
MYF_RS01585 WP_002557519.1
MYF_RS01590 WP_002557520.1
MYF_RS01595 WP_002557522.1
MYF_RS01600 WP_002557523.1
MYF_RS01605 WP_002557524.1
MYF_RS01610 WP_002557525.1
MYF_RS01615 WP_002557526.1
MYF_RS01620 WP_039387609.1
MYF_RS01625 WP_002557528.1
