DR082_RS03985 WP_334296055.1
DR082_RS02840 WP_160593532.1
DR082_RS02845 WP_160593534.1
DR082_RS02850 WP_002557557.1
DR082_RS02855 WP_160583973.1
DR082_RS02860 WP_160581203.1
DR082_RS02865 WP_160593536.1
DR082_RS02870 WP_160581199.1
DR082_RS02875 WP_081605280.1
DR082_RS02880 WP_002557551.1
DR082_RS03140 WP_002557551.1
DR082_RS03925 WP_160584042.1
DR082_RS02890 WP_011284157.1
DR082_RS02895 WP_002557993.1
DR082_RS02900 WP_002557992.1
DR082_RS03930 WP_002557992.1
DR082_RS02910 WP_002557988.1
DR082_RS03935 WP_160593538.1
DR082_RS02920 WP_160593538.1
DR082_RS02925 WP_160584048.1
DR082_RS02930 WP_002557742.1
DR082_RS02935 WP_160584046.1
DR082_RS02940 WP_160584044.1
DR082_RS02945 WP_002557739.1
DR082_RS03940 WP_160593540.1
DR082_RS03945 WP_052234586.1
DR082_RS02960 WP_160593542.1
DR082_RS03950 WP_160581474.1
DR082_RS02970 WP_160581474.1
DR082_RS02975 WP_160593546.1
DR082_RS03955 WP_160584029.1
DR082_RS03145 WP_169742226.1
DR082_RS02985 WP_039387592.1
DR082_RS02990 WP_160593548.1
DR082_RS03150 WP_308507121.1
DR082_RS03005 WP_255454543.1
DR082_RS03010 WP_308507122.1
DR082_RS03155 WP_220190423.1
DR082_RS03040 WP_220190424.1
DR082_RS00010 WP_160583769.1
DR082_RS00015 WP_160581112.1
DR082_RS00020 WP_160593336.1
DR082_RS00025 WP_002557486.1
DR082_RS00030 WP_002557485.1
DR082_RS00035 WP_160583766.1
DR082_RS00040 WP_160583764.1
DR082_RS00045 WP_160583762.1
DR082_RS00050 WP_002557481.1
DR082_RS00055 WP_039387723.1
DR082_RS00060 WP_002557480.1
DR082_RS00065 WP_002557479.1
DR082_RS00070 WP_160583760.1
DR082_RS00075 WP_160593339.1
DR082_RS00080 WP_002557476.1
DR082_RS03655 WP_160583756.1
DR082_RS00090 WP_160583755.1
DR082_RS00095 WP_002557472.1
DR082_RS00100 WP_002557471.1
DR082_RS00105 WP_160583753.1
DR082_RS00110 WP_002557469.1
DR082_RS00115 WP_160593341.1
DR082_RS00120 WP_160583751.1
DR082_RS00125 WP_002557466.1
DR082_RS00130 WP_002557465.1
DR082_RS00135 WP_002557464.1
DR082_RS03660 WP_002557464.1
DR082_RS03970 WP_323749063.1
DR082_RS00145 WP_002557875.1
DR082_RS00150 WP_002557876.1
DR082_RS00155 WP_160593344.1
DR082_RS00160 WP_039387482.1
DR082_RS00165 WP_160593346.1
DR082_RS00170 WP_160593348.1
DR082_RS00175 WP_160583745.1
DR082_RS00180 WP_160583743.1
DR082_RS00185 WP_160583741.1
DR082_RS00190 WP_160583739.1
DR082_RS00195 WP_160593350.1
DR082_RS00200 WP_002557886.1
DR082_RS03095 WP_258556248.1
DR082_RS00210 WP_002557888.1
DR082_RS00215 WP_039387487.1
DR082_RS03665 WP_308507103.1
DR082_RS00225 WP_002557890.1
DR082_RS00230 WP_002557891.1
DR082_RS00235 WP_002557892.1
DR082_RS00240 WP_160581051.1
DR082_RS00245 WP_160583733.1
DR082_RS00250 WP_002557895.1
DR082_RS00255 WP_160583731.1
DR082_RS00260 WP_002557898.1
DR082_RS00265 WP_002557899.1
DR082_RS00270 WP_002557900.1
DR082_RS00275 WP_002557901.1
DR082_RS00280 WP_160583729.1
DR082_RS00285 WP_160583727.1
DR082_RS00290 WP_160583725.1
DR082_RS00295 WP_231237879.1
DR082_RS00300 WP_002557905.1
DR082_RS00305 WP_220190183.1
DR082_RS00310 WP_160581042.1
DR082_RS00315 WP_002557908.1
DR082_RS00320 WP_002557909.1
DR082_RS00325 WP_255454451.1
DR082_RS00330 WP_160583721.1
DR082_RS00335 WP_002557912.1
DR082_RS00340 WP_002557913.1
DR082_RS00345 WP_160583715.1
DR082_RS03670 WP_160593354.1
DR082_RS00355 WP_308507105.1
DR082_RS00360 WP_160581028.1
DR082_RS00365 WP_160583709.1
DR082_RS00370 WP_160581026.1
DR082_RS00375 WP_160593357.1
DR082_RS00380 WP_002557922.1
DR082_RS00385 WP_160581019.1
DR082_RS00390 WP_039387496.1
DR082_RS00395 WP_160581017.1
DR082_RS00400 WP_002557926.1
DR082_RS00405 WP_002557927.1
DR082_RS00410 WP_002557928.1
DR082_RS00415 WP_039387498.1
DR082_RS00420 WP_002557930.1
DR082_RS00425 WP_039387501.1
DR082_RS00430 WP_039387504.1
DR082_RS00435 WP_160581015.1
DR082_RS00440 WP_160581013.1
DR082_RS00445 WP_002557934.1
DR082_RS00450 WP_002557935.1
DR082_RS00455 WP_160583703.1
DR082_RS00460 WP_160583701.1
DR082_RS00465 WP_002557938.1
DR082_RS00515 WP_220190182.1
DR082_RS00520 WP_160581005.1
DR082_RS00525 WP_160580848.1
DR082_RS00530 WP_160583697.1
DR082_RS00535 WP_002557574.1
DR082_RS03675 WP_160583695.1
DR082_RS00545 WP_002557576.1
DR082_RS00555 WP_002557577.1
DR082_RS00560 WP_002557578.1
DR082_RS00565 WP_160580856.1
DR082_RS00570 WP_160583691.1
DR082_RS03680 WP_160593359.1
DR082_RS00580 WP_160583688.1
DR082_RS00585 WP_160580862.1
DR082_RS00590 WP_160583687.1
DR082_RS00600 WP_160580864.1
DR082_RS03685 WP_220190396.1
DR082_RS00605 WP_160593361.1
DR082_RS00610 WP_002557589.1
DR082_RS03220 WP_255454454.1
DR082_RS00615 WP_160580868.1
DR082_RS00630 WP_220190180.1
DR082_RS00635 WP_160583682.1
DR082_RS00640 WP_002557593.1
DR082_RS00645 WP_160583681.1
DR082_RS00650 WP_160583679.1
DR082_RS00660 WP_160593363.1
DR082_RS00665 WP_160593365.1
DR082_RS03225 WP_255454455.1
DR082_RS03230 WP_255454456.1
DR082_RS00675 WP_002557602.1
DR082_RS03690 WP_002557603.1
DR082_RS00685 WP_255454457.1
DR082_RS03245 WP_255454458.1
DR082_RS00700 WP_160580878.1
DR082_RS00705 WP_160593367.1
DR082_RS00710 WP_160583674.1
DR082_RS00715 WP_002557609.1
DR082_RS00720 WP_160583673.1
DR082_RS00725 WP_160583671.1
DR082_RS00730 WP_160580890.1
DR082_RS00735 WP_002557613.1
