Assembly	GCF_022793015.1_ASM2279301v1_genomic
# contigs (>= 0 bp)	14
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	8
# contigs (>= 10000 bp)	8
# contigs (>= 25000 bp)	8
# contigs (>= 50000 bp)	7
Total length (>= 0 bp)	959419
Total length (>= 1000 bp)	958724
Total length (>= 5000 bp)	952043
Total length (>= 10000 bp)	952043
Total length (>= 25000 bp)	952043
Total length (>= 50000 bp)	906965
# contigs	12
Largest contig	262634
Total length	958724
GC (%)	28.50
N50	139329
N90	58357
auN	157504.1
L50	3
L90	7
# N's per 100 kbp	45.69
