#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CP098241.1:105883-106674|+ -            264 1679at2085           -            265   2.4e-78  258.5  13.8   1   1   2.4e-80   2.6e-78  258.4  13.8    12   256     1   255     1   263 0.90 CP098241.1_94 # 105883 # 106674 # 1 # ID=1_94;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.264
CP098241.1:85988-87289|+   -            434 1679at2085           -            265   2.4e-23   78.2  12.7   1   3   1.4e-11   1.5e-09   33.0   0.2   123   177     6    64     1    77 0.80 CP098241.1_77 # 85988 # 87289 # 1 # ID=1_77;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
CP098241.1:85988-87289|+   -            434 1679at2085           -            265   2.4e-23   78.2  12.7   2   3   7.9e-13   8.5e-11   37.1   0.9    22   173    78   228    71   239 0.76 CP098241.1_77 # 85988 # 87289 # 1 # ID=1_77;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
CP098241.1:85988-87289|+   -            434 1679at2085           -            265   2.4e-23   78.2  12.7   3   3   5.4e-06   0.00057   14.7   0.9    24   139   251   380   245   386 0.62 CP098241.1_77 # 85988 # 87289 # 1 # ID=1_77;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
CP098241.1:594584-595180|- -            199 1679at2085           -            265   2.5e-13   45.3   5.4   1   2   6.6e-13     7e-11   37.3   0.1   123   172    41    91    29   109 0.90 CP098241.1_508 # 594584 # 595180 # -1 # ID=1_508;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
CP098241.1:594584-595180|- -            199 1679at2085           -            265   2.5e-13   45.3   5.4   2   2   0.00017     0.018    9.7   1.8    24    97   117   195   105   198 0.78 CP098241.1_508 # 594584 # 595180 # -1 # ID=1_508;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
CP098241.1:256668-257996|- -            443 1679at2085           -            265   1.2e-12   43.1  15.8   1   3      0.93        99   -2.5   0.1   231   258   137   164   114   170 0.58 CP098241.1_254 # 256668 # 257996 # -1 # ID=1_254;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
CP098241.1:256668-257996|- -            443 1679at2085           -            265   1.2e-12   43.1  15.8   2   3   8.9e-14   9.5e-12   40.2   0.3    97   174   194   275   184   289 0.78 CP098241.1_254 # 256668 # 257996 # -1 # ID=1_254;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
CP098241.1:256668-257996|- -            443 1679at2085           -            265   1.2e-12   43.1  15.8   3   3   0.00018     0.019    9.7   6.0    21   104   291   366   281   386 0.71 CP098241.1_254 # 256668 # 257996 # -1 # ID=1_254;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.317
CP098241.1:189047-189928|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   1   2   1.8e-11   1.9e-09   32.6   0.3   119   175     6    66     2    84 0.78 CP098241.1_171 # 189047 # 189928 # -1 # ID=1_171;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
CP098241.1:189047-189928|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   2   2    0.0013      0.14    6.8   4.0    47   103   108   169    77   190 0.77 CP098241.1_171 # 189047 # 189928 # -1 # ID=1_171;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
CP098241.1:49020-49814|+   -            265 1679at2085           -            265   9.7e-06   20.5  12.1   1   2   3.4e-07   3.6e-05   18.6   0.1   124   175     6    60     2    83 0.75 CP098241.1_44 # 49020 # 49814 # 1 # ID=1_44;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.278
CP098241.1:49020-49814|+   -            265 1679at2085           -            265   9.7e-06   20.5  12.1   2   2     0.013       1.4    3.6   8.1    39   121   102   188    98   191 0.85 CP098241.1_44 # 49020 # 49814 # 1 # ID=1_44;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.278
CP098241.1:366109-367170|- -            354 1679at2085           -            265     3e-05   18.8   0.1   1   2   2.8e-07     3e-05   18.8   0.1   119   155     2    37     1    47 0.85 CP098241.1_340 # 366109 # 367170 # -1 # ID=1_340;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
CP098241.1:366109-367170|- -            354 1679at2085           -            265     3e-05   18.8   0.1   2   2       1.5   1.6e+02   -3.1   0.2   100   103   148   151   116   178 0.53 CP098241.1_340 # 366109 # 367170 # -1 # ID=1_340;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/111A/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/111A/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/111A/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/111A/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/111A/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/111A/Use
# Date:            Thu Nov 28 19:21:04 2024
# [ok]
