MHP7448_RS00505	OG0000003
MHP7448_RS01785	OG0000003
MHP7448_RS03870	OG0000003
MHP7448_RS01830	OG0000003
MHP7448_RS01970	OG0000011
MHP7448_RS01965	OG0000011
MHP7448_RS03945	OG0000013
MHP7448_RS02430	OG0000013
MHP7448_RS00135	OG0000055
MHP7448_RS03310	OG0000072
MHP7448_RS01695	OG0000078
MHP7448_RS03555	OG0000100
MHP7448_RS02910	OG0000145
MHP7448_RS03080	OG0000169
MHP7448_RS00965	OG0000215
MHP7448_RS00160	OG0000248
MHP7448_RS03465	OG0000278
MHP7448_RS02825	OG0000306
MHP7448_RS00780	OG0000359
MHP7448_RS00895	OG0000427
MHP7448_RS02535	OG0000458
MHP7448_RS03360	OG0000472
MHP7448_RS02840	OG0000497
MHP7448_RS03395	OG0000523
MHP7448_RS01645	OG0000532
MHP7448_RS00735	OG0000537
MHP7448_RS01125	OG0000538
MHP7448_RS02710	OG0000553
MHP7448_RS01760	OG0000599
MHP7448_RS03865	OG0000608
