#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQRA01000007.1:12761-14500|+ -            580 539at2085            -            541  3.1e-246  813.6  15.1   1   1    2e-248  3.6e-246  813.4  15.1     1   541     8   574     8   574 0.97 NZ_QQRA01000007.1_11 # 12761 # 14500 # 1 # ID=78_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.297
NZ_QQRA01000001.1:33348-34715|- -            456 539at2085            -            541   2.8e-10   34.8   0.7   1   3      0.21        38   -1.9   0.0   197   228    56    87    40   101 0.74 NZ_QQRA01000001.1_26 # 33348 # 34715 # -1 # ID=12_26;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_QQRA01000001.1:33348-34715|- -            456 539at2085            -            541   2.8e-10   34.8   0.7   2   3   1.3e-08   2.4e-06   21.9   0.1   235   346   157   268   150   272 0.88 NZ_QQRA01000001.1_26 # 33348 # 34715 # -1 # ID=12_26;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_QQRA01000001.1:33348-34715|- -            456 539at2085            -            541   2.8e-10   34.8   0.7   3   3     4e-05    0.0073   10.4   0.1   451   540   354   449   348   450 0.82 NZ_QQRA01000001.1_26 # 33348 # 34715 # -1 # ID=12_26;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_QQRA01000023.1:86-1525|+     -            480 539at2085            -            541   6.3e-08   27.1   4.7   1   2     0.014       2.5    2.0   0.0   186   317    43   184    34   196 0.65 NZ_QQRA01000023.1_1 # 86 # 1525 # 1 # ID=16_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
NZ_QQRA01000023.1:86-1525|+     -            480 539at2085            -            541   6.3e-08   27.1   4.7   2   2   1.3e-09   2.4e-07   25.1   2.0   408   525   237   366   230   382 0.78 NZ_QQRA01000023.1_1 # 86 # 1525 # 1 # ID=16_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
NZ_QQRA01000009.1:18564-19805|- -            414 539at2085            -            541   0.00011   16.4   0.7   1   3      0.17        31   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_QQRA01000009.1_20 # 18564 # 19805 # -1 # ID=85_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
NZ_QQRA01000009.1:18564-19805|- -            414 539at2085            -            541   0.00011   16.4   0.7   2   3   1.6e-05     0.003   11.7   0.0   153   362   133   347   128   353 0.81 NZ_QQRA01000009.1_20 # 18564 # 19805 # -1 # ID=85_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
NZ_QQRA01000009.1:18564-19805|- -            414 539at2085            -            541   0.00011   16.4   0.7   3   3     0.014       2.6    1.9   0.0   411   458   361   406   355   409 0.76 NZ_QQRA01000009.1_20 # 18564 # 19805 # -1 # ID=85_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP682/Use
# Date:            Thu Nov 28 19:38:58 2024
# [ok]
