Orthogroup	MFC_MF33_genes	MHP_Ue273_genes
OG0000000	DR085_RS03035	VQY17_RS02200
OG0000001	DR085_RS03235	VQY17_RS01300, VQY17_RS02775, VQY17_RS02730
OG0000002	DR085_RS03805	VQY17_RS01780
OG0000004	DR085_RS01395	VQY17_RS03185, VQY17_RS03175, VQY17_RS03190, VQY17_RS03025, VQY17_RS03005, VQY17_RS02985, VQY17_RS02995
OG0000011	DR085_RS03875, DR085_RS02795	VQY17_RS02025
OG0000011	DR085_RS02805	VQY17_RS02020
OG0000013	DR085_RS00915, DR085_RS00910	VQY17_RS02405
OG0000013	DR085_RS03115	VQY17_RS00185
OG0000014	DR085_RS03650	VQY17_RS01120, VQY17_RS00605
OG0000016	DR085_RS00605	VQY17_RS02820
OG0000017	DR085_RS02380	VQY17_RS00155
OG0000017	DR085_RS00595	VQY17_RS02830
OG0000019	DR085_RS03320	VQY17_RS03000, VQY17_RS03010
OG0000020	DR085_RS03795	VQY17_RS03550
OG0000020	DR085_RS03790	VQY17_RS03555
OG0000022	DR085_RS03800	VQY17_RS01765
OG0000024	DR085_RS00665	VQY17_RS02725, VQY17_RS01295
OG0000025	DR085_RS02460	VQY17_RS01755
OG0000026	DR085_RS01755	VQY17_RS01380, VQY17_RS01735
OG0000027	DR085_RS03845	VQY17_RS03350
OG0000029	DR085_RS00425	VQY17_RS01115, VQY17_RS00610
OG0000030	DR085_RS03850	VQY17_RS03345
OG0000031	DR085_RS02695	VQY17_RS01635
OG0000032	DR085_RS03940	VQY17_RS03340
OG0000039	DR085_RS00495, DR085_RS00485	VQY17_RS01650, VQY17_RS01645
OG0000040	DR085_RS03110, DR085_RS00715, DR085_RS00720	VQY17_RS03270
OG0000042	DR085_RS00480, DR085_RS00645	VQY17_RS02925, VQY17_RS02920
OG0000043	DR085_RS02670	VQY17_RS01990
OG0000045	DR085_RS00505	VQY17_RS01655
OG0000048	DR085_RS02880, DR085_RS03055	VQY17_RS02180
OG0000049	DR085_RS01410	VQY17_RS03040
OG0000050	DR085_RS02735	VQY17_RS02445
OG0000051	DR085_RS01290	VQY17_RS02645
OG0000052	DR085_RS03420	VQY17_RS00075
OG0000053	DR085_RS03740	VQY17_RS01470
OG0000054	DR085_RS00960	VQY17_RS02470
OG0000056	DR085_RS02435	VQY17_RS03535
OG0000057	DR085_RS00520	VQY17_RS02900, VQY17_RS02905
OG0000062	DR085_RS02230	VQY17_RS03585
OG0000063	DR085_RS02225	VQY17_RS03580
OG0000064	DR085_RS02215	VQY17_RS03570
OG0000065	DR085_RS01895	VQY17_RS02255
OG0000066	DR085_RS01765	VQY17_RS01370
OG0000067	DR085_RS00345	VQY17_RS00525
OG0000068	DR085_RS00460	VQY17_RS00645
OG0000069	DR085_RS00630	VQY17_RS02795
OG0000070	DR085_RS00940	VQY17_RS02475
OG0000071	DR085_RS01590	VQY17_RS03260
OG0000072	DR085_RS03730	VQY17_RS03265
OG0000073	DR085_RS02070	VQY17_RS00705
OG0000074	DR085_RS03690	VQY17_RS00910
OG0000077	DR085_RS00275	VQY17_RS00445
OG0000078	DR085_RS00755	VQY17_RS01715
OG0000079	DR085_RS00860	VQY17_RS02550
OG0000080	DR085_RS03275	VQY17_RS02595
OG0000081	DR085_RS00170	VQY17_RS00340
OG0000082	DR085_RS00920	VQY17_RS02400
OG0000083	DR085_RS03000	VQY17_RS02095
OG0000084	DR085_RS02830	VQY17_RS02125
OG0000085	DR085_RS02835	VQY17_RS02135
OG0000086	DR085_RS03880	VQY17_RS02145
OG0000087	DR085_RS02860	VQY17_RS02160
OG0000088	DR085_RS02865	VQY17_RS02165
OG0000089	DR085_RS02875	VQY17_RS02175
OG0000090	DR085_RS02335	VQY17_RS00070
OG0000091	DR085_RS02320	VQY17_RS00055
OG0000092	DR085_RS02305	VQY17_RS00040
OG0000093	DR085_RS02300	VQY17_RS00035
OG0000094	DR085_RS02295	VQY17_RS00030
OG0000095	DR085_RS02270	VQY17_RS00005
OG0000096	DR085_RS02265	VQY17_RS03620
OG0000097	DR085_RS02245	VQY17_RS03600
OG0000098	DR085_RS02235	VQY17_RS03590
OG0000099	DR085_RS02430	VQY17_RS03540
OG0000100	DR085_RS02440	VQY17_RS03525
OG0000101	DR085_RS02445	VQY17_RS03520
OG0000102	DR085_RS02455	VQY17_RS01750
OG0000103	DR085_RS01930	VQY17_RS02220
OG0000104	DR085_RS01925	VQY17_RS02225
OG0000105	DR085_RS01910	VQY17_RS02240
OG0000106	DR085_RS01900	VQY17_RS02250
OG0000107	DR085_RS01890	VQY17_RS02260
OG0000108	DR085_RS01885	VQY17_RS02265
OG0000109	DR085_RS01880	VQY17_RS02270
OG0000110	DR085_RS01875	VQY17_RS02390
OG0000111	DR085_RS01870	VQY17_RS02385
OG0000112	DR085_RS01860	VQY17_RS02375
OG0000113	DR085_RS03750	VQY17_RS02355
OG0000114	DR085_RS01835	VQY17_RS02345
OG0000115	DR085_RS01825	VQY17_RS02335
OG0000116	DR085_RS01815	VQY17_RS01315
OG0000117	DR085_RS01810	VQY17_RS01320
OG0000118	DR085_RS01780	VQY17_RS01355
OG0000119	DR085_RS01775	VQY17_RS01360
OG0000120	DR085_RS01760	VQY17_RS01375
OG0000121	DR085_RS01735	VQY17_RS01405
OG0000122	DR085_RS01730	VQY17_RS01410
OG0000123	DR085_RS01710	VQY17_RS01430
OG0000124	DR085_RS01705	VQY17_RS01435
OG0000125	DR085_RS01700	VQY17_RS01440
OG0000126	DR085_RS01690	VQY17_RS01455
OG0000127	DR085_RS01680	VQY17_RS01460
OG0000128	DR085_RS01665	VQY17_RS01475
OG0000129	DR085_RS01660	VQY17_RS01480
OG0000130	DR085_RS01650	VQY17_RS01490
OG0000131	DR085_RS01620	VQY17_RS01520
OG0000132	DR085_RS03735	VQY17_RS01535
OG0000133	DR085_RS00350	VQY17_RS00530
OG0000134	DR085_RS03640	VQY17_RS00535
OG0000135	DR085_RS00370	VQY17_RS00550
OG0000136	DR085_RS00375	VQY17_RS00555
OG0000137	DR085_RS00405	VQY17_RS00595
OG0000138	DR085_RS00435	VQY17_RS00620
