Orthogroup	MFC_MF33_genes	MFC_MF30_genes
OG0000000	DR085_RS03035	DR084_RS02900
OG0000000	DR085_RS03945	DR084_RS02925
OG0000000	DR085_RS02920, DR085_RS03105, DR085_RS03020, DR085_RS03010, DR085_RS03040	DR084_RS02935
OG0000000	DR085_RS02470	DR084_RS02480
OG0000001	DR085_RS03235	DR084_RS03095
OG0000002	DR085_RS02740	DR084_RS01115
OG0000002	DR085_RS01945	DR084_RS02910
OG0000002	DR085_RS03805	DR084_RS03620
OG0000004	DR085_RS01395	DR084_RS02890
OG0000011	DR085_RS03875, DR085_RS02795	DR084_RS03145
OG0000011	DR085_RS02805	DR084_RS01055
OG0000013	DR085_RS00915	DR084_RS00890
OG0000013	DR085_RS00910	DR084_RS00885
OG0000013	DR085_RS03115	DR084_RS02985
OG0000014	DR085_RS03650	DR084_RS03465
OG0000016	DR085_RS00605	DR084_RS00585
OG0000016	DR085_RS03785	DR084_RS03605
OG0000017	DR085_RS02380	DR084_RS02415
OG0000017	DR085_RS00595	DR084_RS00575
OG0000018	DR085_RS03745	DR084_RS03555
OG0000019	DR085_RS03320	DR084_RS03440
OG0000020	DR085_RS03790	DR084_RS02530
OG0000022	DR085_RS03800	DR084_RS03625
OG0000023	DR085_RS01800	DR084_RS01910
OG0000024	DR085_RS00665	DR084_RS00640
OG0000025	DR085_RS02460	DR084_RS02490
OG0000026	DR085_RS01755	DR084_RS01955
OG0000027	DR085_RS03845	DR084_RS03655
OG0000028	DR085_RS00930	DR084_RS00905
OG0000029	DR085_RS00425	DR084_RS00420
OG0000030	DR085_RS03850	DR084_RS03660
OG0000031	DR085_RS02695	DR084_RS01000
OG0000033	DR085_RS00935	DR084_RS00915
OG0000039	DR085_RS00495, DR085_RS00485	DR084_RS00480
OG0000040	DR085_RS03110	DR084_RS02240
OG0000040	DR085_RS00715, DR085_RS00720	DR084_RS00690
OG0000042	DR085_RS00480	DR084_RS00475
OG0000042	DR085_RS00645	DR084_RS00620
OG0000043	DR085_RS02670	DR084_RS01025
OG0000045	DR085_RS00505	DR084_RS00485
OG0000047	DR085_RS03120	DR084_RS03000
OG0000048	DR085_RS02880	DR084_RS02740
OG0000049	DR085_RS01410	DR084_RS02050
OG0000050	DR085_RS02735	DR084_RS00965
OG0000051	DR085_RS01290	DR084_RS01670
OG0000052	DR085_RS03420	DR084_RS02375
OG0000053	DR085_RS03740	DR084_RS03670
OG0000054	DR085_RS00960	DR084_RS00940
OG0000056	DR085_RS02435	DR084_RS02515
OG0000057	DR085_RS00520	DR084_RS00500
OG0000062	DR085_RS02230	DR084_RS02265
