Orthogroup	MFC_MF33_genes	MHP_154B_genes
OG0000000	DR085_RS03035	NB624_RS02330
OG0000000	DR085_RS02920	NB624_RS02230
OG0000000	DR085_RS03040	NB624_RS02220
OG0000000	DR085_RS02470	NB624_RS01725
OG0000001	DR085_RS03235	NB624_RS01275, NB624_RS01270, NB624_RS02960, NB624_RS02915
OG0000002	DR085_RS03895	NB624_RS02245
OG0000002	DR085_RS03805	NB624_RS01730
OG0000004	DR085_RS01395	NB624_RS03355, NB624_RS03360, NB624_RS03175, NB624_RS03195, NB624_RS03185
OG0000007	DR085_RS02895	NB624_RS02305
OG0000008	DR085_RS03145	NB624_RS01625, NB624_RS01635
OG0000011	DR085_RS03875, DR085_RS02795	NB624_RS01955
OG0000011	DR085_RS02805	NB624_RS01950
OG0000013	DR085_RS00915, DR085_RS00910	NB624_RS02540
OG0000013	DR085_RS03115	NB624_RS00185
OG0000014	DR085_RS03650	NB624_RS00595, NB624_RS01090, NB624_RS01080
OG0000016	DR085_RS00605	NB624_RS03000
OG0000017	DR085_RS02380	NB624_RS00155
OG0000017	DR085_RS00595	NB624_RS03010
OG0000018	DR085_RS03745	NB624_RS02095
OG0000019	DR085_RS03320	NB624_RS03190
OG0000020	DR085_RS03795	NB624_RS03690
OG0000020	DR085_RS03790	NB624_RS03695
OG0000022	DR085_RS03800	NB624_RS01715
OG0000023	DR085_RS01800, DR085_RS02195	NB624_RS01310
OG0000024	DR085_RS00665	NB624_RS02910, NB624_RS01265
OG0000025	DR085_RS02460	NB624_RS01710
OG0000026	DR085_RS01755	NB624_RS01355, NB624_RS01690
OG0000030	DR085_RS03850	NB624_RS03495
OG0000031	DR085_RS02695	NB624_RS02150, NB624_RS01595
OG0000033	DR085_RS00935	NB624_RS02560
OG0000039	DR085_RS00495, DR085_RS00485	NB624_RS01605
OG0000040	DR085_RS03110, DR085_RS00715, DR085_RS00720	NB624_RS03440
OG0000042	DR085_RS00480, DR085_RS00645	NB624_RS03095
OG0000043	DR085_RS02670	NB624_RS01920
OG0000045	DR085_RS00505	NB624_RS01610
OG0000048	DR085_RS02880, DR085_RS03055	NB624_RS02205
OG0000049	DR085_RS01410	NB624_RS03210
OG0000050	DR085_RS02735	NB624_RS02595
OG0000051	DR085_RS01290	NB624_RS02825
OG0000052	DR085_RS03420	NB624_RS00075
OG0000053	DR085_RS03740	NB624_RS01440
OG0000054	DR085_RS00960	NB624_RS02620
OG0000056	DR085_RS02435	NB624_RS03675
OG0000057	DR085_RS00520	NB624_RS03080
OG0000062	DR085_RS02230	NB624_RS03725
OG0000063	DR085_RS02225	NB624_RS03720
OG0000064	DR085_RS02215	NB624_RS03710
OG0000065	DR085_RS01895	NB624_RS02385
OG0000066	DR085_RS01765	NB624_RS01345
OG0000068	DR085_RS00460	NB624_RS01035
OG0000069	DR085_RS00630	NB624_RS02975
OG0000070	DR085_RS00940	NB624_RS02625
OG0000071	DR085_RS01590	NB624_RS03430
OG0000072	DR085_RS03730	NB624_RS03435
OG0000073	DR085_RS02070	NB624_RS00975
OG0000075	DR085_RS00175	NB624_RS00340
OG0000077	DR085_RS00275	NB624_RS00440
OG0000079	DR085_RS00860	NB624_RS02715
OG0000080	DR085_RS03275	NB624_RS02770
OG0000081	DR085_RS00170	NB624_RS00335
OG0000083	DR085_RS03000	NB624_RS02025
OG0000084	DR085_RS02830	NB624_RS02055
OG0000085	DR085_RS02835	NB624_RS02060
OG0000086	DR085_RS03880	NB624_RS02170
OG0000087	DR085_RS02860	NB624_RS02185
OG0000088	DR085_RS02865	NB624_RS02190
OG0000089	DR085_RS02875	NB624_RS02200
OG0000090	DR085_RS02335	NB624_RS00070
OG0000091	DR085_RS02320	NB624_RS00055
OG0000092	DR085_RS02305	NB624_RS00045
OG0000093	DR085_RS02300	NB624_RS00035
OG0000094	DR085_RS02295	NB624_RS00030
OG0000095	DR085_RS02270	NB624_RS00005
OG0000096	DR085_RS02265	NB624_RS03760
OG0000097	DR085_RS02245	NB624_RS03740
OG0000098	DR085_RS02235	NB624_RS03730
OG0000099	DR085_RS02430	NB624_RS03680
OG0000100	DR085_RS02440	NB624_RS03670
OG0000101	DR085_RS02445	NB624_RS03660
OG0000102	DR085_RS02455	NB624_RS01705
OG0000103	DR085_RS01930	NB624_RS02350
OG0000104	DR085_RS01925	NB624_RS02355
OG0000105	DR085_RS01910	NB624_RS02370
OG0000106	DR085_RS01900	NB624_RS02380
OG0000107	DR085_RS01890	NB624_RS02390
OG0000108	DR085_RS01885	NB624_RS02395
OG0000109	DR085_RS01880	NB624_RS02400
OG0000110	DR085_RS01875	NB624_RS02525
OG0000111	DR085_RS01870	NB624_RS02520
OG0000112	DR085_RS01860	NB624_RS02510
OG0000113	DR085_RS03750	NB624_RS02490
OG0000114	DR085_RS01835	NB624_RS02485
OG0000115	DR085_RS01825	NB624_RS02470
OG0000116	DR085_RS01815	NB624_RS01290
OG0000117	DR085_RS01810	NB624_RS01295
OG0000118	DR085_RS01780	NB624_RS01330
OG0000119	DR085_RS01775	NB624_RS01335
OG0000120	DR085_RS01760	NB624_RS01350
OG0000121	DR085_RS01735	NB624_RS01375
OG0000122	DR085_RS01730	NB624_RS01380
OG0000123	DR085_RS01710	NB624_RS01400
OG0000124	DR085_RS01705	NB624_RS01405
OG0000125	DR085_RS01700	NB624_RS01410
OG0000126	DR085_RS01690	NB624_RS01420
OG0000127	DR085_RS01680	NB624_RS01430
OG0000128	DR085_RS01665	NB624_RS01445
OG0000129	DR085_RS01660	NB624_RS01450
OG0000130	DR085_RS01650	NB624_RS01460
OG0000131	DR085_RS01620	NB624_RS01490
OG0000132	DR085_RS03735	NB624_RS01505
