Orthogroup	MFC_MF33_genes	MHP_98_genes
OG0000000	DR085_RS03035	GOM18_RS02340
OG0000000	DR085_RS02470	GOM18_RS03685
OG0000001	DR085_RS03235	GOM18_RS03240, GOM18_RS03230, GOM18_RS03125, GOM18_RS04130, GOM18_RS04125
OG0000002	DR085_RS03805	GOM18_RS04550
OG0000004	DR085_RS01395	GOM18_RS00895, GOM18_RS00890, GOM18_RS00880
OG0000011	DR085_RS03875, DR085_RS02795	GOM18_RS03250
OG0000011	DR085_RS02805	GOM18_RS03255
OG0000013	DR085_RS00915, DR085_RS00910	GOM18_RS02545
OG0000013	DR085_RS03115	GOM18_RS03935
OG0000014	DR085_RS03650	GOM18_RS03570, GOM18_RS01700
OG0000016	DR085_RS00605	GOM18_RS01215
OG0000017	DR085_RS02380	GOM18_RS01265
OG0000017	DR085_RS00595	GOM18_RS01205
OG0000018	DR085_RS03745	GOM18_RS04240
OG0000019	DR085_RS03320	GOM18_RS04575
OG0000020	DR085_RS03795	GOM18_RS04290
OG0000020	DR085_RS03790	GOM18_RS03770, GOM18_RS03765
OG0000022	DR085_RS03800	GOM18_RS04500
OG0000023	DR085_RS02195	GOM18_RS00025
OG0000024	DR085_RS00665	GOM18_RS03075, GOM18_RS03225
OG0000025	DR085_RS02460	GOM18_RS04505
OG0000026	DR085_RS01755	GOM18_RS02790, GOM18_RS03010
OG0000027	DR085_RS03845	GOM18_RS04320
OG0000029	DR085_RS00425	GOM18_RS01705, GOM18_RS03580
OG0000030	DR085_RS03850	GOM18_RS04340, GOM18_RS04325
OG0000031	DR085_RS02695	GOM18_RS00085, GOM18_RS03625
OG0000032	DR085_RS03940	GOM18_RS04565
OG0000039	DR085_RS00495, DR085_RS00485	GOM18_RS03565
OG0000040	DR085_RS03110, DR085_RS00715, DR085_RS00720	GOM18_RS00810
OG0000042	DR085_RS00480, DR085_RS00645	GOM18_RS01120
OG0000043	DR085_RS02670	GOM18_RS03285
OG0000045	DR085_RS00505	GOM18_RS03555
OG0000048	DR085_RS02880, DR085_RS03055	GOM18_RS02325
OG0000049	DR085_RS01410	GOM18_RS01035
OG0000050	DR085_RS02735	GOM18_RS01900
OG0000051	DR085_RS01290	GOM18_RS02100
OG0000052	DR085_RS03420	GOM18_RS00655
OG0000053	DR085_RS03740	GOM18_RS04480
OG0000054	DR085_RS00960	GOM18_RS01925
OG0000056	DR085_RS02435	GOM18_RS00495
OG0000057	DR085_RS00520	GOM18_RS01135
OG0000062	DR085_RS02230	GOM18_RS00545
OG0000063	DR085_RS02225	GOM18_RS04295
OG0000064	DR085_RS02215	GOM18_RS00530
OG0000065	DR085_RS01895	GOM18_RS02395
OG0000066	DR085_RS01765	GOM18_RS02800
OG0000068	DR085_RS00460	GOM18_RS03445
OG0000069	DR085_RS00630	GOM18_RS01240, GOM18_RS03140
OG0000070	DR085_RS00940	GOM18_RS01930
OG0000071	DR085_RS01590	GOM18_RS00820
OG0000072	DR085_RS03730	GOM18_RS04355
OG0000073	DR085_RS02070	GOM18_RS00135
OG0000074	DR085_RS03690	GOM18_RS04260
OG0000076	DR085_RS00190	GOM18_RS01465
OG0000077	DR085_RS00275	GOM18_RS01550
OG0000079	DR085_RS00860	GOM18_RS02005
OG0000080	DR085_RS03275	GOM18_RS03980
OG0000081	DR085_RS00170	GOM18_RS01445
OG0000082	DR085_RS00920	GOM18_RS02535
OG0000083	DR085_RS03000	GOM18_RS02245
OG0000084	DR085_RS02830	GOM18_RS02275
OG0000085	DR085_RS02835	GOM18_RS02280
OG0000086	DR085_RS03880	GOM18_RS02290
OG0000087	DR085_RS02860	GOM18_RS02305
OG0000088	DR085_RS02865	GOM18_RS02310
OG0000089	DR085_RS02875	GOM18_RS02320
OG0000090	DR085_RS02335	GOM18_RS00650
OG0000091	DR085_RS02320	GOM18_RS00635
OG0000092	DR085_RS02305	GOM18_RS00620
OG0000093	DR085_RS02300	GOM18_RS00615
OG0000094	DR085_RS02295	GOM18_RS00610
OG0000095	DR085_RS02270	GOM18_RS00585
OG0000096	DR085_RS02265	GOM18_RS00580
OG0000097	DR085_RS02245	GOM18_RS00560
OG0000098	DR085_RS02235	GOM18_RS00550
OG0000099	DR085_RS02430	GOM18_RS04285
OG0000100	DR085_RS02440	GOM18_RS00485
OG0000101	DR085_RS02445	GOM18_RS00480
OG0000102	DR085_RS02455	GOM18_RS02995
OG0000103	DR085_RS01930	GOM18_RS02360
OG0000104	DR085_RS01925	GOM18_RS02365
OG0000105	DR085_RS01910	GOM18_RS02380
OG0000106	DR085_RS01900	GOM18_RS02390
OG0000107	DR085_RS01890	GOM18_RS02400
OG0000108	DR085_RS01885	GOM18_RS02405
OG0000109	DR085_RS01880	GOM18_RS02410
OG0000110	DR085_RS01875	GOM18_RS02525
OG0000111	DR085_RS01870	GOM18_RS02520
OG0000112	DR085_RS01860	GOM18_RS02510
OG0000113	DR085_RS03750	GOM18_RS02490
OG0000114	DR085_RS01835	GOM18_RS02480
OG0000115	DR085_RS01825	GOM18_RS02470
OG0000116	DR085_RS01815	GOM18_RS02855
OG0000117	DR085_RS01810	GOM18_RS02850
OG0000118	DR085_RS01780	GOM18_RS02815
OG0000119	DR085_RS01775	GOM18_RS02810
OG0000120	DR085_RS01760	GOM18_RS02795
OG0000121	DR085_RS01735	GOM18_RS02775
OG0000122	DR085_RS01730	GOM18_RS02770
OG0000123	DR085_RS01710	GOM18_RS02750
OG0000124	DR085_RS01705	GOM18_RS02745
OG0000125	DR085_RS01700	GOM18_RS02740
OG0000126	DR085_RS01690	GOM18_RS02730
OG0000127	DR085_RS01680	GOM18_RS02720
OG0000128	DR085_RS01665	GOM18_RS02705
OG0000129	DR085_RS01660	GOM18_RS02700
OG0000130	DR085_RS01650	GOM18_RS02690
OG0000131	DR085_RS01620	GOM18_RS04475
OG0000132	DR085_RS03735	GOM18_RS04470
OG0000133	DR085_RS00350	GOM18_RS01635
OG0000134	DR085_RS03640	GOM18_RS01640
OG0000135	DR085_RS00370	GOM18_RS01655
OG0000136	DR085_RS00375	GOM18_RS01660
OG0000137	DR085_RS00405	GOM18_RS01690
OG0000138	DR085_RS00435	GOM18_RS03470
OG0000139	DR085_RS00465	GOM18_RS03440
OG0000140	DR085_RS00470	GOM18_RS03435
OG0000141	DR085_RS00510	GOM18_RS01125
OG0000142	DR085_RS03655	GOM18_RS04380
OG0000143	DR085_RS00540	GOM18_RS01150
