Orthogroup	MHP_LH_proteins	MHP_116_proteins
OG0000000	WP_233688770.1	WP_348602510.1
OG0000000	WP_233688767.1	WP_348602860.1
OG0000000	WP_233688768.1, WP_233688766.1	WP_348602504.1
OG0000000	WP_094521686.1	WP_348602503.1
OG0000000	WP_318035154.1	WP_348602862.1
OG0000000	WP_233688440.1	WP_348602524.1
OG0000000	WP_233688739.1, WP_233688764.1	WP_348602817.1
OG0000001	WP_179696094.1	WP_348602774.1
OG0000001	WP_233688699.1	WP_348572046.1
OG0000001	WP_233688495.1	WP_348602576.1
OG0000002	WP_233688429.1	WP_237697200.1
OG0000002	WP_233688422.1	WP_348602505.1
OG0000002	WP_233688740.1	WP_348602818.1
OG0000003	WP_233688750.1	WP_094521666.1
OG0000004	WP_233688542.1	WP_044284712.1
OG0000004	WP_233688544.1	WP_348602621.1
OG0000004	WP_233688522.1	WP_348602864.1
OG0000005	WP_233688595.1	WP_348602674.1
OG0000005	WP_233688596.1	WP_348602675.1
OG0000005	WP_233688597.1, WP_233688600.1	WP_348602676.1
OG0000006	WP_233688469.1	WP_348602543.1
OG0000007	WP_233688426.1	WP_348602508.1
OG0000008	WP_233688439.1	WP_348602523.1
OG0000008	WP_233688729.1	WP_348602804.1
OG0000008	WP_233688470.1	WP_348602544.1
OG0000009	WP_094521537.1	WP_348602671.1
OG0000009	WP_233688691.1	WP_348602762.1
OG0000009	WP_179221024.1	WP_348602747.1
OG0000010	WP_179221114.1	WP_348602833.1
OG0000010	WP_233688594.1	WP_348602673.1
OG0000011	WP_233688757.1	WP_348602848.1
OG0000011	WP_233688756.1	WP_348602847.1
OG0000013	WP_233688454.1	WP_348602536.1
OG0000013	WP_233688607.1	WP_348602684.1
OG0000014	WP_233688670.1	WP_348602754.1
OG0000014	WP_233688640.1	WP_348602753.1
OG0000016	WP_011206378.1	WP_348602584.1
OG0000016	WP_233688605.1	WP_348602682.1
OG0000017	WP_233688603.1	WP_020835500.1
OG0000017	WP_233688501.1	WP_020835837.1
OG0000018	WP_233688705.1, WP_179695831.1	WP_348602781.1
OG0000019	WP_233688517.1	WP_348602604.1
OG0000019	WP_233688523.1, WP_233688519.1	WP_348602605.1
OG0000020	WP_233688577.1	WP_348602656.1
OG0000020	WP_233688578.1	WP_348602657.1
OG0000021	WP_014579781.1	WP_348602819.1
OG0000022	WP_233688731.1	WP_348602807.1
OG0000022	WP_233688738.1	WP_348602816.1
OG0000023	WP_233688704.1	WP_348602780.1
OG0000024	WP_179696078.1	WP_348602575.1
OG0000024	WP_233688698.1	WP_348602773.1
OG0000025	WP_233688732.1	WP_348602808.1
OG0000025	WP_233688737.1	WP_348602815.1
OG0000026	WP_044284614.1	WP_348602786.1
