Orthogroup	MHP_LH_proteins	MHP_168L_proteins
OG0000000	WP_233688770.1	WP_318023914.1
OG0000000	WP_094521686.1	WP_044889037.1
OG0000000	WP_318035154.1	WP_318023915.1
OG0000000	WP_233688440.1	WP_044889040.1
OG0000001	WP_179696094.1	WP_014579709.1
OG0000001	WP_233688699.1	WP_228365417.1
OG0000001	WP_228365393.1	WP_228365393.1
OG0000001	WP_233688495.1	WP_014579925.1
OG0000002	WP_233688429.1	WP_228365382.1
OG0000002	WP_233688740.1	WP_014579753.1
OG0000003	WP_233688628.1	WP_014579584.1
OG0000003	WP_233688750.1	WP_052293597.1
OG0000004	WP_233688542.1	WP_014579982.1
OG0000004	WP_233688544.1	WP_014579984.1
OG0000005	WP_233688595.1	WP_014579527.1
OG0000005	WP_233688596.1	WP_014579529.1
OG0000005	WP_233688597.1, WP_233688600.1	WP_044889029.1
OG0000006	WP_233688469.1	WP_014579886.1, WP_044278023.1
OG0000006	WP_233688441.1	WP_233417348.1
OG0000006	WP_233688445.1	WP_081632350.1
OG0000008	WP_233688439.1	WP_016340224.1
OG0000008	WP_233688729.1	WP_014579768.1
OG0000008	WP_233688470.1	WP_233417351.1
OG0000009	WP_179221024.1	WP_233417359.1
OG0000010	WP_179221114.1	WP_014579794.1
OG0000010	WP_233688594.1	WP_228365400.1
OG0000011	WP_233688757.1	WP_081632348.1, WP_233417363.1
OG0000011	WP_233688756.1	WP_014579809.1
OG0000012	WP_233688671.1	WP_081632345.1, WP_081450698.1, WP_081450695.1
OG0000013	WP_233688454.1	WP_233417349.1
OG0000013	WP_233688607.1	WP_233417357.1
OG0000014	WP_233688670.1	WP_014579661.1
OG0000014	WP_233688640.1, WP_233688641.1	WP_014579660.1
OG0000015	WP_014579770.1	WP_014579770.1
OG0000015	WP_233688686.1	WP_014580032.1
OG0000016	WP_011206378.1	WP_014579937.1
OG0000016	WP_233688605.1	WP_044889030.1
OG0000017	WP_233688603.1	WP_228365403.1
OG0000017	WP_233688501.1	WP_014579938.1
OG0000018	WP_179695831.1	WP_052293599.1
OG0000020	WP_233688577.1	WP_014580041.1
OG0000020	WP_233688578.1	WP_187286313.1
OG0000021	WP_014579781.1	WP_014579781.1
OG0000022	WP_233688731.1	WP_044277993.1
OG0000022	WP_233688738.1	WP_014579755.1
OG0000023	WP_233688683.1	WP_014580035.1
OG0000024	WP_179696078.1	WP_014579922.1
OG0000024	WP_233688698.1	WP_044277983.1, WP_014579707.1
OG0000025	WP_233688732.1	WP_011284074.1
OG0000025	WP_233688737.1	WP_014579756.1
OG0000026	WP_044284614.1	WP_044284614.1
OG0000026	WP_233688735.1	WP_014579760.1
OG0000027	WP_011206475.1	WP_011206475.1
OG0000027	WP_233688557.1	WP_014580004.1
OG0000028	WP_233688461.1	WP_044889042.1, WP_044889041.1
OG0000029	WP_233688669.1	WP_016340189.1
OG0000029	WP_233688642.1	WP_014579659.1
OG0000030	WP_232039555.1	WP_228365396.1
OG0000030	WP_020835904.1	WP_014580003.1
OG0000031	WP_179695837.1	WP_011206356.1
OG0000031	WP_233688725.1	WP_011284063.1
OG0000033	WP_233688456.1	WP_016340229.1
