Orthogroup	MHP_LH_proteins	MHP_MHP696_proteins
OG0000000	WP_233688770.1	WP_220200970.1
OG0000000	WP_233688767.1	WP_308507072.1
OG0000000	WP_233688768.1	WP_308507069.1
OG0000000	WP_233688739.1, WP_233688764.1	WP_160617502.1
OG0000001	WP_228365393.1	WP_258555241.1
OG0000001	WP_233688495.1	WP_258555237.1
OG0000002	WP_233688429.1	WP_258555377.1
OG0000002	WP_160588366.1	WP_160615875.1
OG0000002	WP_233688422.1	WP_160588356.1
OG0000002	WP_233688740.1	WP_160588193.1
OG0000003	WP_233688742.1	WP_135618795.1
OG0000003	WP_233688427.1	WP_308507067.1
OG0000003	WP_233688750.1	WP_052293597.1
OG0000004	WP_233688544.1	WP_020835887.1
OG0000005	WP_233688595.1	WP_160588124.1
OG0000005	WP_233688599.1	WP_160588336.1
OG0000005	WP_233688596.1	WP_160588374.1
OG0000005	WP_233688597.1	WP_160588334.1
OG0000005	WP_233688600.1	WP_160588338.1
OG0000006	WP_233688469.1	WP_225972988.1
OG0000006	WP_233688445.1	WP_258555362.1
OG0000007	WP_233688426.1	WP_160588331.1
OG0000008	WP_233688729.1	WP_258555379.1
OG0000008	WP_233688470.1	WP_308507071.1
OG0000009	WP_094521537.1	WP_146379448.1
OG0000009	WP_179221024.1	WP_011290021.1
OG0000010	WP_179221114.1	WP_160587884.1
OG0000010	WP_233688594.1	WP_160588372.1, WP_160588382.1
OG0000011	WP_233688757.1	WP_160587900.1
OG0000011	WP_233688756.1	WP_160587898.1
OG0000013	WP_233688454.1	WP_258555342.1
OG0000013	WP_233688607.1	WP_308507056.1
OG0000014	WP_233688670.1	WP_160587971.1
OG0000014	WP_233688640.1	WP_160587966.1
OG0000015	WP_014579770.1, WP_233688686.1, WP_135618763.1	WP_225973030.1
OG0000016	WP_011206378.1	WP_160587852.1
OG0000016	WP_233688605.1	WP_160588042.1
OG0000017	WP_233688603.1	WP_020835500.1
OG0000017	WP_233688501.1	WP_020835837.1
OG0000018	WP_233688705.1, WP_179695831.1	WP_160588235.1
OG0000019	WP_233688517.1	WP_160617521.1
OG0000020	WP_233688577.1	WP_160588169.1
OG0000020	WP_233688578.1	WP_220191087.1
OG0000021	WP_014579781.1	WP_044284635.1
