Orthogroup	MHP_LH_proteins	MHP_7422_proteins
OG0000000	WP_233688768.1, WP_233688766.1	WP_269076337.1
OG0000000	WP_233688428.1	WP_041361655.1
OG0000000	WP_318035154.1	WP_148174330.1
OG0000000	WP_233688440.1	WP_020835762.1
OG0000001	WP_179696094.1	WP_020835629.1
OG0000001	WP_228365393.1	WP_228365393.1
OG0000001	WP_233688495.1	WP_020835822.1
OG0000002	WP_233688429.1	WP_020835748.1
OG0000002	WP_233688422.1	WP_020835737.1
OG0000002	WP_233688740.1	WP_020835682.1
OG0000003	WP_233688742.1	WP_041361639.1
OG0000003	WP_233688427.1	WP_041361653.1
OG0000003	WP_233688750.1	WP_051129928.1
OG0000004	WP_233688542.1	WP_020835883.1
OG0000004	WP_233688544.1	WP_020835887.1
OG0000005	WP_233688595.1	WP_011289941.1
OG0000005	WP_233688599.1	WP_011289945.1
OG0000005	WP_233688596.1	WP_020835493.1
OG0000005	WP_233688597.1	WP_011289943.1
OG0000005	WP_233688600.1	WP_011289946.1
OG0000006	WP_233688469.1	WP_051129932.1
OG0000006	WP_233688441.1, WP_233688445.1	WP_041361785.1
OG0000007	WP_233688426.1	WP_002557992.1
OG0000008	WP_233688439.1	WP_020835760.1
OG0000008	WP_233688729.1	WP_041361617.1
OG0000008	WP_233688470.1	WP_228366102.1
OG0000009	WP_094521537.1	WP_041361519.1
OG0000009	WP_179221024.1	WP_011290021.1
OG0000010	WP_179221114.1	WP_020835701.1
OG0000010	WP_233688594.1	WP_228366119.1
OG0000011	WP_233688757.1	WP_020835714.1, WP_020835715.1
OG0000011	WP_233688756.1	WP_020835713.1
OG0000013	WP_233688454.1	WP_020835777.1
OG0000013	WP_233688607.1	WP_020835504.1
OG0000014	WP_233688670.1	WP_020835603.1
OG0000014	WP_233688640.1	WP_020835563.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000016	WP_011206378.1	WP_020835836.1
OG0000016	WP_233688605.1	WP_020835503.1
OG0000017	WP_233688603.1	WP_020835500.1
OG0000017	WP_233688501.1	WP_020835837.1
OG0000020	WP_233688577.1	WP_020835927.1
OG0000020	WP_233688578.1	WP_020835928.1
OG0000022	WP_233688731.1	WP_011290146.1
OG0000022	WP_233688738.1	WP_020835680.1
OG0000024	WP_179696078.1	WP_011290315.1
OG0000024	WP_233688698.1	WP_011290098.1
OG0000025	WP_233688732.1	WP_041361620.1
OG0000025	WP_233688737.1	WP_020835679.1
OG0000026	WP_044284614.1	WP_020835640.1
OG0000027	WP_011206475.1	WP_020835902.1
OG0000027	WP_233688557.1	WP_020835905.1
OG0000029	WP_233688669.1	WP_020835602.1
OG0000029	WP_233688642.1	WP_020835564.1
OG0000030	WP_232039555.1	WP_236607958.1
OG0000030	WP_020835904.1	WP_020835904.1
OG0000032	WP_233688723.1	WP_020835660.1
OG0000033	WP_233688459.1	WP_020835778.1
OG0000034	WP_233688423.1	WP_236607948.1
OG0000035	WP_233688543.1	WP_020835886.1
OG0000035	WP_233688540.1	WP_020835882.1
OG0000036	WP_233688598.1	WP_020835495.1
OG0000036	WP_233688601.1	WP_020835498.1
OG0000039	WP_011290139.1	WP_041361612.1
OG0000042	WP_233688512.1	WP_041361801.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579804.1	WP_011290239.1
OG0000045	WP_020835667.1	WP_020835667.1
OG0000046	WP_233688551.1	WP_236607957.1
OG0000048	WP_146379588.1	WP_020835735.1
OG0000049	WP_233688524.1	WP_020835860.1
OG0000050	WP_233688465.1	WP_020835784.1
OG0000052	WP_011283836.1	WP_011289937.1
OG0000053	WP_233688713.1	WP_020835649.1
OG0000054	WP_044272538.1	WP_020835786.1
OG0000055	WP_135618462.1	WP_011205867.1
OG0000056	WP_233688574.1, WP_233688573.1	WP_020835923.1
OG0000057	WP_233688511.1	WP_020835847.1
OG0000058	WP_179695838.1	WP_011290242.1
OG0000061	WP_135618818.1	WP_020835703.1
OG0000062	WP_094521530.1	WP_011206522.1
OG0000063	WP_233688580.1	WP_041361715.1
OG0000064	WP_233688579.1	WP_020835930.1
OG0000065	WP_011290219.1	WP_020835752.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_233688634.1	WP_020835540.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_233688548.1	WP_020835893.1
OG0000072	WP_233688549.1	WP_236607956.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_233688661.1	WP_020835587.1, WP_236607966.1
OG0000075	WP_014579568.1	WP_020835523.1
OG0000076	WP_011289987.1	WP_011289987.1
OG0000077	WP_233688625.1	WP_011289996.1
OG0000078	WP_233688734.1	WP_020835673.1
OG0000079	WP_233688475.1	WP_020835797.1
OG0000080	WP_233688480.1	WP_011206314.1
OG0000081	WP_233688621.1	WP_011289985.1
OG0000082	WP_233688453.1	WP_236607951.1
OG0000083	WP_011206216.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_233688415.1	WP_020835729.1
OG0000086	WP_233688416.1	WP_011290207.1
OG0000087	WP_011206228.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011290212.1
OG0000090	WP_233688592.1	WP_020835488.1
OG0000091	WP_233688590.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_020835485.1
OG0000093	WP_020835484.1	WP_020835484.1
OG0000094	WP_233688588.1	WP_020835483.1
OG0000095	WP_044272251.1	WP_020835480.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_233688583.1	WP_041361816.1
OG0000099	WP_233688575.1	WP_020835924.1
OG0000100	WP_233688571.1	WP_020835921.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_233688736.1	WP_020835678.1
OG0000103	WP_233688430.1	WP_011290214.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_011290216.1
OG0000106	WP_135618884.1	WP_011290218.1
OG0000107	WP_011284169.1	WP_020835753.1
OG0000108	WP_011206247.1	WP_011206247.1
OG0000109	WP_233688434.1	WP_020835754.1
OG0000110	WP_233688451.1	WP_020835772.1
OG0000111	WP_233688450.1	WP_020835771.1
OG0000112	WP_233688448.1	WP_020835769.1
OG0000113	WP_233688444.1	WP_020835765.1
OG0000114	WP_233688443.1	WP_236607949.1
OG0000115	WP_011206264.1	WP_011284183.1
OG0000116	WP_233688702.1	WP_011290103.1
OG0000117	WP_233688703.1	WP_020835633.1
OG0000118	WP_233688707.1	WP_011290108.1
OG0000119	WP_179696055.1	WP_020835638.1
OG0000120	WP_160600844.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_011205958.1	WP_020835643.1
OG0000123	WP_233688711.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_011290120.1
OG0000127	WP_011284040.1	WP_011290122.1
OG0000128	WP_233688714.1	WP_020835650.1
OG0000129	WP_014579732.1	WP_020835651.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_233688716.1	WP_011284047.1
OG0000132	WP_233688719.1	WP_011205939.1
OG0000133	WP_014579589.1	WP_014579589.1
OG0000134	WP_233688635.1	WP_020835541.1
OG0000135	WP_011206120.1	WP_011206120.1
OG0000136	WP_233688636.1	WP_020835542.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_011206106.1	WP_020835566.1
OG0000139	WP_179221023.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_011206101.1
OG0000141	WP_011284290.1	WP_011284290.1
OG0000142	WP_011284289.1	WP_020835848.1
OG0000143	WP_233688509.1	WP_011206391.1
OG0000144	WP_233688507.1	WP_020835844.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_233688504.1	WP_011206384.1
OG0000148	WP_233688502.1	WP_041361684.1
OG0000149	WP_011206379.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_011206376.1
OG0000151	WP_179696082.1	WP_020835828.1
OG0000152	WP_160606405.1	WP_228366106.1
OG0000153	WP_233688497.1	WP_011206347.1
OG0000154	WP_011206345.1	WP_041361682.1
OG0000155	WP_233688493.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_020835818.1
OG0000158	WP_275092455.1	WP_020835816.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_233688466.1	WP_020835785.1
OG0000161	WP_011206287.1	WP_014579880.1
