#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_021283.1:86730-88526|+   -            599 501at2085            -            526  7.6e-249  822.1   8.9   1   1  1.1e-250  1.5e-248  821.0   8.9     1   526     1   594     1   594 0.93 NC_021283.1_72 # 86730 # 88526 # 1 # ID=1_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NC_021283.1:89863-91947|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   1   4   1.8e-36   2.5e-34  114.2   0.1     4   153     8   162     5   186 0.86 NC_021283.1_74 # 89863 # 91947 # -1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NC_021283.1:89863-91947|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   2   4      0.53        75   -2.9   0.0   155   173   263   281   256   293 0.80 NC_021283.1_74 # 89863 # 91947 # -1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NC_021283.1:89863-91947|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   3   4     6e-12   8.5e-10   33.2   0.1   170   339   301   485   289   498 0.69 NC_021283.1_74 # 89863 # 91947 # -1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NC_021283.1:89863-91947|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   4   4    0.0026      0.37    4.7   0.0   350   411   607   675   595   691 0.78 NC_021283.1_74 # 89863 # 91947 # -1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NC_021283.1:760693-762492|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   1   3   1.7e-21   2.5e-19   64.7   2.9    10   196   117   308   115   321 0.77 NC_021283.1_601 # 760693 # 762492 # -1 # ID=1_601;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NC_021283.1:760693-762492|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   2   3      0.55        77   -2.9   0.6   135   181   388   434   377   456 0.72 NC_021283.1_601 # 760693 # 762492 # -1 # ID=1_601;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NC_021283.1:760693-762492|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   3   3      0.34        48   -2.2   0.0   382   408   480   506   459   516 0.80 NC_021283.1_601 # 760693 # 762492 # -1 # ID=1_601;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NC_021283.1:693951-695159|- -            403 501at2085            -            526     2e-18   61.7   2.9   1   2   3.7e-20   5.2e-18   60.3   0.2     8   140    20   155    14   168 0.88 NC_021283.1_547 # 693951 # 695159 # -1 # ID=1_547;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NC_021283.1:693951-695159|- -            403 501at2085            -            526     2e-18   61.7   2.9   2   2     0.023       3.3    1.6   0.2   161   256   205   309   194   325 0.67 NC_021283.1_547 # 693951 # 695159 # -1 # ID=1_547;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NC_021283.1:84871-86172|+   -            434 501at2085            -            526   1.9e-13   45.3   0.6   1   2   4.8e-06   0.00068   13.8   0.1    62   180    45   170    35   173 0.76 NC_021283.1_69 # 84871 # 86172 # 1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NC_021283.1:84871-86172|+   -            434 501at2085            -            526   1.9e-13   45.3   0.6   2   2   6.5e-11   9.2e-09   29.8   0.1    78   168   238   340   214   363 0.81 NC_021283.1_69 # 84871 # 86172 # 1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/168L/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/168L/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
