Orthogroup	MHP_ES2_genes	MFC_Ms42_genes
OG0000000	E5E95_RS02310	MYF_RS01330
OG0000000	E5E95_RS04075	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435
OG0000000	E5E95_RS01830	MYF_RS03330, MYF_RS03295
OG0000001	E5E95_RS01300, E5E95_RS01295, E5E95_RS03000, E5E95_RS04155, E5E95_RS04150	MYF_RS03415
OG0000002	E5E95_RS02320, E5E95_RS02315	MYF_RS01530
OG0000002	E5E95_RS02250	MYF_RS01475
OG0000002	E5E95_RS01840	MYF_RS03010
OG0000003	E5E95_RS04070	MYF_RS01515
OG0000004	E5E95_RS03215	MYF_RS02520
OG0000004	E5E95_RS03235	MYF_RS02535, MYF_RS02545
OG0000007	E5E95_RS02300	MYF_RS01510
OG0000007	E5E95_RS02295	MYF_RS01505
OG0000007	E5E95_RS02290	MYF_RS01500
OG0000008	E5E95_RS03905	MYF_RS01875
OG0000011	E5E95_RS02065, E5E95_RS02070	MYF_RS03310
OG0000011	E5E95_RS02060	MYF_RS01270
OG0000013	E5E95_RS02610	MYF_RS03170, MYF_RS01100
OG0000013	E5E95_RS03955	MYF_RS03400
OG0000014	E5E95_RS00595, E5E95_RS01105, E5E95_RS00605	MYF_RS00550
OG0000016	E5E95_RS03040	MYF_RS00730
OG0000017	E5E95_RS00145	MYF_RS03155
OG0000017	E5E95_RS03050	MYF_RS00720
OG0000018	E5E95_RS02480	MYF_RS01675
OG0000019	E5E95_RS04180	MYF_RS03440
OG0000020	E5E95_RS03770	MYF_RS03080
OG0000022	E5E95_RS01825	MYF_RS03025
OG0000023	E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105	MYF_RS01880
OG0000024	E5E95_RS02945, E5E95_RS01290	MYF_RS00790
OG0000025	E5E95_RS01820	MYF_RS03030
OG0000026	E5E95_RS01380, E5E95_RS01800	MYF_RS01715
OG0000027	E5E95_RS03575	MYF_RS02825
OG0000028	E5E95_RS02625	MYF_RS01125, MYF_RS01120
OG0000029	E5E95_RS01100, E5E95_RS00610	MYF_RS00555
OG0000030	E5E95_RS03550, E5E95_RS03570	MYF_RS02820
OG0000031	E5E95_RS01625	MYF_RS01215
OG0000032	E5E95_RS03995	MYF_RS03490
OG0000032	E5E95_RS03565	MYF_RS02815
OG0000037	E5E95_RS04000	MYF_RS03495
OG0000039	E5E95_RS01650, E5E95_RS01645	MYF_RS03160, MYF_RS00615
OG0000040	E5E95_RS03495	MYF_RS02770, MYF_RS00840
OG0000042	E5E95_RS03140	MYF_RS00610, MYF_RS00765
OG0000043	E5E95_RS02030	MYF_RS01240
OG0000045	E5E95_RS01655	MYF_RS00630
OG0000048	E5E95_RS02215	MYF_RS01350
OG0000049	E5E95_RS03260	MYF_RS03265, MYF_RS03455
OG0000050	E5E95_RS02655	MYF_RS01180
OG0000051	E5E95_RS02855	MYF_RS02420
OG0000052	E5E95_RS00075	MYF_RS00075
OG0000053	E5E95_RS01465	MYF_RS01800
OG0000054	E5E95_RS02680	MYF_RS01155
OG0000055	E5E95_RS00125	MYF_RS03395, MYF_RS03525
OG0000056	E5E95_RS03750	MYF_RS03060
OG0000057	E5E95_RS03125	MYF_RS00645
OG0000062	E5E95_RS03805	MYF_RS03115
OG0000063	E5E95_RS03800	MYF_RS03110
OG0000064	E5E95_RS03790	MYF_RS03100
OG0000065	E5E95_RS02365	MYF_RS01575
OG0000066	E5E95_RS01370	MYF_RS01705
OG0000068	E5E95_RS00645	MYF_RS00590
OG0000069	E5E95_RS03015	MYF_RS00755
OG0000070	E5E95_RS02685	MYF_RS01135
OG0000071	E5E95_RS03485	MYF_RS02760
OG0000072	E5E95_RS03490	MYF_RS02765
OG0000073	E5E95_RS00705	MYF_RS02005
OG0000074	E5E95_RS00900	MYF_RS02195
OG0000076	E5E95_RS00355	MYF_RS00320
OG0000077	E5E95_RS00445	MYF_RS00410
OG0000078	E5E95_RS01790	MYF_RS00880
OG0000079	E5E95_RS02760	MYF_RS01050
