Orthogroup	MHP_ES2_genes	MHP_Ue273_genes
OG0000000	E5E95_RS02310	VQY17_RS02200
OG0000000	E5E95_RS02230	VQY17_RS02325
OG0000000	E5E95_RS01830	VQY17_RS01770
OG0000000	E5E95_RS04235, E5E95_RS01835	VQY17_RS01775
OG0000001	E5E95_RS01300	VQY17_RS01300
OG0000001	E5E95_RS03000	VQY17_RS02775
OG0000001	E5E95_RS04150	VQY17_RS02730
OG0000002	E5E95_RS02320	VQY17_RS02210
OG0000002	E5E95_RS01840	VQY17_RS01780
OG0000003	E5E95_RS00505	VQY17_RS00505
OG0000003	E5E95_RS01915	VQY17_RS01865
OG0000003	E5E95_RS00930	VQY17_RS00940
OG0000003	E5E95_RS03910	VQY17_RS01910
OG0000004	E5E95_RS03410	VQY17_RS03185
OG0000004	E5E95_RS03400	VQY17_RS03175
OG0000004	E5E95_RS03415	VQY17_RS03190
OG0000004	E5E95_RS03215	VQY17_RS03025, VQY17_RS03005
OG0000005	E5E95_RS00090	VQY17_RS00100
OG0000005	E5E95_RS00110	VQY17_RS00120
OG0000005	E5E95_RS00095	VQY17_RS00105
OG0000005	E5E95_RS00100	VQY17_RS00110
OG0000005	E5E95_RS00115	VQY17_RS00125
OG0000006	E5E95_RS02705	VQY17_RS02495
OG0000007	E5E95_RS00935	VQY17_RS00945
OG0000007	E5E95_RS00950	VQY17_RS00960
OG0000008	E5E95_RS03925, E5E95_RS04080	VQY17_RS02320
OG0000008	E5E95_RS03930, E5E95_RS04135	VQY17_RS02500
OG0000009	E5E95_RS00665	VQY17_RS00665
OG0000009	E5E95_RS00680	VQY17_RS00680
OG0000010	E5E95_RS01970	VQY17_RS01920
OG0000010	E5E95_RS01575	VQY17_RS01580
OG0000011	E5E95_RS02070	VQY17_RS02025
OG0000011	E5E95_RS02060	VQY17_RS02020
OG0000013	E5E95_RS02610	VQY17_RS02405
OG0000013	E5E95_RS03955	VQY17_RS00185
OG0000014	E5E95_RS01105	VQY17_RS01120
OG0000014	E5E95_RS00605	VQY17_RS00605
OG0000015	E5E95_RS04195	VQY17_RS01665
OG0000016	E5E95_RS03040	VQY17_RS02820
OG0000016	E5E95_RS00160	VQY17_RS00170
OG0000017	E5E95_RS00145	VQY17_RS00155
OG0000017	E5E95_RS03050	VQY17_RS02830
OG0000019	E5E95_RS04175	VQY17_RS03030
OG0000019	E5E95_RS04180	VQY17_RS02990
OG0000020	E5E95_RS03770	VQY17_RS03550
OG0000022	E5E95_RS01770	VQY17_RS01695
OG0000022	E5E95_RS01825	VQY17_RS01765
OG0000024	E5E95_RS02945	VQY17_RS02725
OG0000024	E5E95_RS01290	VQY17_RS01295
OG0000025	E5E95_RS01775	VQY17_RS01700
OG0000025	E5E95_RS01820	VQY17_RS01755
OG0000026	E5E95_RS01380	VQY17_RS01380
OG0000026	E5E95_RS01800	VQY17_RS01735
OG0000027	E5E95_RS03560	VQY17_RS03330
OG0000027	E5E95_RS03575	VQY17_RS03350
OG0000028	E5E95_RS02620	VQY17_RS02415
OG0000029	E5E95_RS01100	VQY17_RS01115
OG0000029	E5E95_RS00610	VQY17_RS00610
OG0000030	E5E95_RS03570	VQY17_RS03345
OG0000031	E5E95_RS01625	VQY17_RS01635
OG0000032	E5E95_RS03995	VQY17_RS01610
OG0000032	E5E95_RS03565	VQY17_RS03340
OG0000035	E5E95_RS03405	VQY17_RS03200
OG0000035	E5E95_RS03395	VQY17_RS03170
OG0000036	E5E95_RS00120	VQY17_RS00130
OG0000038	E5E95_RS01910	VQY17_RS01860
OG0000038	E5E95_RS01865	VQY17_RS01810
OG0000039	E5E95_RS01650	VQY17_RS01650
OG0000039	E5E95_RS01645	VQY17_RS01645
OG0000040	E5E95_RS03495	VQY17_RS03270
OG0000041	E5E95_RS00670	VQY17_RS00670
OG0000042	E5E95_RS03140	VQY17_RS02925, VQY17_RS02920
OG0000043	E5E95_RS02030	VQY17_RS01990
OG0000044	E5E95_RS04290	VQY17_RS01710
OG0000045	E5E95_RS01655	VQY17_RS01655
OG0000046	E5E95_RS03505	VQY17_RS03280
OG0000047	E5E95_RS04090	VQY17_RS01605
OG0000048	E5E95_RS02215	VQY17_RS02180
OG0000049	E5E95_RS03260	VQY17_RS03040
OG0000050	E5E95_RS02655	VQY17_RS02445
OG0000051	E5E95_RS02855	VQY17_RS02645
OG0000052	E5E95_RS00075	VQY17_RS00075
OG0000053	E5E95_RS01465	VQY17_RS01470
OG0000054	E5E95_RS02680	VQY17_RS02470
OG0000055	E5E95_RS00125	VQY17_RS00135
OG0000056	E5E95_RS03750	VQY17_RS03535
OG0000057	E5E95_RS03125	VQY17_RS02900, VQY17_RS02905
OG0000060	E5E95_RS00080	VQY17_RS00080
OG0000061	E5E95_RS01980	VQY17_RS01930
OG0000062	E5E95_RS03805	VQY17_RS03585
OG0000063	E5E95_RS03800	VQY17_RS03580
OG0000064	E5E95_RS03790	VQY17_RS03570
OG0000065	E5E95_RS02365	VQY17_RS02255
OG0000066	E5E95_RS01370	VQY17_RS01370
OG0000067	E5E95_RS00525	VQY17_RS00525
OG0000068	E5E95_RS00645	VQY17_RS00645
