Orthogroup	MHP_ES2_genes	MHP_1257_genes
OG0000000	E5E95_RS02310	ABKJ22_RS02210
OG0000000	E5E95_RS02240	ABKJ22_RS02265, ABKJ22_RS02260
OG0000000	E5E95_RS04075, E5E95_RS02230, E5E95_RS02430, E5E95_RS04240	ABKJ22_RS02090
OG0000000	E5E95_RS01830, E5E95_RS04235, E5E95_RS01835	ABKJ22_RS01715
OG0000001	E5E95_RS01295	ABKJ22_RS01295
OG0000001	E5E95_RS04150	ABKJ22_RS02685
OG0000002	E5E95_RS02320	ABKJ22_RS02205
OG0000002	E5E95_RS02250	ABKJ22_RS02250
OG0000002	E5E95_RS01840	ABKJ22_RS01720
OG0000003	E5E95_RS01915	ABKJ22_RS01780
OG0000003	E5E95_RS00930	ABKJ22_RS00770
OG0000003	E5E95_RS04070	ABKJ22_RS02215
OG0000003	E5E95_RS03910	ABKJ22_RS01825
OG0000004	E5E95_RS03410, E5E95_RS03400, E5E95_RS03415, E5E95_RS03425, E5E95_RS03215, E5E95_RS03235	ABKJ22_RS02940
OG0000005	E5E95_RS00090	ABKJ22_RS00095
OG0000005	E5E95_RS00110	ABKJ22_RS00115
OG0000005	E5E95_RS00095	ABKJ22_RS00100
OG0000005	E5E95_RS00100	ABKJ22_RS00105
OG0000005	E5E95_RS00115	ABKJ22_RS00120
OG0000006	E5E95_RS02705	ABKJ22_RS02450
OG0000007	E5E95_RS00935	ABKJ22_RS00765
OG0000007	E5E95_RS02300	ABKJ22_RS02220
OG0000007	E5E95_RS02295	ABKJ22_RS02225
OG0000007	E5E95_RS02290	ABKJ22_RS02230
OG0000008	E5E95_RS03925, E5E95_RS04080	ABKJ22_RS02100
OG0000008	E5E95_RS03905	ABKJ22_RS01635
OG0000008	E5E95_RS04135	ABKJ22_RS02455
OG0000009	E5E95_RS00665	ABKJ22_RS01035
OG0000009	E5E95_RS01210	ABKJ22_RS01210
OG0000009	E5E95_RS00680	ABKJ22_RS01020
OG0000010	E5E95_RS01970	ABKJ22_RS01835
OG0000011	E5E95_RS02070	ABKJ22_RS01925
OG0000011	E5E95_RS02060	ABKJ22_RS01920
OG0000012	E5E95_RS02435, E5E95_RS03230	ABKJ22_RS00425
OG0000013	E5E95_RS02610	ABKJ22_RS02355
OG0000013	E5E95_RS03955	ABKJ22_RS00180
OG0000014	E5E95_RS00595	ABKJ22_RS00595
OG0000014	E5E95_RS01105	ABKJ22_RS01105
OG0000014	E5E95_RS00605	ABKJ22_RS01095
OG0000015	E5E95_RS01745	ABKJ22_RS01630
OG0000015	E5E95_RS02450	ABKJ22_RS01575
OG0000016	E5E95_RS03040	ABKJ22_RS02785
OG0000016	E5E95_RS00160	ABKJ22_RS00165
OG0000017	E5E95_RS00145	ABKJ22_RS00150
OG0000017	E5E95_RS03050	ABKJ22_RS02795
OG0000019	E5E95_RS04175	ABKJ22_RS02945
OG0000020	E5E95_RS03770	ABKJ22_RS03435
OG0000021	E5E95_RS03845	ABKJ22_RS01740
OG0000022	E5E95_RS01770	ABKJ22_RS01655
OG0000022	E5E95_RS01825	ABKJ22_RS01710
OG0000024	E5E95_RS02945	ABKJ22_RS02680
OG0000024	E5E95_RS01290	ABKJ22_RS01290
OG0000025	E5E95_RS01775	ABKJ22_RS01660
OG0000025	E5E95_RS01820	ABKJ22_RS01705
OG0000026	E5E95_RS01380	ABKJ22_RS01380
OG0000026	E5E95_RS01800	ABKJ22_RS01685
OG0000027	E5E95_RS03560	ABKJ22_RS03225
OG0000027	E5E95_RS03575	ABKJ22_RS03240
OG0000028	E5E95_RS02620	ABKJ22_RS02365
OG0000029	E5E95_RS01100	ABKJ22_RS00600
OG0000029	E5E95_RS00610	ABKJ22_RS01090
OG0000030	E5E95_RS03550	ABKJ22_RS03215
OG0000030	E5E95_RS03570	ABKJ22_RS03235
OG0000031	E5E95_RS01625	ABKJ22_RS01605
OG0000032	E5E95_RS03995	ABKJ22_RS01585
OG0000032	E5E95_RS03565	ABKJ22_RS03230
