Orthogroup	MHP_ES2_genes	MHP_232_genes
OG0000000	E5E95_RS02310	MHP_RS02080
OG0000000	E5E95_RS02230	MHP_RS04000
OG0000000	E5E95_RS02430	MHP_RS02190
OG0000000	E5E95_RS04240	MHP_RS03915
OG0000000	E5E95_RS01830	MHP_RS03825
OG0000000	E5E95_RS04235	MHP_RS01715
OG0000001	E5E95_RS03000	MHP_RS03580
OG0000001	E5E95_RS04150	MHP_RS02610
OG0000002	E5E95_RS02320	MHP_RS03905
OG0000002	E5E95_RS02315	MHP_RS03800
OG0000002	E5E95_RS01840	MHP_RS01720
OG0000003	E5E95_RS03910	MHP_RS01825
OG0000004	E5E95_RS03400	MHP_RS03125
OG0000004	E5E95_RS03425	MHP_RS03135
OG0000004	E5E95_RS03235	MHP_RS02960
OG0000005	E5E95_RS00090	MHP_RS00100
OG0000005	E5E95_RS00110	MHP_RS00120
OG0000005	E5E95_RS00095	MHP_RS00105
OG0000005	E5E95_RS00100	MHP_RS00110
OG0000005	E5E95_RS00115	MHP_RS00125
OG0000006	E5E95_RS02705	MHP_RS02365
OG0000006	E5E95_RS02445	MHP_RS03575
OG0000006	E5E95_RS04120, E5E95_RS04115	MHP_RS02230
OG0000008	E5E95_RS04080	MHP_RS03910
OG0000008	E5E95_RS03905	MHP_RS01640
OG0000008	E5E95_RS03930, E5E95_RS04135	MHP_RS03920
OG0000009	E5E95_RS00665	MHP_RS01325
OG0000009	E5E95_RS01210	MHP_RS03870
OG0000009	E5E95_RS00680	MHP_RS01315
OG0000010	E5E95_RS01970	MHP_RS01830
OG0000010	E5E95_RS03990	MHP_RS03845
OG0000010	E5E95_RS01575	MHP_RS00445
OG0000011	E5E95_RS02070	MHP_RS01915
OG0000011	E5E95_RS02060	MHP_RS01910
OG0000012	E5E95_RS02435, E5E95_RS03230	MHP_RS00400
OG0000013	E5E95_RS02610	MHP_RS02275
OG0000013	E5E95_RS03955	MHP_RS03840
OG0000014	E5E95_RS01105	MHP_RS00920
OG0000014	E5E95_RS00605	MHP_RS01385
OG0000015	E5E95_RS04195	MHP_RS03975
OG0000016	E5E95_RS03040	MHP_RS02785
OG0000016	E5E95_RS00160	MHP_RS00180
OG0000017	E5E95_RS00145	MHP_RS00165
OG0000017	E5E95_RS03050	MHP_RS02795
OG0000018	E5E95_RS02480	MHP_RS03945
OG0000020	E5E95_RS03770	MHP_RS03465
OG0000021	E5E95_RS00510	MHP_RS01475
OG0000022	E5E95_RS01770	MHP_RS01655
OG0000022	E5E95_RS01825	MHP_RS01705
OG0000024	E5E95_RS02945	MHP_RS02605
OG0000024	E5E95_RS01290	MHP_RS00730
OG0000025	E5E95_RS01775	MHP_RS01660
OG0000025	E5E95_RS01820	MHP_RS01700
OG0000026	E5E95_RS01380	MHP_RS00640
OG0000026	E5E95_RS01800	MHP_RS01680
OG0000027	E5E95_RS03560	MHP_RS03675
OG0000027	E5E95_RS03575	MHP_RS03280
OG0000028	E5E95_RS02625	MHP_RS02285
OG0000029	E5E95_RS01100	MHP_RS00925
OG0000029	E5E95_RS00610	MHP_RS01380
OG0000030	E5E95_RS03550	MHP_RS03260
OG0000030	E5E95_RS03570	MHP_RS03275
OG0000031	E5E95_RS01625	MHP_RS01600
OG0000032	E5E95_RS03565	MHP_RS03960
OG0000035	E5E95_RS03405	MHP_RS03130
OG0000035	E5E95_RS03395	MHP_RS03120
OG0000036	E5E95_RS00120	MHP_RS00130
OG0000037	E5E95_RS04000	MHP_RS03820
OG0000038	E5E95_RS00500	MHP_RS01490
OG0000038	E5E95_RS01865	MHP_RS01745
OG0000039	E5E95_RS01650	MHP_RS03880
OG0000039	E5E95_RS01645	MHP_RS01615
OG0000040	E5E95_RS03495	MHP_RS03205
