Orthogroup	MHP_ES2_genes	MHP_LH_genes
OG0000000	E5E95_RS02310	KUD10_RS02260
OG0000000	E5E95_RS02235	KUD10_RS02185
OG0000000	E5E95_RS02240	KUD10_RS02195
OG0000000	E5E95_RS04040	KUD10_RS02175, KUD10_RS02190, KUD10_RS02200
OG0000000	E5E95_RS04075	KUD10_RS02255
OG0000000	E5E95_RS02230	KUD10_RS02165
OG0000000	E5E95_RS02430	KUD10_RS02380
OG0000000	E5E95_RS04240	KUD10_RS02385
OG0000000	E5E95_RS01830	KUD10_RS01780, KUD10_RS01785
OG0000001	E5E95_RS01300	KUD10_RS01355
OG0000001	E5E95_RS01295	KUD10_RS01350
OG0000001	E5E95_RS03000	KUD10_RS02875
OG0000001	E5E95_RS04150	KUD10_RS02830
OG0000002	E5E95_RS02320	KUD10_RS02270
OG0000002	E5E95_RS02315	KUD10_RS02265
OG0000002	E5E95_RS02250	KUD10_RS02210
OG0000002	E5E95_RS01840	KUD10_RS01790
OG0000003	E5E95_RS01870	KUD10_RS01820
OG0000003	E5E95_RS01915	KUD10_RS00500
OG0000003	E5E95_RS04070	KUD10_RS02250
OG0000003	E5E95_RS03910	KUD10_RS01900
OG0000004	E5E95_RS03410	KUD10_RS03265
OG0000004	E5E95_RS03425	KUD10_RS03275
OG0000004	E5E95_RS03215	KUD10_RS03075
OG0000004	E5E95_RS03235	KUD10_RS03095, KUD10_RS03085
OG0000005	E5E95_RS00090	KUD10_RS00100
OG0000005	E5E95_RS00110	KUD10_RS00120
OG0000005	E5E95_RS00095	KUD10_RS00105
OG0000005	E5E95_RS00100	KUD10_RS00110
OG0000005	E5E95_RS00115	KUD10_RS00125
OG0000006	E5E95_RS02705	KUD10_RS02585
OG0000006	E5E95_RS02445	KUD10_RS02390
OG0000006	E5E95_RS04120, E5E95_RS04115	KUD10_RS02420
OG0000007	E5E95_RS02290	KUD10_RS02245
OG0000008	E5E95_RS03925, E5E95_RS04080	KUD10_RS02375
OG0000008	E5E95_RS03905	KUD10_RS01700
OG0000008	E5E95_RS03930, E5E95_RS04135	KUD10_RS02590
OG0000009	E5E95_RS01210	KUD10_RS01265
OG0000009	E5E95_RS00680	KUD10_RS00675
OG0000010	E5E95_RS01970	KUD10_RS01910
OG0000011	E5E95_RS02065, E5E95_RS02070	KUD10_RS02000
OG0000011	E5E95_RS02060	KUD10_RS01995
OG0000012	E5E95_RS02435	KUD10_RS01085
OG0000013	E5E95_RS02610	KUD10_RS02465
OG0000013	E5E95_RS03955	KUD10_RS00185
OG0000014	E5E95_RS01105	KUD10_RS01080
OG0000014	E5E95_RS00605	KUD10_RS00610
OG0000015	E5E95_RS04195	KUD10_RS01225
OG0000015	E5E95_RS01745	KUD10_RS01635
OG0000016	E5E95_RS03040	KUD10_RS02915
OG0000016	E5E95_RS00160	KUD10_RS00170
OG0000017	E5E95_RS00145	KUD10_RS00155
OG0000017	E5E95_RS03050	KUD10_RS02925
OG0000019	E5E95_RS04175	KUD10_RS03080
OG0000019	E5E95_RS04180	KUD10_RS03110, KUD10_RS03090
OG0000020	E5E95_RS03770	KUD10_RS03620
OG0000022	E5E95_RS01770	KUD10_RS01720
OG0000022	E5E95_RS01825	KUD10_RS01775
OG0000024	E5E95_RS02945	KUD10_RS02825
OG0000024	E5E95_RS01290	KUD10_RS01345
OG0000025	E5E95_RS01775	KUD10_RS01725
OG0000025	E5E95_RS01820	KUD10_RS01770
OG0000026	E5E95_RS01380	KUD10_RS01435
OG0000026	E5E95_RS01800	KUD10_RS01750
OG0000027	E5E95_RS03560	KUD10_RS03410
OG0000027	E5E95_RS03575	KUD10_RS03425
OG0000028	E5E95_RS02625	KUD10_RS02500
OG0000029	E5E95_RS01100	KUD10_RS01075
OG0000029	E5E95_RS00610	KUD10_RS00620
OG0000030	E5E95_RS03550	KUD10_RS03400
OG0000030	E5E95_RS03570	KUD10_RS03420
OG0000031	E5E95_RS01625	KUD10_RS01665
OG0000032	E5E95_RS03995	KUD10_RS01640
OG0000034	E5E95_RS04045	KUD10_RS02225
OG0000034	E5E95_RS04050	KUD10_RS02230
OG0000035	E5E95_RS03405	KUD10_RS03270
OG0000035	E5E95_RS03395	KUD10_RS03250
OG0000036	E5E95_RS00120	KUD10_RS00130
OG0000037	E5E95_RS04000	KUD10_RS01650
OG0000038	E5E95_RS01865	KUD10_RS01815
OG0000039	E5E95_RS01650, E5E95_RS01645	KUD10_RS01675
OG0000040	E5E95_RS03495	KUD10_RS03345
OG0000042	E5E95_RS03140	KUD10_RS03010
OG0000043	E5E95_RS02030	KUD10_RS01965
OG0000045	E5E95_RS01655	KUD10_RS01680
OG0000046	E5E95_RS03505	KUD10_RS03355
OG0000047	E5E95_RS01725	KUD10_RS01210
OG0000048	E5E95_RS02215	KUD10_RS02150
OG0000049	E5E95_RS03260	KUD10_RS03120
OG0000050	E5E95_RS02655	KUD10_RS02530
OG0000051	E5E95_RS02855	KUD10_RS02740
OG0000052	E5E95_RS00075	KUD10_RS00075
OG0000053	E5E95_RS01465	KUD10_RS01520
OG0000054	E5E95_RS02680	KUD10_RS02555
OG0000055	E5E95_RS00125	KUD10_RS00135
OG0000056	E5E95_RS03750	KUD10_RS03605, KUD10_RS03600
OG0000057	E5E95_RS03125	KUD10_RS02995
OG0000058	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530	KUD10_RS01145
OG0000061	E5E95_RS01980	KUD10_RS01920
OG0000062	E5E95_RS03805	KUD10_RS03655
OG0000063	E5E95_RS03800	KUD10_RS03650
OG0000064	E5E95_RS03790	KUD10_RS03640
OG0000065	E5E95_RS02365	KUD10_RS02315
OG0000066	E5E95_RS01370	KUD10_RS01425
OG0000067	E5E95_RS00525	KUD10_RS00530
OG0000068	E5E95_RS00645	KUD10_RS00655
OG0000069	E5E95_RS03015	KUD10_RS02890
OG0000070	E5E95_RS02685	KUD10_RS02560
OG0000071	E5E95_RS03485	KUD10_RS03335
OG0000072	E5E95_RS03490	KUD10_RS03340
OG0000073	E5E95_RS00705	KUD10_RS00700
OG0000074	E5E95_RS00900	KUD10_RS00895
OG0000075	E5E95_RS00340	KUD10_RS00340
OG0000076	E5E95_RS00355	KUD10_RS00355
OG0000077	E5E95_RS00445	KUD10_RS00440
OG0000078	E5E95_RS01790	KUD10_RS01740
OG0000079	E5E95_RS02760	KUD10_RS02640
OG0000080	E5E95_RS03935	KUD10_RS02690
OG0000081	E5E95_RS00335	KUD10_RS00335
OG0000082	E5E95_RS02605	KUD10_RS02460
OG0000083	E5E95_RS02140	KUD10_RS02070
OG0000084	E5E95_RS02165	KUD10_RS02100
OG0000085	E5E95_RS02170	KUD10_RS02105
OG0000086	E5E95_RS02180	KUD10_RS02115
OG0000087	E5E95_RS02195	KUD10_RS02130
OG0000088	E5E95_RS02200	KUD10_RS02135
OG0000089	E5E95_RS02210	KUD10_RS02145
OG0000090	E5E95_RS00070	KUD10_RS00070
OG0000091	E5E95_RS00055	KUD10_RS00055
OG0000092	E5E95_RS00040	KUD10_RS00040
OG0000093	E5E95_RS00035	KUD10_RS00035
OG0000094	E5E95_RS00030	KUD10_RS00030
OG0000095	E5E95_RS00005	KUD10_RS00005
OG0000096	E5E95_RS03840	KUD10_RS03690
OG0000097	E5E95_RS03820	KUD10_RS03670
OG0000099	E5E95_RS03760	KUD10_RS03610
OG0000100	E5E95_RS03740	KUD10_RS03590
OG0000101	E5E95_RS03735	KUD10_RS03585
OG0000102	E5E95_RS01815	KUD10_RS01765
