Assembly	ragtag.patch
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	6
# contigs (>= 10000 bp)	6
# contigs (>= 25000 bp)	6
# contigs (>= 50000 bp)	5
Total length (>= 0 bp)	959619
Total length (>= 1000 bp)	958924
Total length (>= 5000 bp)	952243
Total length (>= 10000 bp)	952243
Total length (>= 25000 bp)	952243
Total length (>= 50000 bp)	907165
# contigs	10
Largest contig	402063
Total length	958924
GC (%)	28.50
N50	292022
N90	58357
auN	275699.1
L50	2
L90	5
# N's per 100 kbp	66.53
