Orthogroup	MHP_133A_proteins	MHP_UFV02_proteins
OG0000000	WP_404924494.1	WP_243216234.1
OG0000000	WP_404924493.1	WP_243234976.1
OG0000000	WP_404924491.1	WP_243216232.1
OG0000000	WP_404924221.1	WP_308704548.1
OG0000000	WP_404924212.1	WP_094521686.1
OG0000000	WP_148174330.1	WP_243234982.1
OG0000000	WP_404924465.1	WP_243234964.1
OG0000000	WP_404924488.1	WP_243234990.1
OG0000001	WP_232039579.1, WP_187145661.1	WP_243216044.1
OG0000001	WP_404924272.1	WP_243234992.1
OG0000002	WP_225972974.1	WP_237697200.1
OG0000002	WP_404924222.1	WP_081430767.1
OG0000002	WP_404924213.1	WP_243216173.1
OG0000002	WP_404924467.1	WP_243216098.1
OG0000003	WP_052259119.1	WP_243234971.1
OG0000004	WP_160588068.1	WP_243216334.1
OG0000004	WP_404924307.1	WP_243234995.1
OG0000005	WP_011289941.1	WP_233688595.1
OG0000005	WP_146379452.1	WP_243235001.1
OG0000005	WP_404924354.1	WP_243215923.1
OG0000005	WP_347952346.1	WP_011289946.1
OG0000006	WP_404924232.1	WP_243216203.1
OG0000007	WP_404923946.1	WP_243216178.1
OG0000007	WP_404924219.1	WP_243216175.1
OG0000008	WP_404924227.1	WP_243216199.1
OG0000008	WP_404924456.1	WP_243234963.1
OG0000008	WP_404924495.1	WP_243216238.1
OG0000009	WP_404924404.1	WP_011206100.1
OG0000009	WP_011290021.1	WP_243215989.1
OG0000010	WP_404924479.1	WP_243216127.1
OG0000011	WP_404924482.1	WP_160587900.1
OG0000013	WP_225972984.1	WP_243216215.1
OG0000013	WP_404924502.1	WP_243215939.1
OG0000014	WP_404924397.1	WP_308704542.1
OG0000014	WP_404924423.1	WP_243234962.1
OG0000014	WP_404924399.1	WP_243234957.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000016	WP_404924358.1	WP_243215935.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_243216293.1
OG0000020	WP_404924344.1	WP_279288053.1
OG0000021	WP_404924390.1	WP_014579585.1
OG0000022	WP_404924458.1	WP_243216081.1
OG0000022	WP_146379581.1	WP_243216096.1
OG0000023	WP_404924437.1	WP_243216049.1
OG0000024	WP_179696078.1	WP_243216276.1
OG0000024	WP_404924435.1	WP_243216040.1
OG0000025	WP_404924459.1	WP_243216083.1
OG0000025	WP_404924464.1	WP_243216095.1
OG0000026	WP_020835640.1	WP_044284614.1
