Orthogroup	MHP_133A_proteins	MHP_MHP691_proteins
OG0000000	WP_404924491.1	WP_160608104.1, WP_220200664.1
OG0000000	WP_404924489.1	WP_160608120.1
OG0000001	WP_187145661.1	WP_187145661.1
OG0000001	WP_404924272.1	WP_011206342.1
OG0000002	WP_225972974.1	WP_160585200.1
OG0000002	WP_404924213.1	WP_160608106.1
OG0000002	WP_404924467.1	WP_160608118.1
OG0000003	WP_404923944.1	WP_258555606.1
OG0000004	WP_160588068.1	WP_160585636.1
OG0000004	WP_404924307.1	WP_160585635.1
OG0000005	WP_011289941.1	WP_160607716.1
OG0000005	WP_404924354.1	WP_160607718.1
OG0000005	WP_347952346.1	WP_160607720.1
OG0000007	WP_160576975.1	WP_258555604.1, WP_258555605.1
OG0000007	WP_404923946.1	WP_011284157.1
OG0000007	WP_404924219.1	WP_002557993.1
OG0000008	WP_404924495.1	WP_258555633.1
OG0000009	WP_041361519.1	WP_041361519.1
OG0000010	WP_404924479.1	WP_160607876.1
OG0000011	WP_404924482.1	WP_160606477.1
OG0000012	WP_404924504.1	WP_158632000.1
OG0000013	WP_225972984.1	WP_258555582.1
OG0000013	WP_404924502.1	WP_308704685.1
OG0000014	WP_404924397.1	WP_160608110.1
OG0000014	WP_404924399.1	WP_160608112.1
OG0000015	WP_404924384.1	WP_160607700.1
OG0000016	WP_404924358.1	WP_160607987.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_404924379.1	WP_160585710.1
OG0000020	WP_404924344.1	WP_308704678.1
OG0000021	WP_404924390.1	WP_160608102.1
OG0000022	WP_404924458.1	WP_160607941.1
OG0000022	WP_146379581.1	WP_160607953.1
OG0000023	WP_404924382.1	WP_160607696.1
OG0000024	WP_179696078.1	WP_160608070.1
OG0000025	WP_404924459.1	WP_160607943.1
OG0000025	WP_404924464.1	WP_160607951.1
OG0000026	WP_020835640.1	WP_020835640.1
OG0000026	WP_160606777.1	WP_160590234.1
OG0000027	WP_020835902.1	WP_160585251.1
OG0000027	WP_404924323.1	WP_160607732.1
OG0000028	WP_404924245.1	WP_160607995.1
OG0000029	WP_404924422.1	WP_160608024.1
OG0000029	WP_404924400.1	WP_160608062.1
OG0000030	WP_308704613.1	WP_240536353.1
OG0000030	WP_020835904.1	WP_160607730.1
OG0000031	WP_404924450.1	WP_011284063.1
OG0000032	WP_135618726.1	WP_160608068.1
OG0000032	WP_404924322.1	WP_308507003.1
OG0000033	WP_404924244.1	WP_258555580.1
OG0000033	WP_404924241.1, WP_404924242.1	WP_258555581.1
OG0000035	WP_404924306.1	WP_160607769.1
OG0000035	WP_160588066.1	WP_160607771.1
OG0000036	WP_347952344.1, WP_146379454.1	WP_160607722.1
OG0000039	WP_404924451.1	WP_160608064.1, WP_160608066.1
OG0000040	WP_404924313.1	WP_160607971.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000042	WP_404924286.1	WP_160608086.1
OG0000043	WP_014579804.1	WP_160585024.1
OG0000044	WP_225973034.1	WP_220200639.1
OG0000045	WP_404924452.1	WP_258555619.1
OG0000046	WP_404924314.1	WP_160607969.1
OG0000047	WP_404924383.1	WP_258555522.1
OG0000048	WP_011284150.1	WP_160607666.1
OG0000049	WP_020835860.1	WP_160607787.1
OG0000050	WP_404924247.1	WP_160607999.1
OG0000051	WP_404924263.1	WP_160607824.1
OG0000052	WP_404924352.1	WP_011289937.1
OG0000053	WP_404924445.1	WP_160607798.1
OG0000054	WP_404924248.1	WP_160608001.1
OG0000055	WP_146379455.1	WP_160607724.1
OG0000056	WP_404924340.1	WP_160607757.1
OG0000057	WP_404924285.1	WP_258555568.1
OG0000058	WP_404924373.1	WP_160585715.1
OG0000059	WP_404924377.1	WP_258555521.1
OG0000060	WP_020835489.1	WP_020835489.1
OG0000061	WP_135618818.1	WP_146379613.1
OG0000062	WP_011206522.1	WP_160588098.1
OG0000063	WP_041361715.1	WP_160607710.1
OG0000064	WP_348571896.1	WP_011290440.1
OG0000065	WP_225972975.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_160588243.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_404924311.1	WP_160607760.1
OG0000072	WP_404924312.1	WP_160607973.1
OG0000073	WP_404912207.1	WP_160584799.1
OG0000074	WP_404924416.1, WP_404924417.1	WP_044284596.1
OG0000075	WP_404924368.1	WP_014579568.1
OG0000076	WP_404924503.1	WP_160607908.1
OG0000077	WP_135618533.1	WP_146379479.1
OG0000078	WP_404924461.1	WP_160607947.1
OG0000079	WP_020835797.1	WP_160608044.1
OG0000080	WP_192894279.1	WP_011206314.1
OG0000081	WP_404924367.1	WP_135618515.1
OG0000083	WP_014579823.1	WP_160590043.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_404924208.1	WP_160590049.1
OG0000086	WP_404924209.1	WP_160590052.1
OG0000087	WP_020835732.1	WP_020835732.1
OG0000088	WP_020835733.1	WP_160590058.1
OG0000089	WP_011206231.1	WP_011290212.1
OG0000090	WP_404924351.1	WP_020835488.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_160584856.1	WP_160584856.1
OG0000094	WP_160606485.1	WP_160606485.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_404924347.1	WP_258555535.1
OG0000098	WP_404924345.1	WP_146379769.1
OG0000099	WP_404924341.1	WP_160607759.1
OG0000100	WP_404924338.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_404924487.1	WP_135619192.1
OG0000103	WP_404924223.1	WP_160585202.1
OG0000104	WP_011206239.1	WP_160607672.1
OG0000105	WP_146379630.1	WP_160607676.1
OG0000106	WP_146379631.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_308704677.1
OG0000109	WP_404924224.1	WP_160607678.1
OG0000110	WP_404924239.1	WP_146379648.1
OG0000111	WP_404924238.1	WP_258555584.1
OG0000112	WP_404924236.1	WP_258555585.1
OG0000113	WP_404924231.1	WP_160585296.1
OG0000114	WP_404923958.1	WP_258555588.1
OG0000115	WP_011290245.1	WP_011290245.1
OG0000116	WP_404924436.1	WP_160608082.1
OG0000117	WP_160590503.1	WP_160608080.1
OG0000118	WP_011290108.1	WP_011290108.1
OG0000119	WP_135618686.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_160590292.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160585089.1	WP_011290120.1
OG0000127	WP_404924444.1	WP_160590282.1
OG0000128	WP_404924446.1	WP_160607796.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_160588225.1	WP_160585099.1
OG0000132	WP_011205939.1	WP_094521636.1
OG0000133	WP_094521764.1	WP_094521764.1
OG0000134	WP_308507044.1	WP_308704690.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_135618546.1
OG0000137	WP_404924396.1	WP_011206113.1
OG0000138	WP_404924401.1	WP_160608058.1
OG0000139	WP_011290017.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_160608056.1
OG0000141	WP_146379698.1	WP_011284290.1
OG0000142	WP_011284289.1	WP_160607860.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_404924284.1	WP_160607856.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_041361684.1	WP_160607848.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_011206376.1
OG0000151	WP_404924277.1	WP_160608076.1
OG0000152	WP_404924276.1	WP_160585269.1
OG0000153	WP_233688497.1	WP_160608074.1
OG0000154	WP_160587842.1	WP_160587842.1
OG0000155	WP_020835820.1	WP_020835820.1
OG0000156	WP_011206335.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_020835818.1
OG0000158	WP_404924268.1	WP_160607812.1
OG0000159	WP_011206289.1	WP_160590317.1
OG0000160	WP_179221158.1	WP_179221158.1
OG0000161	WP_011206287.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_160608004.1
OG0000163	WP_404924246.1	WP_160607997.1
OG0000164	WP_348572081.1	WP_135618732.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_160590029.1	WP_160590029.1
OG0000167	WP_011206207.1	WP_011206207.1
OG0000168	WP_404924203.1	WP_160585173.1
OG0000169	WP_002557698.1	WP_160607789.1
OG0000170	WP_020835862.1	WP_020835862.1
OG0000171	WP_404924298.1	WP_160585650.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_011206425.1	WP_160585649.1
OG0000174	WP_160600929.1	WP_160600929.1
OG0000175	WP_404924300.1	WP_160588054.1
OG0000176	WP_160585271.1	WP_160607777.1
OG0000177	WP_160585273.1	WP_160585273.1
OG0000178	WP_160585275.1	WP_044272620.1
OG0000179	WP_020835880.1	WP_014579979.1
OG0000180	WP_081642895.1	WP_160607773.1
OG0000181	WP_020835888.1	WP_160585796.1
OG0000182	WP_011206453.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_160585238.1	WP_160588140.1
OG0000185	WP_146379740.1	WP_020835897.1
OG0000186	WP_020835656.1	WP_044284745.1
OG0000187	WP_011284055.1	WP_160585781.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_160607686.1	WP_160607686.1
OG0000190	WP_011206256.1	WP_011206256.1
OG0000191	WP_020835755.1	WP_146379633.1
OG0000192	WP_160587990.1	WP_011205992.1
OG0000193	WP_094521610.1	WP_011283999.1
OG0000194	WP_011290023.1	WP_011283923.1
OG0000195	WP_094521583.1	WP_094521583.1
OG0000196	WP_020835573.1	WP_020835573.1
OG0000197	WP_404924405.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_160588272.1	WP_146379501.1
OG0000201	WP_404924407.1	WP_011283934.1
OG0000202	WP_011290039.1	WP_011290039.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_011206071.1	WP_160608010.1
OG0000205	WP_404924414.1	WP_160606691.1
OG0000206	WP_011290044.1	WP_011290044.1
OG0000207	WP_011206063.1	WP_011206063.1
OG0000208	WP_011290046.1	WP_160584818.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_404924418.1	WP_135618604.1
OG0000211	WP_011290054.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_160585195.1
OG0000214	WP_011206047.1	WP_160608018.1
OG0000215	WP_011290055.1	WP_160608019.1
OG0000216	WP_014579616.1	WP_160608020.1
OG0000217	WP_404924419.1	WP_160585731.1
OG0000218	WP_011290058.1	WP_011290058.1
OG0000219	WP_011206041.1	WP_020835591.1
OG0000220	WP_020835592.1	WP_135618616.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_404924420.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_020835596.1	WP_020835596.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_011290064.1	WP_011290064.1
OG0000228	WP_404924421.1	WP_160608021.1
OG0000229	WP_011206028.1	WP_160608022.1
OG0000230	WP_011206027.1	WP_011206027.1
OG0000231	WP_011206025.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_233688672.1	WP_011290071.1
OG0000234	WP_404924425.1	WP_160607928.1
OG0000235	WP_011290078.1	WP_160607926.1
OG0000236	WP_011283989.1	WP_011283989.1
OG0000237	WP_404924426.1	WP_160607924.1
