Orthogroup	MHP_133A_proteins	MHP_ES2_proteins
OG0000000	WP_404924494.1	WP_240536417.1
OG0000000	WP_404924493.1	WP_240536413.1
OG0000000	WP_404924492.1	WP_240536415.1
OG0000000	WP_404924221.1	WP_240536311.1
OG0000000	WP_404924212.1	WP_094521686.1
OG0000000	WP_148174330.1	WP_135618898.1
OG0000000	WP_404924228.1	WP_318026010.1
OG0000000	WP_404924465.1, WP_404924488.1	WP_135618783.1
OG0000000	WP_404924489.1	WP_318026031.1, WP_334199108.1
OG0000001	WP_187145661.1	WP_193325079.1
OG0000001	WP_404924272.1	WP_240536341.1
OG0000002	WP_225972974.1	WP_237697200.1
OG0000002	WP_404924222.1	WP_081430767.1
OG0000002	WP_404924213.1	WP_135618870.1
OG0000002	WP_404924467.1	WP_135618787.1
OG0000003	WP_404924388.1	WP_135618540.1
OG0000003	WP_404923944.1	WP_135618606.1
OG0000003	WP_052259119.1, WP_404924478.1	WP_228729174.1
OG0000004	WP_160588068.1	WP_014579982.1
OG0000004	WP_404924305.1	WP_135619088.1
OG0000004	WP_404924307.1	WP_135619092.1
OG0000004	WP_404924497.1	WP_240536349.1
OG0000005	WP_011289941.1	WP_135618450.1
OG0000005	WP_146379452.1	WP_135618456.1
OG0000005	WP_404924354.1	WP_135618452.1
OG0000005	WP_347952346.1	WP_135618458.1
OG0000006	WP_404924250.1, WP_280996645.1	WP_135618942.1
OG0000006	WP_404924232.1	WP_240536328.1, WP_240536326.1
OG0000007	WP_160576975.1	WP_135618608.1
OG0000007	WP_404923946.1	WP_011284157.1
OG0000007	WP_404924219.1	WP_002557993.1
OG0000008	WP_404924227.1	WP_240536315.1, WP_011206260.1
OG0000008	WP_404924456.1	WP_240536388.1
OG0000008	WP_404924495.1	WP_240536339.1, WP_240536338.1
OG0000009	WP_404924404.1	WP_011206100.1
OG0000009	WP_011290021.1	WP_135618567.1
OG0000010	WP_404924479.1	WP_135618816.1
OG0000011	WP_404924482.1	WP_135618836.1
OG0000013	WP_225972984.1	WP_240536333.1
OG0000013	WP_404924502.1	WP_240536360.1
OG0000014	WP_404924397.1	WP_135618555.1
OG0000014	WP_404924423.1	WP_135618629.1
OG0000014	WP_404924399.1	WP_135618557.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000015	WP_404924384.1	WP_135618902.1
OG0000016	WP_404924358.1	WP_135618472.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_404924379.1	WP_135618751.1
OG0000019	WP_404924296.1	WP_135619053.1
OG0000021	WP_404924471.1	WP_135618797.1
OG0000021	WP_404924389.1	WP_011206128.1
OG0000022	WP_404924458.1	WP_135618767.1
OG0000022	WP_146379581.1	WP_135618781.1
OG0000023	WP_404924382.1	WP_135618754.1, WP_240536321.1, WP_240536323.1, WP_240536322.1
OG0000024	WP_179696078.1	WP_135618988.1
OG0000024	WP_404924435.1	WP_135618668.1
OG0000025	WP_404924459.1	WP_135618769.1
OG0000025	WP_404924464.1	WP_135618779.1
OG0000026	WP_020835640.1	WP_044284614.1
OG0000026	WP_160606777.1	WP_135618775.1
OG0000027	WP_020835902.1	WP_135619129.1
OG0000027	WP_404924323.1	WP_135619132.1
OG0000028	WP_404924245.1	WP_135618930.1
OG0000029	WP_404924422.1	WP_135618627.1
OG0000029	WP_404924400.1	WP_135618559.1
OG0000030	WP_308704613.1	WP_240536353.1
OG0000030	WP_020835904.1	WP_020835904.1
OG0000031	WP_404924450.1	WP_011284063.1
OG0000032	WP_135618726.1	WP_135618726.1
OG0000032	WP_404924322.1	WP_240536354.1
OG0000035	WP_404924306.1	WP_135619086.1
OG0000035	WP_160588066.1	WP_135619082.1
OG0000036	WP_146379454.1	WP_135618460.1
OG0000037	WP_404924486.1	WP_240536407.1
OG0000038	WP_404924387.1	WP_135618538.1
OG0000038	WP_404924469.1	WP_135618793.1
OG0000039	WP_404924451.1	WP_135618739.1, WP_167871264.1
OG0000040	WP_404924313.1	WP_135619110.1
OG0000041	WP_011290019.1	WP_135618565.1
OG0000042	WP_404924286.1	WP_135619032.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000045	WP_404924452.1	WP_135618740.1
OG0000046	WP_404924315.1	WP_135619114.1
OG0000047	WP_404924383.1	WP_240536319.1
OG0000048	WP_011284150.1	WP_135618866.1
OG0000049	WP_020835860.1	WP_240536351.1
OG0000050	WP_404924247.1	WP_135618938.1
OG0000051	WP_404924263.1	WP_135618969.1
OG0000052	WP_404924352.1	WP_135618448.1
OG0000053	WP_404924445.1	WP_135618705.1
OG0000054	WP_404924248.1	WP_135618940.1
OG0000055	WP_146379455.1	WP_135618462.1
OG0000056	WP_404924340.1	WP_135619162.1
OG0000057	WP_404924285.1	WP_240536348.1
OG0000058	WP_404924373.1	WP_240536387.1
OG0000059	WP_404924377.1	WP_240536325.1
OG0000060	WP_020835489.1	WP_020835489.1
OG0000061	WP_135618818.1	WP_135618818.1
OG0000062	WP_011206522.1	WP_011206522.1
OG0000063	WP_041361715.1	WP_135619169.1
OG0000064	WP_348571896.1	WP_135619167.1
OG0000065	WP_225972975.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_135619002.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_404924311.1	WP_135619103.1
OG0000072	WP_404924312.1	WP_135619105.1
OG0000073	WP_404912207.1	WP_011206093.1
OG0000074	WP_404924416.1, WP_404924417.1	WP_044284596.1
OG0000075	WP_404924368.1	WP_135618517.1
OG0000076	WP_404924369.1	WP_135618521.1
OG0000077	WP_135618533.1	WP_135618533.1
OG0000079	WP_020835797.1	WP_135618951.1
OG0000080	WP_192894279.1	WP_179695988.1
OG0000081	WP_404924367.1	WP_135618515.1
OG0000083	WP_014579823.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_404924208.1	WP_011206223.1
OG0000086	WP_404924209.1	WP_135618860.1
OG0000087	WP_020835732.1	WP_044272477.1
OG0000088	WP_020835733.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_404924351.1	WP_044278048.1
OG0000091	WP_020835487.1	WP_011205850.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_160584856.1	WP_011205846.1
OG0000094	WP_160606485.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_404924347.1	WP_135619172.1
OG0000098	WP_404924345.1	WP_135619170.1
OG0000099	WP_404924341.1	WP_135619164.1
OG0000100	WP_404924338.1	WP_135619158.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_404924487.1	WP_135619192.1
OG0000103	WP_404924223.1	WP_135618876.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_146379630.1	WP_135618882.1
OG0000106	WP_146379631.1	WP_135618884.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_011206247.1
OG0000109	WP_404924224.1	WP_014579826.1
OG0000110	WP_404924239.1	WP_135618926.1
OG0000111	WP_404924238.1	WP_240536331.1
OG0000112	WP_404924236.1	WP_240536330.1
OG0000113	WP_404924231.1	WP_011206268.1
OG0000114	WP_404923958.1	WP_225972979.1
OG0000115	WP_011290245.1	WP_011206264.1
OG0000116	WP_404924436.1	WP_135618674.1
OG0000117	WP_160590503.1	WP_135618676.1
OG0000118	WP_011290108.1	WP_228729171.1
OG0000119	WP_135618686.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_135618690.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160585089.1	WP_011205950.1
