Orthogroup	MHP_133A_proteins	MHP_112B_proteins
OG0000000	WP_404924494.1	WP_404913768.1
OG0000000	WP_404924493.1	WP_404913720.1
OG0000000	WP_404924221.1	WP_404912245.1
OG0000000	WP_404924212.1	WP_225973037.1
OG0000000	WP_148174330.1	WP_404913633.1
OG0000000	WP_404924465.1, WP_404924488.1	WP_404913746.1
OG0000000	WP_404924489.1	WP_404913748.1
OG0000001	WP_404924272.1	WP_404911950.1, WP_011206342.1
OG0000002	WP_225972974.1	WP_225972974.1
OG0000002	WP_404924222.1	WP_146379587.1
OG0000002	WP_404924213.1	WP_404913718.1
OG0000003	WP_404924388.1	WP_404912467.1, WP_404912175.1
OG0000003	WP_404923944.1	WP_225973018.1
OG0000004	WP_160588068.1	WP_160585636.1
OG0000004	WP_404924307.1	WP_404912021.1
OG0000004	WP_404924497.1	WP_404912454.1
OG0000004	WP_404924498.1	WP_404912458.1
OG0000005	WP_011289941.1	WP_404912131.1
OG0000005	WP_404924354.1	WP_404912133.1
OG0000006	WP_404924250.1, WP_280996645.1	WP_404911894.1
OG0000007	WP_160576975.1	WP_404913714.1
OG0000007	WP_404923946.1	WP_011284157.1
OG0000007	WP_404924219.1	WP_002557993.1
OG0000008	WP_404924227.1	WP_404911847.1
OG0000008	WP_404924456.1	WP_404912369.1
OG0000008	WP_404924495.1	WP_404911900.1, WP_404911898.1
OG0000009	WP_404924404.1	WP_041361566.1
OG0000009	WP_041361519.1	WP_041361519.1
OG0000009	WP_011290021.1	WP_011290021.1
OG0000010	WP_404924479.1	WP_404911810.1
OG0000011	WP_404924482.1	WP_404911790.1
OG0000012	WP_404924504.1	WP_404912469.1
OG0000013	WP_225972984.1	WP_404911873.1
OG0000014	WP_404924399.1	WP_404912188.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000016	WP_404924358.1	WP_404912144.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_404924294.1, WP_404924295.1	WP_404911993.1
OG0000020	WP_404924344.1	WP_404913691.1
OG0000021	WP_404924390.1, WP_404924389.1	WP_160606951.1
OG0000022	WP_404924458.1	WP_404912375.1
OG0000022	WP_146379581.1	WP_404912386.1
OG0000024	WP_179696078.1	WP_160585259.1
OG0000024	WP_404924435.1	WP_404912310.1
OG0000025	WP_404924459.1	WP_404912377.1
OG0000025	WP_404924464.1	WP_404912384.1
OG0000026	WP_020835640.1	WP_192894288.1
OG0000026	WP_160606777.1	WP_160606777.1
OG0000027	WP_020835902.1	WP_404912049.1
OG0000027	WP_404924323.1	WP_404912055.1
OG0000028	WP_404924245.1	WP_404913643.1
OG0000029	WP_404924422.1	WP_404913726.1
OG0000029	WP_404924400.1	WP_404912190.1
OG0000030	WP_308704613.1	WP_240536353.1
OG0000030	WP_020835904.1	WP_404912053.1
OG0000031	WP_088172525.1	WP_404912416.1
OG0000032	WP_135618726.1	WP_135618726.1
OG0000032	WP_404924322.1	WP_404913680.1, WP_404913682.1
OG0000033	WP_404924244.1	WP_404911880.1
OG0000033	WP_404924241.1	WP_404913638.1
OG0000033	WP_404924242.1	WP_404911876.1
OG0000035	WP_404924306.1	WP_404912019.1
OG0000035	WP_160588066.1	WP_404912017.1
OG0000036	WP_347952344.1	WP_404912137.1
OG0000038	WP_404924387.1	WP_404913703.1
OG0000039	WP_404924451.1	WP_179221095.1
OG0000040	WP_404924313.1	WP_404913674.1
OG0000041	WP_011290019.1	WP_011290019.1
OG0000041	WP_228366127.1	WP_404912290.1
OG0000042	WP_404924286.1	WP_044272729.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000044	WP_404911819.1	WP_404911819.1
OG0000045	WP_404924452.1	WP_404912363.1
OG0000046	WP_404924315.1	WP_404913676.1
OG0000046	WP_404924314.1	WP_404912037.1
OG0000048	WP_011284150.1	WP_404912397.1
OG0000049	WP_020835860.1	WP_020835860.1
OG0000050	WP_404924247.1	WP_404911890.1
OG0000051	WP_404924263.1	WP_404911930.1
OG0000052	WP_404924352.1	WP_404912127.1, WP_404912125.1
OG0000053	WP_404924445.1	WP_160585093.1
OG0000054	WP_404924248.1	WP_020835786.1
OG0000055	WP_146379455.1	WP_160606887.1
OG0000056	WP_404924340.1	WP_404912090.1
OG0000057	WP_404924285.1	WP_258555814.1
OG0000058	WP_404924373.1	WP_404913752.1
OG0000060	WP_020835489.1	WP_020835489.1
OG0000061	WP_135618818.1	WP_404913627.1
OG0000062	WP_011206522.1	WP_094521530.1
OG0000063	WP_041361715.1	WP_404912101.1
OG0000064	WP_348571896.1	WP_011290440.1
OG0000065	WP_225972975.1	WP_233688433.1
OG0000066	WP_011205965.1	WP_404913732.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_404924311.1	WP_146379735.1
OG0000072	WP_404924312.1	WP_404912031.1
OG0000073	WP_404912207.1	WP_404912207.1
OG0000074	WP_404924416.1	WP_308704709.1
OG0000075	WP_404924368.1	WP_014579568.1
OG0000076	WP_404924503.1	WP_404913700.1
OG0000077	WP_135618533.1	WP_404912169.1
OG0000078	WP_404924461.1	WP_404913744.1
OG0000079	WP_020835797.1	WP_404911913.1
OG0000080	WP_192894279.1	WP_011206314.1
OG0000081	WP_404924367.1	WP_160615521.1
OG0000083	WP_014579823.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_404924208.1	WP_011206223.1
OG0000086	WP_404924209.1	WP_404913754.1
OG0000087	WP_020835732.1	WP_404912425.1
OG0000088	WP_020835733.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_404924351.1	WP_020835488.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_404912119.1
OG0000093	WP_160584856.1	WP_011205846.1
OG0000094	WP_160606485.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
