Orthogroup	MHP_133A_proteins	MHP_KM014_proteins
OG0000000	WP_404924212.1	WP_094521686.1
OG0000000	WP_404924465.1	WP_157696714.1
OG0000000	WP_404924488.1	WP_157696719.1
OG0000001	WP_404924273.1, WP_404924272.1	WP_094521729.1
OG0000002	WP_225972974.1	WP_011284160.1
OG0000002	WP_404924467.1	WP_094521652.1
OG0000003	WP_404924470.1, WP_404924388.1	WP_094521572.1
OG0000003	WP_052259119.1, WP_404924478.1	WP_094521666.1
OG0000004	WP_160588068.1	WP_094521510.1
OG0000005	WP_011289941.1	WP_094521539.1
OG0000005	WP_146379452.1	WP_094521540.1
OG0000006	WP_404924250.1, WP_280996645.1	WP_041361789.1
OG0000006	WP_404924249.1, WP_404924229.1, WP_404924233.1, WP_404924232.1	WP_094521717.1
OG0000007	WP_404923946.1	WP_011284157.1
OG0000007	WP_404924219.1	WP_002557993.1
OG0000008	WP_404924227.1	WP_094521776.1
OG0000009	WP_041361519.1	WP_094521537.1
OG0000009	WP_011290021.1	WP_094521581.1
OG0000010	WP_404924479.1	WP_094521667.1
OG0000011	WP_404924482.1	WP_094521674.1
OG0000014	WP_404924397.1	WP_094521578.1
OG0000014	WP_404924423.1	WP_094521602.1
OG0000015	WP_404924384.1	WP_014579746.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_160585680.1	WP_094521623.1
OG0000018	WP_404924379.1	WP_094521560.1
OG0000019	WP_404924296.1	WP_094521748.1, WP_094521749.1
OG0000020	WP_404924344.1	WP_094521756.1
OG0000021	WP_404924471.1	WP_094521573.1
OG0000021	WP_404924389.1	WP_094521655.1
OG0000022	WP_146379581.1	WP_094521650.1
OG0000023	WP_404924382.1	WP_094521562.1
OG0000024	WP_404924435.1	WP_094521619.1
OG0000025	WP_404924464.1	WP_094521649.1
OG0000026	WP_160606777.1	WP_094521646.1
OG0000027	WP_404924323.1	WP_094521515.1
OG0000028	WP_404924245.1	WP_094521710.1
OG0000030	WP_020835904.1	WP_020835904.1
OG0000031	WP_088172525.1	WP_088172525.1
OG0000035	WP_404924306.1	WP_094521509.1
OG0000035	WP_160588066.1	WP_094521508.1
OG0000036	WP_347952344.1	WP_044284813.1
OG0000037	WP_404924486.1	WP_094521640.1
OG0000038	WP_404924387.1, WP_404924469.1	WP_094521654.1
OG0000039	WP_404924451.1	WP_094521643.1
OG0000041	WP_011290019.1	WP_011206099.1
OG0000042	WP_404924286.1	WP_094521741.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579804.1	WP_011290239.1
OG0000044	WP_404911819.1	WP_011206179.1
OG0000045	WP_404924452.1	WP_094521771.1
OG0000047	WP_404924383.1	WP_094521564.1
OG0000048	WP_011284150.1	WP_011284150.1
OG0000049	WP_020835860.1	WP_094521498.1
OG0000051	WP_404924263.1	WP_094521726.1
OG0000052	WP_404924352.1	WP_094521536.1
OG0000053	WP_404924445.1	WP_094521633.1
OG0000054	WP_404924248.1	WP_011206291.1
OG0000055	WP_146379455.1	WP_011205867.1
OG0000056	WP_404924340.1	WP_157696708.1, WP_157696707.1
OG0000057	WP_404924285.1	WP_094521783.1
OG0000058	WP_404924373.1	WP_094521760.1
OG0000058	WP_404924374.1	WP_094521570.1
OG0000059	WP_404924377.1	WP_094521751.1, WP_094521761.1
OG0000060	WP_020835489.1	WP_011283837.1
OG0000061	WP_135618818.1	WP_094521669.1
OG0000062	WP_011206522.1	WP_094521530.1
OG0000063	WP_041361715.1	WP_094521529.1
OG0000064	WP_348571896.1	WP_011290440.1
OG0000065	WP_225972975.1	WP_011290219.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_404924311.1	WP_094521512.1
