#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_007295.1:563611-564141|- -            177 4324at2085           -            135   8.8e-42  137.7   2.8   1   1   2.2e-43   1.7e-41  136.7   2.8     1   134     1   168     1   169 0.79 NC_007295.1_461 # 563611 # 564141 # -1 # ID=1_461;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.303
NC_007295.1:85007-86308|+   -            434 4324at2085           -            135   9.6e-15   50.1  10.6   1   3   5.7e-10   4.4e-08   28.5   0.6    10    46     3    39     1   132 0.74 NC_007295.1_69 # 85007 # 86308 # 1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NC_007295.1:85007-86308|+   -            434 4324at2085           -            135   9.6e-15   50.1  10.6   2   3   3.4e-09   2.6e-07   26.0   0.2    11    60   172   228   162   313 0.59 NC_007295.1_69 # 85007 # 86308 # 1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NC_007295.1:85007-86308|+   -            434 4324at2085           -            135   9.6e-15   50.1  10.6   3   3      0.52        40   -0.5   0.4    25    82   353   412   334   421 0.72 NC_007295.1_69 # 85007 # 86308 # 1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NC_007295.1:231187-232515|- -            443 4324at2085           -            135   5.9e-08   28.1   4.2   1   2       4.7   3.6e+02   -3.5   0.0    27    49    93   115    88   124 0.63 NC_007295.1_209 # 231187 # 232515 # -1 # ID=1_209;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NC_007295.1:231187-232515|- -            443 4324at2085           -            135   5.9e-08   28.1   4.2   2   2   1.4e-09   1.1e-07   27.3   2.3    12   129   219   350   215   357 0.68 NC_007295.1_209 # 231187 # 232515 # -1 # ID=1_209;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NC_007295.1:104894-105685|+ -            264 4324at2085           -            135   1.2e-07   27.1  10.8   1   4     0.022       1.7    4.0   1.1    99   124    41    66    11    70 0.67 NC_007295.1_86 # 104894 # 105685 # 1 # ID=1_86;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NC_007295.1:104894-105685|+ -            264 4324at2085           -            135   1.2e-07   27.1  10.8   2   4      0.28        21    0.4   0.5    69   119    58   104    53   112 0.58 NC_007295.1_86 # 104894 # 105685 # 1 # ID=1_86;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NC_007295.1:104894-105685|+ -            264 4324at2085           -            135   1.2e-07   27.1  10.8   3   4   3.4e-09   2.6e-07   26.0   1.2    11    89   112   194   103   238 0.72 NC_007295.1_86 # 104894 # 105685 # 1 # ID=1_86;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NC_007295.1:104894-105685|+ -            264 4324at2085           -            135   1.2e-07   27.1  10.8   4   4     0.095       7.4    1.9   0.1    84   115   208   239   203   251 0.85 NC_007295.1_86 # 104894 # 105685 # 1 # ID=1_86;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NC_007295.1:187813-188694|- -            294 4324at2085           -            135   1.2e-06   23.9   3.4   1   1   4.1e-08   3.1e-06   22.6   3.4    12   115     9   129     3   141 0.63 NC_007295.1_156 # 187813 # 188694 # -1 # ID=1_156;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NC_007295.1:184634-185491|- -            286 4324at2085           -            135   6.3e-06   21.6   2.2   1   2       0.6        46   -0.7   0.2    96   117    99   120    87   142 0.60 NC_007295.1_152 # 184634 # 185491 # -1 # ID=1_152;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.283
NC_007295.1:184634-185491|- -            286 4324at2085           -            135   6.3e-06   21.6   2.2   2   2   1.1e-07   8.8e-06   21.1   0.2    13    77   156   232   148   241 0.74 NC_007295.1_152 # 184634 # 185491 # -1 # ID=1_152;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.283
NC_007295.1:47574-48833|+   -            420 4324at2085           -            135   0.00022   16.6   2.2   1   2   4.6e-06   0.00036   15.9   0.2    10   121   157   273   152   282 0.79 NC_007295.1_38 # 47574 # 48833 # 1 # ID=1_38;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.306
NC_007295.1:47574-48833|+   -            420 4324at2085           -            135   0.00022   16.6   2.2   2   2      0.54        41   -0.5   0.1    33   103   300   370   293   384 0.73 NC_007295.1_38 # 47574 # 48833 # 1 # ID=1_38;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.306
NC_007295.1:753844-755643|- -            600 4324at2085           -            135   0.00036   15.9   0.1   1   3       1.3     1e+02   -1.7   0.1    77   115    30    68    16    78 0.77 NC_007295.1_602 # 753844 # 755643 # -1 # ID=1_602;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NC_007295.1:753844-755643|- -            600 4324at2085           -            135   0.00036   15.9   0.1   2   3   4.7e-06   0.00036   15.9   0.1    12   123   116   236   112   245 0.79 NC_007295.1_602 # 753844 # 755643 # -1 # ID=1_602;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NC_007295.1:753844-755643|- -            600 4324at2085           -            135   0.00036   15.9   0.1   3   3       2.5   1.9e+02   -2.7   0.1    90   116   468   494   448   500 0.74 NC_007295.1_602 # 753844 # 755643 # -1 # ID=1_602;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NC_007295.1:111446-114289|- -            948 4324at2085           -            135    0.0035   12.7   1.5   1   2     0.085       6.5    2.1   0.0    10    29    32    52    24    59 0.80 NC_007295.1_92 # 111446 # 114289 # -1 # ID=1_92;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.329
NC_007295.1:111446-114289|- -            948 4324at2085           -            135    0.0035   12.7   1.5   2   2    0.0014      0.11    7.8   0.3    12    36   641   665   637   678 0.89 NC_007295.1_92 # 111446 # 114289 # -1 # ID=1_92;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.329
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/J/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4324at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/J/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
