Orthogroup	MFC_MF30_proteins	MHP_MHP682_proteins
OG0000000	WP_308705463.1	WP_371807681.1
OG0000001	WP_002557631.1	WP_258555804.1, WP_258555825.1, WP_258555827.1
OG0000002	WP_160605454.1	WP_258555846.1, WP_160585767.1
OG0000002	WP_160605578.1	WP_160585690.1
OG0000011	WP_160605422.1	WP_160585600.1
OG0000011	WP_160605420.1	WP_160585601.1
OG0000013	WP_160605387.1, WP_160605385.1	WP_258555342.1
OG0000013	WP_258555096.1	WP_371807677.1
OG0000014	WP_220190749.1	WP_220191212.1, WP_160585811.1
OG0000016	WP_160580902.1	WP_160585619.1
OG0000017	WP_002557881.1	WP_020835500.1
OG0000017	WP_160605334.1	WP_011206380.1
OG0000018	WP_160605522.1	WP_160585710.1
OG0000019	WP_160605640.1	WP_258555870.1
OG0000020	WP_308705457.1	WP_308507016.1
OG0000022	WP_160583783.1	WP_160585692.1
OG0000024	WP_258555110.1	WP_160585687.1, WP_160585557.1
OG0000025	WP_160583781.1	WP_160585693.1
OG0000026	WP_002557545.1	WP_044284614.1, WP_160585054.1
OG0000027	WP_160605603.1	WP_160585589.1
OG0000028	WP_220190754.1, WP_160605394.1	WP_160585703.1
OG0000029	WP_160605322.1	WP_160585736.1
OG0000030	WP_160605605.1	WP_308507013.1, WP_160584917.1
OG0000031	WP_160605408.1	WP_088172525.1, WP_011284063.1
OG0000039	WP_160605326.1	WP_160585321.1
OG0000040	WP_258555133.1, WP_160605352.1	WP_160585830.1
OG0000042	WP_160605324.1, WP_160605340.1	WP_160585626.1
OG0000043	WP_160605410.1	WP_014579804.1
OG0000045	WP_002557601.1	WP_160585827.1
OG0000048	WP_160605621.1	WP_160585777.1
OG0000049	WP_308705455.1	WP_160585653.1
OG0000050	WP_160605404.1	WP_160585700.1
OG0000051	WP_160581217.1	WP_160585663.1
OG0000052	WP_002557464.1	WP_146379447.1
OG0000053	WP_160605623.1	WP_160585821.1
OG0000054	WP_160605400.1	WP_160585698.1
OG0000055	WP_002557874.1, WP_323749063.1	WP_160584826.1
OG0000056	WP_160605584.1	WP_160585574.1
OG0000057	WP_258555107.1	WP_258555814.1
OG0000062	WP_002557486.1	WP_011206522.1
