Orthogroup	MFC_MF30_proteins	MHP_TB1_proteins
OG0000000	WP_308705463.1	WP_252862191.1
OG0000000	WP_160605580.1	WP_088764599.1
OG0000001	WP_002557631.1	WP_014579709.1, WP_228365417.1, WP_228365393.1, WP_014579924.1, WP_014579925.1
OG0000002	WP_160605454.1	WP_228365382.1, WP_158209055.1
OG0000002	WP_160605578.1	WP_014579753.1
OG0000011	WP_160605422.1	WP_088764586.1, WP_252862134.1
OG0000011	WP_160605420.1	WP_014579809.1
OG0000013	WP_160605387.1, WP_160605385.1	WP_252862184.1
OG0000013	WP_258555096.1	WP_252862122.1
OG0000014	WP_220190749.1	WP_088764623.1, WP_252862202.1
OG0000016	WP_160580902.1	WP_014579937.1
OG0000017	WP_002557881.1	WP_011205870.1
OG0000017	WP_160605334.1	WP_014579938.1
OG0000018	WP_160605522.1	WP_052293599.1, WP_011206365.1
OG0000020	WP_308705457.1	WP_187286313.1
OG0000022	WP_160583783.1	WP_014579755.1
OG0000024	WP_258555110.1	WP_014579922.1, WP_044277983.1, WP_014579707.1
OG0000025	WP_160583781.1	WP_143826161.1
OG0000026	WP_002557545.1	WP_044284614.1, WP_014579760.1
OG0000027	WP_160605603.1	WP_014580004.1
OG0000028	WP_220190754.1, WP_160605394.1	WP_252862177.1, WP_252862176.1, WP_189220795.1, WP_252862178.1, WP_252862179.1
OG0000029	WP_160605322.1	WP_088764612.1, WP_252862204.1, WP_252862203.1
OG0000030	WP_160605605.1	WP_016340249.1, WP_014580003.1
OG0000031	WP_160605408.1	WP_252862171.1, WP_011284063.1
OG0000039	WP_160605326.1	WP_187286318.1
OG0000040	WP_258555133.1, WP_160605352.1	WP_088764609.1
OG0000042	WP_160605324.1, WP_160605340.1	WP_014579952.1
OG0000043	WP_160605410.1	WP_014579681.1
OG0000045	WP_002557601.1	WP_014579772.1
OG0000047	WP_155897261.1	WP_014579684.1
OG0000048	WP_160605621.1	WP_014579838.1
OG0000050	WP_160605404.1	WP_014579879.1
OG0000051	WP_160581217.1	WP_044278027.1
OG0000052	WP_002557464.1	WP_088764574.1
OG0000053	WP_160605623.1	WP_014579730.1
OG0000054	WP_160605400.1	WP_014579883.1
OG0000055	WP_002557874.1, WP_323749063.1	WP_014579531.1
OG0000056	WP_160605584.1	WP_143826159.1
OG0000057	WP_258555107.1	WP_228365395.1
OG0000062	WP_002557486.1	WP_252862161.1
OG0000063	WP_160605552.1	WP_252862162.1
OG0000064	WP_160581114.1	WP_014580043.1
OG0000065	WP_002557517.1	WP_252862189.1
OG0000066	WP_002557543.1	WP_011205965.1
OG0000068	WP_002557593.1	WP_011206103.1
OG0000069	WP_002557626.1	WP_011284269.1
OG0000070	WP_160605398.1	WP_014579884.1
OG0000071	WP_160605649.1, WP_160581282.1	WP_014579991.1
OG0000072	WP_160605550.1	WP_014579992.1
OG0000073	WP_039387630.1	WP_088764597.1
OG0000074	WP_236681775.1	WP_014579624.1
OG0000075	WP_160605306.1	WP_014579568.1
OG0000076	WP_002557921.1	WP_011289987.1
OG0000077	WP_160605308.1	WP_088764617.1
OG0000078	WP_160605360.1	WP_014579762.1
OG0000079	WP_160580968.1	WP_011206305.1
OG0000080	WP_196792423.1	WP_179695988.1
OG0000081	WP_308705447.1	WP_252862124.1
OG0000082	WP_220190753.1	WP_228365386.1, WP_228365387.1
OG0000083	WP_002557446.1	WP_014579823.1
OG0000084	WP_002557451.1	WP_014579845.1
OG0000085	WP_002557452.1	WP_014579844.1
OG0000086	WP_160605611.1	WP_014579843.1
OG0000087	WP_236681783.1	WP_014579840.1
OG0000088	WP_002557458.1	WP_014579839.1
OG0000089	WP_160605617.1	WP_011206231.1
OG0000090	WP_002557465.1	WP_088764627.1
OG0000091	WP_160605562.1	WP_252862156.1
OG0000092	WP_002557471.1	WP_011205847.1
OG0000093	WP_002557472.1	WP_252862158.1
OG0000094	WP_002557473.1	WP_014579519.1
OG0000095	WP_160605558.1	WP_252862160.1
OG0000096	WP_002557480.1	WP_011206529.1
OG0000097	WP_002557483.1	WP_228365398.1
OG0000098	WP_160581106.1	WP_014580046.1
OG0000099	WP_160605586.1	WP_014580030.1
OG0000100	WP_160605582.1	WP_014580027.1
OG0000101	WP_002557497.1	WP_011206510.1
OG0000102	WP_160593490.1	WP_044277991.1
OG0000103	WP_160605508.1	WP_252862190.1
OG0000104	WP_002557510.1	WP_011206239.1
OG0000105	WP_002557514.1	WP_014579832.1
OG0000106	WP_160605510.1	WP_014579830.1
OG0000107	WP_002557518.1	WP_252862188.1
OG0000108	WP_002557519.1	WP_011206247.1
OG0000109	WP_160583943.1	WP_014579826.1
OG0000110	WP_160581160.1	WP_014579870.1
OG0000111	WP_002557523.1	WP_044278012.1
OG0000112	WP_160605514.1	WP_228365385.1
OG0000113	WP_002557528.1	WP_014579864.1
OG0000114	WP_002557530.1	WP_044278010.1
OG0000115	WP_160583957.1	WP_014579859.1
OG0000116	WP_002557534.1	WP_014579712.1
OG0000117	WP_002557535.1	WP_014579713.1
OG0000118	WP_160605524.1	WP_011284023.1
OG0000119	WP_160605526.1	WP_044277984.1
OG0000120	WP_160581189.1	WP_011284027.1
OG0000121	WP_002557548.1	WP_011290114.1
OG0000122	WP_002557549.1	WP_014579725.1
OG0000123	WP_160581199.1	WP_011205954.1
OG0000124	WP_002557554.1	WP_014579726.1
OG0000125	WP_002557555.1	WP_011205952.1
OG0000126	WP_160605532.1	WP_011290120.1
OG0000127	WP_160583976.1	WP_011284040.1
OG0000128	WP_160605625.1	WP_014579731.1
OG0000129	WP_002557563.1	WP_014579732.1
OG0000130	WP_160593526.1	WP_088764591.1
OG0000131	WP_002557566.1	WP_252862142.1
OG0000132	WP_002557569.1	WP_014579737.1
OG0000133	WP_002557574.1	WP_014579589.1
OG0000134	WP_160605314.1	WP_228365407.1
OG0000135	WP_002557577.1	WP_011206120.1
OG0000136	WP_160605316.1	WP_014579592.1
OG0000137	WP_160583687.1	WP_014579598.1
OG0000138	WP_002557590.1	WP_014579656.1
OG0000139	WP_002557594.1	WP_011206102.1
OG0000140	WP_002557595.1	WP_011206101.1
OG0000141	WP_002557602.1	WP_088764593.1
OG0000142	WP_002557603.1	WP_011206395.1
OG0000143	WP_160580880.1	WP_011206391.1
OG0000144	WP_160605328.1	WP_014579946.1
OG0000145	WP_002557611.1	WP_044278029.1
OG0000146	WP_002557613.1	WP_011206385.1
OG0000147	WP_002557614.1	WP_011206384.1
OG0000148	WP_160583667.1	WP_016340240.1
OG0000149	WP_002557620.1	WP_011290331.1
OG0000150	WP_002557623.1	WP_011206376.1
OG0000151	WP_160580918.1	WP_014579931.1
OG0000152	WP_160605342.1	WP_014579930.1
OG0000153	WP_160605344.1	WP_014579929.1
OG0000154	WP_160580926.1	WP_044278028.1
OG0000155	WP_160605350.1	WP_011206337.1
OG0000156	WP_160583648.1	WP_011206335.1
OG0000157	WP_160583646.1	WP_252862135.1
OG0000158	WP_160605356.1	WP_014579917.1
OG0000159	WP_002557667.1	WP_011206289.1
OG0000160	WP_002557668.1	WP_044278019.1
OG0000161	WP_160603116.1	WP_014579880.1
OG0000162	WP_160605651.1, WP_160581406.1	WP_081450704.1
OG0000163	WP_160581408.1	WP_014579877.1
OG0000164	WP_160581414.1	WP_014579775.1
OG0000165	WP_002557684.1	WP_014579808.1
OG0000166	WP_160605426.1	WP_014579811.1
OG0000167	WP_160581429.1	WP_088764587.1
OG0000168	WP_160605430.1	WP_014579815.1
OG0000169	WP_002557698.1	WP_002557698.1
OG0000170	WP_160603210.1	WP_014579964.1
OG0000171	WP_002557706.1	WP_014579966.1
OG0000172	WP_002557707.1	WP_088764594.1
OG0000173	WP_002557708.1	WP_011206425.1
OG0000174	WP_160605538.1	WP_014579967.1
OG0000175	WP_160605541.1	WP_014579969.1
OG0000176	WP_160593449.1	WP_014579976.1
OG0000177	WP_160581270.1	WP_014579977.1
OG0000178	WP_002557721.1	WP_011206441.1
OG0000179	WP_002557724.1	WP_252862150.1
OG0000180	WP_002557725.1	WP_011206445.1
OG0000181	WP_039387691.1	WP_014579985.1
OG0000182	WP_002557729.1	WP_014579987.1
OG0000183	WP_002557735.1	WP_011206459.1
OG0000184	WP_160605633.1	WP_011206468.1
OG0000185	WP_002557743.1	WP_011206465.1
OG0000186	WP_160603234.1	WP_014579739.1
OG0000187	WP_002557753.1	WP_014579741.1
OG0000188	WP_002557755.1	WP_011205932.1
OG0000189	WP_160605456.1	WP_014579854.1
OG0000190	WP_160605458.1	WP_011206256.1
OG0000191	WP_255454511.1	WP_014579850.1
OG0000192	WP_160605464.1	WP_088764622.1
OG0000193	WP_002557766.1	WP_011283999.1
OG0000194	WP_002557768.1	WP_011283923.1
OG0000195	WP_002557769.1	WP_011283924.1
OG0000196	WP_160581303.1	WP_014579648.1
OG0000197	WP_160605466.1	WP_014579647.1
OG0000198	WP_160605468.1	WP_014579645.1
OG0000199	WP_002557779.1	WP_011206086.1
OG0000200	WP_002557781.1	WP_088764596.1
OG0000201	WP_160605470.1	WP_011283934.1
OG0000202	WP_160605476.1	WP_014579634.1
OG0000203	WP_160583979.1	WP_011206072.1
OG0000204	WP_160605479.1	WP_252862153.1
OG0000205	WP_002557794.1	WP_014579632.1
OG0000206	WP_002557798.1	WP_011206066.1
OG0000207	WP_002557801.1	WP_014579629.1
OG0000208	WP_002557802.1	WP_011206062.1
OG0000209	WP_002557803.1	WP_014579628.1
OG0000210	WP_160581347.1	WP_014579621.1
OG0000211	WP_002557813.1	WP_088764616.1
OG0000212	WP_002557815.1	WP_014579618.1
OG0000213	WP_002557816.1	WP_011283963.1
OG0000214	WP_002557817.1	WP_011206047.1
OG0000215	WP_002557818.1	WP_014579617.1
OG0000216	WP_160581343.1	WP_014579616.1
OG0000217	WP_160605481.1	WP_011206044.1
OG0000218	WP_160605485.1	WP_014579615.1
OG0000219	WP_160603160.1	WP_020835591.1
OG0000220	WP_002557824.1	WP_011206040.1
OG0000221	WP_002557825.1	WP_011206039.1
OG0000222	WP_002557826.1	WP_011206038.1
OG0000223	WP_002557827.1	WP_041361589.1
OG0000224	WP_002557829.1	WP_011206035.1
OG0000225	WP_002557831.1	WP_014579610.1
OG0000226	WP_002557832.1	WP_014579609.1
OG0000227	WP_002557833.1	WP_088764611.1
OG0000228	WP_002557834.1	WP_014579607.1
OG0000229	WP_002557835.1	WP_011206028.1
OG0000230	WP_002557836.1	WP_014579605.1
OG0000231	WP_002557838.1	WP_014579603.1
OG0000232	WP_002557840.1	WP_014579601.1
OG0000233	WP_160605487.1	WP_011290071.1
OG0000234	WP_002557848.1	WP_252862166.1
OG0000235	WP_002557850.1	WP_014579665.1
OG0000236	WP_160581215.1	WP_014579666.1
OG0000237	WP_160583882.1	WP_014579667.1
OG0000238	WP_160605501.1	WP_011206006.1
OG0000239	WP_160583887.1	WP_011206399.1
OG0000240	WP_002557864.1	WP_011206400.1
OG0000241	WP_002557866.1	WP_011206402.1
OG0000242	WP_002557867.1	WP_290124226.1
OG0000243	WP_002557868.1	WP_014579955.1
OG0000244	WP_002557870.1	WP_014579956.1
OG0000245	WP_002557872.1	WP_011206408.1
OG0000246	WP_002557875.1	WP_014579532.1
OG0000247	WP_160593344.1	WP_014579534.1
OG0000248	WP_160583743.1	WP_014579535.1
OG0000249	WP_160605570.1	WP_014579536.1
OG0000250	WP_002557886.1	WP_011289957.1
OG0000251	WP_002557891.1	WP_014579544.1
OG0000252	WP_160581051.1	WP_011205883.1
OG0000253	WP_160605282.1	WP_014579546.1
OG0000254	WP_160605284.1	WP_014579548.1
OG0000255	WP_002557898.1	WP_014579550.1
OG0000256	WP_002557899.1	WP_011283865.1
OG0000257	WP_002557904.1	WP_014579555.1
OG0000258	WP_160605290.1	WP_011283871.1
OG0000259	WP_160581036.1	WP_014579562.1
OG0000260	WP_160605298.1	WP_011205903.1
OG0000261	WP_160605302.1	WP_014579565.1
OG0000262	WP_002557919.1	WP_014579569.1
OG0000263	WP_002557922.1	WP_088764575.1
OG0000264	WP_160581017.1	WP_011283887.1
OG0000265	WP_002557927.1	WP_088764577.1
OG0000266	WP_002557930.1	WP_044277957.1
OG0000267	WP_160581015.1	WP_014579577.1
OG0000268	WP_160583705.1	WP_252862126.1
OG0000269	WP_160583703.1	WP_014579579.1
OG0000270	WP_160605574.1	WP_252862128.1
OG0000271	WP_002557946.1	WP_014580021.1
OG0000272	WP_002557947.1	WP_011284373.1
OG0000273	WP_002557948.1	WP_011206502.1
OG0000274	WP_160605591.1	WP_014580018.1
OG0000275	WP_039387710.1	WP_044278043.1
OG0000276	WP_002557954.1	WP_011284368.1
OG0000277	WP_160581382.1	WP_088764581.1
OG0000278	WP_160581384.1	WP_011206493.1
OG0000279	WP_002557959.1	WP_014580014.1
OG0000280	WP_002557960.1	WP_014580013.1
OG0000281	WP_002557961.1	WP_014580012.1
OG0000282	WP_160605597.1	WP_014580010.1
OG0000283	WP_002557965.1	WP_014580009.1
OG0000284	WP_002557966.1	WP_014580008.1
OG0000285	WP_002557967.1	WP_014580007.1
OG0000286	WP_160605389.1	WP_014579875.1
OG0000287	WP_160605383.1	WP_011206297.1
OG0000288	WP_002557980.1	WP_011284218.1
OG0000289	WP_160605379.1	WP_252862141.1
OG0000290	WP_160605363.1	WP_014579908.1
OG0000291	WP_002558005.1	WP_011206320.1
OG0000292	WP_002558006.1	WP_014579905.1
OG0000293	WP_002558007.1	WP_014579904.1
OG0000294	WP_160605367.1	WP_014579902.1
OG0000295	WP_160580958.1	WP_014579901.1
OG0000296	WP_160580964.1	WP_014579894.1
OG0000297	WP_160580966.1	WP_014579893.1
OG0000298	WP_160605278.1	WP_014579538.1
OG0000299	WP_039387487.1	WP_011205878.1
OG0000300	WP_039387496.1	WP_014579572.1
OG0000301	WP_039387501.1	WP_011283891.1
OG0000302	WP_039387504.1	WP_014579576.1
OG0000303	WP_160580856.1	WP_014579593.1
OG0000304	WP_160580864.1	WP_044277963.1
OG0000305	WP_160605330.1	WP_014579943.1
OG0000306	WP_160583660.1	WP_014579934.1
OG0000307	WP_160580924.1	WP_014579928.1
OG0000308	WP_160605361.1	WP_014579911.1
OG0000309	WP_039387539.1	WP_011206313.1
OG0000310	WP_160605381.1	WP_011206298.1
OG0000311	WP_039387548.1	WP_014579885.1
OG0000312	WP_160605402.1	WP_014579882.1
OG0000313	WP_039387554.1	WP_014579776.1
OG0000314	WP_160605424.1	WP_014579810.1
OG0000315	WP_160581431.1	WP_014579816.1
OG0000316	WP_160605432.1	WP_014579818.1
OG0000317	WP_160605615.1	WP_011290211.1
OG0000318	WP_160605629.1	WP_228365380.1
OG0000319	WP_039387606.1	WP_014579833.1
OG0000320	WP_160605516.1	WP_252862186.1
OG0000321	WP_039387610.1	WP_011205969.1
OG0000322	WP_039387613.1	WP_014579724.1
OG0000323	WP_039387619.1	WP_014579736.1
OG0000324	WP_160605462.1	WP_014579849.1
OG0000325	WP_039387628.1	WP_088764598.1
OG0000326	WP_039387636.1	WP_014579637.1
OG0000327	WP_039387638.1	WP_011206076.1
OG0000328	WP_039387644.1	WP_014579627.1
OG0000329	WP_039387648.1	WP_011206056.1
OG0000330	WP_160605489.1	WP_011206016.1
OG0000331	WP_039387665.1	WP_011206405.1
OG0000332	WP_160605543.1	WP_011290372.1
OG0000333	WP_160605544.1	WP_011206433.1
OG0000334	WP_039387693.1	WP_014579986.1
OG0000335	WP_160605548.1	WP_088764610.1
OG0000336	WP_039387704.1	WP_011206488.1
OG0000337	WP_160581112.1	WP_011206520.1
OG0000338	WP_039387723.1	WP_014580051.1
OG0000339	WP_160605518.1	WP_014579860.1
OG0000340	WP_039387777.1	WP_011205973.1
OG0000341	WP_039387782.1	WP_014579853.1
OG0000342	WP_039387785.1	WP_014579646.1
OG0000343	WP_039387808.1	WP_011206435.1
OG0000344	WP_051054279.1	WP_014579596.1
OG0000345	WP_051054304.1	WP_014579611.1
OG0000346	WP_081605287.1	WP_232039558.1
OG0000347	WP_081605280.1	WP_011205955.1
OG0000348	WP_160605474.1	WP_225973015.1
OG0000349	WP_155897264.1	WP_014580020.1
OG0000350	WP_201771011.1	WP_228365390.1
OG0000351	WP_220190748.1	WP_044277958.1
OG0000352	WP_220190755.1	WP_014579807.1
OG0000353	WP_308705452.1	WP_014579723.1
OG0000354	WP_220190750.1	WP_233417361.1
OG0000355	WP_231237866.1	WP_011206194.1
OG0000356	WP_308705446.1	WP_228365379.1
OG0000357	WP_160605540.1	WP_011206427.1
OG0000358	WP_002557711.1	WP_014579968.1
OG0000359	WP_308705450.1	WP_228365410.1
OG0000360	WP_231237879.1	WP_228365406.1
OG0000361	WP_258555097.1	WP_014579561.1
OG0000362	WP_255454460.1	WP_011206302.1
OG0000363	WP_334199004.1	WP_088764590.1
OG0000365	WP_160605631.1	WP_014579848.1
OG0000366	WP_160581449.1	WP_011206224.1
OG0000367	WP_160605613.1	WP_044278006.1
OG0000368	WP_160605564.1	WP_252862155.1
OG0000369	WP_039387473.1	WP_011205844.1
OG0000370	WP_002557476.1	WP_011205843.1
OG0000371	WP_002557477.1	WP_014579518.1
OG0000372	WP_002557478.1	WP_252862159.1
OG0000373	WP_160605556.1	WP_014580049.1
OG0000374	WP_160605554.1	WP_014580047.1
OG0000375	WP_002557511.1	WP_014579834.1
OG0000376	WP_160605512.1	WP_014579868.1
OG0000377	WP_160581167.1	WP_011206271.1
OG0000378	WP_160605520.1	WP_014579711.1
OG0000379	WP_002557546.1	WP_011205962.1
OG0000380	WP_002557550.1	WP_011205957.1
OG0000381	WP_160605534.1	WP_014579728.1
OG0000382	WP_160605627.1	WP_014579733.1
OG0000383	WP_002557567.1	WP_014579735.1
OG0000384	WP_160605310.1	WP_014579586.1
OG0000385	WP_160605312.1	WP_014579587.1
OG0000386	WP_002557576.1	WP_014579591.1
OG0000387	WP_160605318.1	WP_014579594.1
OG0000388	WP_160605320.1	WP_014579595.1
OG0000389	WP_002557589.1	WP_014579657.1
OG0000390	WP_160580882.1	WP_011206390.1
OG0000391	WP_002557610.1	WP_014579945.1
OG0000392	WP_160580892.1	WP_014579942.1
OG0000393	WP_160605338.1	WP_252862206.1
OG0000394	WP_160605346.1	WP_014579921.1
OG0000395	WP_160605348.1	WP_014579920.1
OG0000396	WP_002557673.1	WP_014579876.1
OG0000397	WP_160605412.1	WP_014579805.1
OG0000398	WP_160605414.1	WP_011206197.1
OG0000399	WP_220190081.1	WP_014579813.1
OG0000400	WP_160603208.1	WP_014579962.1
OG0000401	WP_160581263.1	WP_014579971.1
OG0000402	WP_002557715.1	WP_014579972.1
OG0000404	WP_160605546.1	WP_252862149.1
OG0000405	WP_160605547.1	WP_014579980.1
OG0000406	WP_002557731.1	WP_014579989.1
OG0000407	WP_160583916.1	WP_014579990.1
OG0000408	WP_160605549.1	WP_011206457.1
OG0000409	WP_002557734.1	WP_252862192.1
OG0000410	WP_002557739.1	WP_011206469.1
OG0000411	WP_160605635.1	WP_014579996.1
OG0000412	WP_002557742.1	WP_014579995.1
OG0000413	WP_002557749.1	WP_014579738.1
OG0000414	WP_002557751.1	WP_011284053.1
OG0000415	WP_160603232.1	WP_014579740.1
OG0000416	WP_002557754.1	WP_011284056.1
OG0000417	WP_160605460.1	WP_044889038.1
OG0000418	WP_002557760.1	WP_228365384.1
OG0000419	WP_002557773.1	WP_014579649.1
OG0000420	WP_002557780.1	WP_011206085.1
OG0000421	WP_002557784.1	WP_044277971.1
OG0000422	WP_160581307.1	WP_014579638.1
OG0000423	WP_002557796.1	WP_014579631.1
OG0000424	WP_160581357.1	WP_011206067.1
OG0000425	WP_002557799.1	WP_044277967.1
OG0000426	WP_002557800.1	WP_011206064.1
OG0000427	WP_002557805.1	WP_014579626.1
OG0000428	WP_160581348.1	WP_014579623.1
OG0000430	WP_002557837.1	WP_014579604.1
OG0000431	WP_002557839.1	WP_014579602.1
OG0000432	WP_160603164.1	WP_252862168.1
OG0000433	WP_002557845.1	WP_011206014.1
OG0000434	WP_160583871.1	WP_011206013.1
OG0000435	WP_002557849.1	WP_011283987.1
OG0000436	WP_002557857.1	WP_011206005.1
OG0000437	WP_002557860.1	WP_014579672.1
OG0000438	WP_160605495.1	WP_014579673.1
OG0000439	WP_160603176.1	WP_088764600.1
OG0000440	WP_160583891.1	WP_252862146.1
OG0000441	WP_002557873.1	WP_252862145.1
OG0000442	WP_002557876.1	WP_014579533.1
OG0000443	WP_160581057.1	WP_014579542.1
OG0000444	WP_002557890.1	WP_011205880.1
