Orthogroup	MHP_232_proteins	MFC_MF11_proteins
OG0000000	WP_202943179.1	WP_160603262.1
OG0000000	WP_011206165.1	WP_157696714.1, WP_308705385.1
OG0000001	WP_011205979.1, WP_232039579.1, WP_228365393.1, WP_232039548.1, WP_011206342.1	WP_220190178.1, WP_160580916.1
OG0000002	WP_011206167.1	WP_160603138.1
OG0000004	WP_011206410.1, WP_011206415.1	WP_220190824.1
OG0000008	WP_011206151.1	WP_220190829.1
OG0000011	WP_011206202.1	WP_369122332.1
OG0000011	WP_011206201.1	WP_220190834.1
OG0000013	WP_011206279.1	WP_160603103.1, WP_258554024.1
OG0000013	WP_011205876.1	WP_258554019.1
OG0000014	WP_011206019.1, WP_011206109.1	WP_220190805.1
OG0000016	WP_011206378.1	WP_160580902.1
OG0000016	WP_011205873.1	WP_160603026.1
OG0000017	WP_011205870.1	WP_160603021.1
OG0000017	WP_011206380.1	WP_160603055.1
OG0000018	WP_011206364.1, WP_011206365.1	WP_160581182.1
OG0000019	WP_011206416.1	WP_258554035.1
OG0000020	WP_011206516.1	WP_160603126.1
OG0000020	WP_011206517.1	WP_220190820.1
OG0000022	WP_011206164.1	WP_160583783.1
OG0000023	WP_011205972.1, WP_011206367.1	WP_160583963.1
OG0000024	WP_011206341.1, WP_011205981.1	WP_258554023.1
OG0000025	WP_011206163.1	WP_160603136.1
OG0000026	WP_044284614.1, WP_011206159.1	WP_160581190.1
OG0000027	WP_011206475.1	WP_308507118.1
OG0000027	WP_011206480.1	WP_160603148.1
OG0000028	WP_011206281.1	WP_160603105.1
OG0000029	WP_011206020.1, WP_011206108.1	WP_160603042.1
OG0000030	WP_238374141.1, WP_011206479.1	WP_160583816.1
OG0000031	WP_011206356.1, WP_011206142.1	WP_160584009.1
OG0000032	WP_232039557.1, WP_011206477.1	WP_220190186.1
OG0000039	WP_232039515.1, WP_011206145.1	WP_160603046.1
OG0000040	WP_011206462.1	WP_160603222.1, WP_308705384.1
OG0000042	WP_044284805.1	WP_160603044.1, WP_258554021.1, WP_258554022.1
OG0000043	WP_011206195.1	WP_160581416.1
