Orthogroup	MHP_98_genes	MHP_7422_genes
OG0000000	GOM18_RS04450	MHL_RS02380, MHL_RS04190
OG0000000	GOM18_RS00685	MHL_RS03710
OG0000001	GOM18_RS03240	MHL_RS03980
OG0000001	GOM18_RS03125	MHL_RS02845
OG0000001	GOM18_RS04125	MHL_RS04080
OG0000002	GOM18_RS02350	MHL_RS04055
OG0000002	GOM18_RS04550	MHL_RS01800
OG0000003	GOM18_RS03520	MHL_RS01875
OG0000003	GOM18_RS03375	MHL_RS03835
OG0000004	GOM18_RS00895	MHL_RS03205
OG0000004	GOM18_RS00880	MHL_RS03215
OG0000005	GOM18_RS03145	MHL_RS00105
OG0000005	GOM18_RS03600	MHL_RS04205
OG0000005	GOM18_RS04540	MHL_RS00115, MHL_RS00130
OG0000006	GOM18_RS01950	MHL_RS03635
OG0000006	GOM18_RS02495	MHL_RS02420
OG0000008	GOM18_RS02455	MHL_RS02375
OG0000008	GOM18_RS03975	MHL_RS04065
OG0000009	GOM18_RS00095	MHL_RS00755
OG0000009	GOM18_RS00665	MHL_RS00090
OG0000009	GOM18_RS00110	MHL_RS00770
OG0000010	GOM18_RS03360	MHL_RS01930
OG0000010	GOM18_RS03805	MHL_RS00100
OG0000011	GOM18_RS03250	MHL_RS04185
OG0000011	GOM18_RS03255	MHL_RS02020
OG0000012	GOM18_RS01865, GOM18_RS03340	MHL_RS03845
OG0000013	GOM18_RS02545	MHL_RS02470
OG0000013	GOM18_RS03935	MHL_RS03925
OG0000014	GOM18_RS03570, GOM18_RS01700	MHL_RS00590
OG0000015	GOM18_RS02565	MHL_RS01645, MHL_RS00685, MHL_RS01720
OG0000016	GOM18_RS01215	MHL_RS02885
OG0000016	GOM18_RS01280	MHL_RS00175
OG0000017	GOM18_RS01265	MHL_RS00160
OG0000017	GOM18_RS01205	MHL_RS02895
OG0000020	GOM18_RS04290	MHL_RS03545
OG0000020	GOM18_RS03770, GOM18_RS03765	MHL_RS03550
OG0000021	GOM18_RS03485	MHL_RS01835
OG0000021	GOM18_RS03345	MHL_RS03930
OG0000022	GOM18_RS03040	MHL_RS01740
OG0000022	GOM18_RS04500	MHL_RS01790
OG0000024	GOM18_RS03075	MHL_RS02790
OG0000024	GOM18_RS03225	MHL_RS01355
OG0000025	GOM18_RS04510	MHL_RS01745
OG0000025	GOM18_RS04505	MHL_RS01785
OG0000026	GOM18_RS02790	MHL_RS01445
OG0000027	GOM18_RS04335	MHL_RS03755
OG0000027	GOM18_RS04320	MHL_RS03360
OG0000028	GOM18_RS01870	MHL_RS02480
OG0000029	GOM18_RS01705	MHL_RS01165
OG0000029	GOM18_RS03580	MHL_RS00700
OG0000030	GOM18_RS04340	MHL_RS03335
OG0000030	GOM18_RS04325	MHL_RS03355
OG0000032	GOM18_RS02560	MHL_RS04000
OG0000032	GOM18_RS04565	MHL_RS03350
OG0000035	GOM18_RS00885	MHL_RS03210
OG0000035	GOM18_RS00900	MHL_RS03195
OG0000036	GOM18_RS03585	MHL_RS00120, MHL_RS00135
OG0000038	GOM18_RS03510	MHL_RS01870
OG0000039	GOM18_RS03565	MHL_RS01705
OG0000041	GOM18_RS00100	MHL_RS00760
OG0000041	GOM18_RS02975	MHL_RS01270
OG0000042	GOM18_RS01120	MHL_RS02985
OG0000043	GOM18_RS03285	MHL_RS01990
OG0000043	GOM18_RS03285	MHL_RS00625
OG0000044	GOM18_RS04585	MHL_RS04220
OG0000045	GOM18_RS03555	MHL_RS01710
OG0000046	GOM18_RS03880, GOM18_RS03875	MHL_RS04100
OG0000048	GOM18_RS02325	MHL_RS02170
OG0000049	GOM18_RS01035	MHL_RS03060
OG0000050	GOM18_RS01900	MHL_RS02510
OG0000051	GOM18_RS02100	MHL_RS02710
OG0000052	GOM18_RS00655	MHL_RS00080
OG0000053	GOM18_RS04480	MHL_RS01530
OG0000054	GOM18_RS01925	MHL_RS02535
OG0000055	GOM18_RS01245	MHL_RS00140
OG0000056	GOM18_RS00495	MHL_RS03530
OG0000057	GOM18_RS01135	MHL_RS02970
OG0000058	GOM18_RS00090	MHL_RS00610
OG0000059	GOM18_RS03660	MHL_RS00620
OG0000060	GOM18_RS03800	MHL_RS04115
OG0000061	GOM18_RS03350	MHL_RS01940
OG0000062	GOM18_RS00545	MHL_RS03580
OG0000063	GOM18_RS04295	MHL_RS03575
OG0000064	GOM18_RS00530	MHL_RS03565
OG0000065	GOM18_RS02395	MHL_RS02310
OG0000066	GOM18_RS02800	MHL_RS01435
OG0000067	GOM18_RS01630	MHL_RS00525
OG0000068	GOM18_RS03445	MHL_RS00735
OG0000069	GOM18_RS01240, GOM18_RS03140	MHL_RS02860
OG0000070	GOM18_RS01930	MHL_RS02540
OG0000071	GOM18_RS00820	MHL_RS03275
OG0000072	GOM18_RS04355	MHL_RS03280
OG0000073	GOM18_RS00135	MHL_RS00795
OG0000074	GOM18_RS04260	MHL_RS03950, MHL_RS04210
OG0000075	GOM18_RS01450	MHL_RS00345
OG0000076	GOM18_RS01465	MHL_RS00360
OG0000077	GOM18_RS01550	MHL_RS00450
