Orthogroup	MHP_98_genes	MHP_MHP691_genes
OG0000000	GOM18_RS02460	DR087_RS04815
OG0000000	GOM18_RS00685	DR087_RS03570
OG0000001	GOM18_RS03240	DR087_RS03325
OG0000001	GOM18_RS03230	DR087_RS03335
OG0000001	GOM18_RS03125	DR087_RS04015
OG0000001	GOM18_RS04125	DR087_RS03255
OG0000002	GOM18_RS02350	DR087_RS03810
OG0000002	GOM18_RS04550	DR087_RS04755
OG0000003	GOM18_RS03425	DR087_RS01665
OG0000004	GOM18_RS00895	DR087_RS00850
OG0000004	GOM18_RS00880	DR087_RS00840
OG0000005	GOM18_RS03145	DR087_RS00530
OG0000005	GOM18_RS03600	DR087_RS00540
OG0000005	GOM18_RS04540	DR087_RS04465
OG0000006	GOM18_RS01950	DR087_RS04360
OG0000006	GOM18_RS02495	DR087_RS04080
OG0000008	GOM18_RS03975	DR087_RS04355
OG0000009	GOM18_RS00665	DR087_RS00515
OG0000010	GOM18_RS03360	DR087_RS01605
OG0000010	GOM18_RS03805	DR087_RS03875
OG0000011	GOM18_RS03250	DR087_RS04590
OG0000011	GOM18_RS03255	DR087_RS01515
OG0000012	GOM18_RS03340	DR087_RS03740
OG0000013	GOM18_RS02545	DR087_RS01680
OG0000013	GOM18_RS03935	DR087_RS04185
OG0000014	GOM18_RS03570, GOM18_RS01700	DR087_RS03505
OG0000015	GOM18_RS04215	DR087_RS04110
OG0000015	GOM18_RS02565	DR087_RS00350, DR087_RS03240
OG0000016	GOM18_RS01215	DR087_RS01400
OG0000016	GOM18_RS01280	DR087_RS02395
OG0000017	GOM18_RS01265	DR087_RS02410
OG0000017	GOM18_RS01205	DR087_RS01410
OG0000020	GOM18_RS04290	DR087_RS04440
OG0000020	GOM18_RS03770, GOM18_RS03765	DR087_RS04445
OG0000021	GOM18_RS03345	DR087_RS03470, DR087_RS03640
OG0000021	GOM18_RS03065	DR087_RS02025
OG0000022	GOM18_RS03040	DR087_RS02045
OG0000022	GOM18_RS04500	DR087_RS04630
OG0000024	GOM18_RS03075	DR087_RS03250
OG0000025	GOM18_RS04510	DR087_RS04625
OG0000025	GOM18_RS04505	DR087_RS02095
OG0000026	GOM18_RS02790	DR087_RS01165
OG0000026	GOM18_RS03010	DR087_RS02075
OG0000027	GOM18_RS04335	DR087_RS04635
OG0000027	GOM18_RS04320	DR087_RS04475
OG0000028	GOM18_RS01870	DR087_RS04675, DR087_RS01670
OG0000029	GOM18_RS01705	DR087_RS02775
OG0000029	GOM18_RS03580	DR087_RS03175
OG0000030	GOM18_RS04340	DR087_RS04640
OG0000030	GOM18_RS04325	DR087_RS04470
OG0000031	GOM18_RS03625	DR087_RS03210
OG0000032	GOM18_RS02560	DR087_RS03235
OG0000032	GOM18_RS04565	DR087_RS00575
OG0000035	GOM18_RS00885	DR087_RS00855
OG0000035	GOM18_RS00900	DR087_RS00865
OG0000036	GOM18_RS03585	DR087_RS00550
OG0000037	GOM18_RS02550	DR087_RS04725
OG0000039	GOM18_RS03565	DR087_RS03190, DR087_RS03195
OG0000040	GOM18_RS00810	DR087_RS02165
OG0000041	GOM18_RS00100	DR087_RS03625
OG0000042	GOM18_RS01120	DR087_RS03360
OG0000043	GOM18_RS03285	DR087_RS01545
OG0000044	GOM18_RS04585	DR087_RS04800
OG0000045	GOM18_RS03555	DR087_RS03185
OG0000048	GOM18_RS02325	DR087_RS00140
OG0000049	GOM18_RS01035	DR087_RS01000
OG0000050	GOM18_RS01900	DR087_RS02450
OG0000051	GOM18_RS02100	DR087_RS01275
OG0000052	GOM18_RS00655	DR087_RS00505
OG0000053	GOM18_RS04480	DR087_RS04540
OG0000054	GOM18_RS01925	DR087_RS02475
OG0000055	GOM18_RS01245	DR087_RS00555
OG0000056	GOM18_RS00495	DR087_RS00765
OG0000057	GOM18_RS01135	DR087_RS01485
OG0000058	GOM18_RS00090	DR087_RS00275, DR087_RS00280
OG0000059	GOM18_RS03660	DR087_RS03825
OG0000060	GOM18_RS03800	DR087_RS00510
OG0000061	GOM18_RS03350	DR087_RS01595
OG0000062	GOM18_RS00545	DR087_RS00395
OG0000063	GOM18_RS04295	DR087_RS04450
OG0000064	GOM18_RS00530	DR087_RS00380
OG0000065	GOM18_RS02395	DR087_RS00215
OG0000066	GOM18_RS02800	DR087_RS01175
OG0000067	GOM18_RS01630	DR087_RS03450
