Orthogroup	MHP_98_genes	MHP_ES2L_genes
OG0000000	GOM18_RS04045	HZK19_RS03675
OG0000000	GOM18_RS04450	HZK19_RS02290, HZK19_RS03795
OG0000000	GOM18_RS03685	HZK19_RS01690
OG0000000	GOM18_RS00685	HZK19_RS01695
OG0000001	GOM18_RS03240	HZK19_RS03720
OG0000001	GOM18_RS03125	HZK19_RS02765
OG0000001	GOM18_RS04125	HZK19_RS03840
OG0000002	GOM18_RS04550	HZK19_RS01705
OG0000003	GOM18_RS03425	HZK19_RS01715
OG0000003	GOM18_RS03375	HZK19_RS01800
OG0000004	GOM18_RS00895	HZK19_RS03240
OG0000004	GOM18_RS00880	HZK19_RS03255
OG0000005	GOM18_RS03145	HZK19_RS00085
OG0000005	GOM18_RS03600	HZK19_RS00090
OG0000005	GOM18_RS04540	HZK19_RS00095, HZK19_RS00110
OG0000006	GOM18_RS01950	HZK19_RS02470
OG0000008	GOM18_RS02455	HZK19_RS03790
OG0000008	GOM18_RS03975	HZK19_RS03825
OG0000009	GOM18_RS00110	HZK19_RS00655
OG0000010	GOM18_RS03360	HZK19_RS01810
OG0000010	GOM18_RS04460	HZK19_RS03735
OG0000010	GOM18_RS04060	HZK19_RS03740
OG0000011	GOM18_RS03250	HZK19_RS03920
OG0000012	GOM18_RS01865, GOM18_RS03340	HZK19_RS01825
OG0000013	GOM18_RS02545	HZK19_RS02370
OG0000013	GOM18_RS03935	HZK19_RS03715
OG0000014	GOM18_RS03570, GOM18_RS01700	HZK19_RS00585
OG0000015	GOM18_RS02565	HZK19_RS01540, HZK19_RS03105
OG0000016	GOM18_RS01215	HZK19_RS02805
OG0000016	GOM18_RS01280	HZK19_RS00155
OG0000017	GOM18_RS01265	HZK19_RS00140
OG0000017	GOM18_RS01205	HZK19_RS02815
OG0000020	GOM18_RS04290	HZK19_RS03860
OG0000020	GOM18_RS03770	HZK19_RS03600
OG0000021	GOM18_RS03345	HZK19_RS01725
OG0000021	GOM18_RS03065	HZK19_RS00500
OG0000022	GOM18_RS03040	HZK19_RS01625
OG0000022	GOM18_RS04500	HZK19_RS01685
OG0000024	GOM18_RS03075	HZK19_RS02710
OG0000024	GOM18_RS03225	HZK19_RS01240
OG0000025	GOM18_RS04510	HZK19_RS01630
OG0000025	GOM18_RS04505	HZK19_RS01680
OG0000026	GOM18_RS02790	HZK19_RS01330
OG0000026	GOM18_RS03010	HZK19_RS01660
OG0000027	GOM18_RS04335	HZK19_RS03390
OG0000027	GOM18_RS04320	HZK19_RS03405
OG0000028	GOM18_RS01870	HZK19_RS02380
OG0000029	GOM18_RS01705	HZK19_RS01065
OG0000029	GOM18_RS03580	HZK19_RS00600
