Orthogroup	MHP_98_genes	MHP_168L_genes
OG0000000	GOM18_RS02340	MHP168L_RS02190
OG0000000	GOM18_RS04045	MHP168L_RS03890
OG0000000	GOM18_RS04450	MHP168L_RS02335, MHP168L_RS02340
OG0000000	GOM18_RS03685	MHP168L_RS03865
OG0000000	GOM18_RS00685	MHP168L_RS01715
OG0000001	GOM18_RS03240	MHP168L_RS01370
OG0000001	GOM18_RS03230	MHP168L_RS03950
OG0000001	GOM18_RS03125	MHP168L_RS02830
OG0000001	GOM18_RS04130	MHP168L_RS02780
OG0000001	GOM18_RS04125	MHP168L_RS02785
OG0000002	GOM18_RS02350	MHP168L_RS04010
OG0000002	GOM18_RS04550	MHP168L_RS01710
OG0000003	GOM18_RS01615	MHP168L_RS01860
OG0000003	GOM18_RS03425	MHP168L_RS00485
OG0000003	GOM18_RS03375	MHP168L_RS03875
OG0000004	GOM18_RS00895	MHP168L_RS03190
OG0000004	GOM18_RS00890	MHP168L_RS03195
OG0000004	GOM18_RS00880	MHP168L_RS03205
OG0000005	GOM18_RS03145	MHP168L_RS00090
OG0000005	GOM18_RS03600	MHP168L_RS00100
OG0000005	GOM18_RS04540	MHP168L_RS00105
OG0000006	GOM18_RS01950	MHP168L_RS02535, MHP168L_RS02530
OG0000008	GOM18_RS02455	MHP168L_RS02330
OG0000008	GOM18_RS03975	MHP168L_RS04025
OG0000009	GOM18_RS00095	MHP168L_RS00990
OG0000009	GOM18_RS00110	MHP168L_RS03915
OG0000010	GOM18_RS03360	MHP168L_RS01950
OG0000010	GOM18_RS04460	MHP168L_RS01650
OG0000010	GOM18_RS03805	MHP168L_RS00085
OG0000011	GOM18_RS03250	MHP168L_RS03995
OG0000011	GOM18_RS03255	MHP168L_RS02035
OG0000013	GOM18_RS02545	MHP168L_RS02430
OG0000013	GOM18_RS03935	MHP168L_RS03905
OG0000015	GOM18_RS04215	MHP168L_RS04080
OG0000015	GOM18_RS00005	MHP168L_RS03530
OG0000015	GOM18_RS02565	MHP168L_RS01270, MHP168L_RS01665
OG0000016	GOM18_RS01215	MHP168L_RS02870
OG0000016	GOM18_RS01280	MHP168L_RS00150
OG0000017	GOM18_RS01265	MHP168L_RS00135
OG0000017	GOM18_RS01205	MHP168L_RS02880
OG0000018	GOM18_RS04240	MHP168L_RS04065
OG0000019	GOM18_RS04575	MHP168L_RS04055
OG0000020	GOM18_RS04290	MHP168L_RS03590
OG0000020	GOM18_RS03770	MHP168L_RS03595
OG0000021	GOM18_RS03345	MHP168L_RS00495, MHP168L_RS01790, MHP168L_RS00490, MHP168L_RS02360
OG0000022	GOM18_RS03040	MHP168L_RS01775
OG0000022	GOM18_RS04500	MHP168L_RS01725
OG0000023	GOM18_RS00025	MHP168L_RS03545
OG0000024	GOM18_RS03075	MHP168L_RS02775
OG0000024	GOM18_RS03225	MHP168L_RS03940
OG0000025	GOM18_RS04510	MHP168L_RS01770
OG0000025	GOM18_RS04505	MHP168L_RS01730
OG0000026	GOM18_RS02790	MHP168L_RS01455
OG0000026	GOM18_RS03010	MHP168L_RS01750
OG0000027	GOM18_RS04335	MHP168L_RS03825
OG0000027	GOM18_RS04320	MHP168L_RS03345
OG0000029	GOM18_RS01705	MHP168L_RS00580
OG0000029	GOM18_RS03580	MHP168L_RS01050
OG0000030	GOM18_RS04340	MHP168L_RS03325
OG0000030	GOM18_RS04325	MHP168L_RS03340
OG0000031	GOM18_RS00085	MHP168L_RS03575
OG0000031	GOM18_RS03625	MHP168L_RS01830
OG0000032	GOM18_RS04565	MHP168L_RS03335
OG0000035	GOM18_RS00885	MHP168L_RS03200
OG0000035	GOM18_RS00900	MHP168L_RS03185
OG0000036	GOM18_RS03585	MHP168L_RS00110
OG0000037	GOM18_RS02550	MHP168L_RS01845
OG0000038	GOM18_RS03645	MHP168L_RS00480, MHP168L_RS01855
OG0000039	GOM18_RS03565	MHP168L_RS01815
OG0000040	GOM18_RS00810	MHP168L_RS03275
OG0000041	GOM18_RS00100	MHP168L_RS00985
OG0000041	GOM18_RS02975	MHP168L_RS03925
OG0000042	GOM18_RS01120	MHP168L_RS02970
OG0000043	GOM18_RS03285	MHP168L_RS02005
OG0000043	GOM18_RS03285	MHP168L_RS01210
OG0000044	GOM18_RS04585	MHP168L_RS04140
OG0000045	GOM18_RS03555	MHP168L_RS01810
OG0000047	GOM18_RS00015	MHP168L_RS03540
OG0000048	GOM18_RS02325	MHP168L_RS02210
OG0000049	GOM18_RS01035	MHP168L_RS03050
OG0000050	GOM18_RS01900	MHP168L_RS02475
OG0000051	GOM18_RS02100	MHP168L_RS04035, MHP168L_RS02685
OG0000052	GOM18_RS00655	MHP168L_RS00075
OG0000053	GOM18_RS04480	MHP168L_RS01540
OG0000054	GOM18_RS01925	MHP168L_RS02500
OG0000055	GOM18_RS01245	MHP168L_RS00115
OG0000056	GOM18_RS00495	MHP168L_RS03515
OG0000057	GOM18_RS01135	MHP168L_RS02955
OG0000058	GOM18_RS00090	MHP168L_RS01190
OG0000059	GOM18_RS03660	MHP168L_RS01200, MHP168L_RS01205
