Orthogroup	MHP_7422_genes	MFC_MF22_genes
OG0000000	MHL_RS03860	DR094_RS00005
OG0000000	MHL_RS02190	DR094_RS02820
OG0000001	MHL_RS03980, MHL_RS02845, MHL_RS03875, MHL_RS04080	DR094_RS00325, DR094_RS00330
OG0000002	MHL_RS02195	DR094_RS03815
OG0000002	MHL_RS01800	DR094_RS03610
OG0000003	MHL_RS02255	DR094_RS03820
OG0000007	MHL_RS02250	DR094_RS02850
OG0000007	MHL_RS02245	DR094_RS02845
OG0000007	MHL_RS02240	DR094_RS02840
OG0000011	MHL_RS02025, MHL_RS04185	DR094_RS03520
OG0000011	MHL_RS02020	DR094_RS02895
OG0000013	MHL_RS02470	DR094_RS00075, DR094_RS00080
OG0000013	MHL_RS03925	DR094_RS03050
OG0000014	MHL_RS00590, MHL_RS01170, MHL_RS00695	DR094_RS03555
OG0000016	MHL_RS02885	DR094_RS00380
OG0000017	MHL_RS00160	DR094_RS00975
OG0000017	MHL_RS02895	DR094_RS00390
OG0000020	MHL_RS03545	DR094_RS03600
OG0000020	MHL_RS03550	DR094_RS03595
OG0000022	MHL_RS01790	DR094_RS03605
OG0000023	MHL_RS01400, MHL_RS00675, MHL_RS03935	DR094_RS02170
OG0000024	MHL_RS02790, MHL_RS01355	DR094_RS00320
OG0000025	MHL_RS01785	DR094_RS01205
OG0000026	MHL_RS01445	DR094_RS02215
OG0000027	MHL_RS03755	DR094_RS01395
OG0000027	MHL_RS03360	DR094_RS03650
OG0000029	MHL_RS01165, MHL_RS00700	DR094_RS00545
OG0000030	MHL_RS03335, MHL_RS03355	DR094_RS03655
OG0000031	MHL_RS00630	DR094_RS02590
OG0000032	MHL_RS04000, MHL_RS03350	DR094_RS01390
OG0000039	MHL_RS01705	DR094_RS00485
OG0000042	MHL_RS02985	DR094_RS00490, DR094_RS00345
OG0000043	MHL_RS00625	DR094_RS02615
OG0000045	MHL_RS01710	DR094_RS03140, DR094_RS03135
OG0000048	MHL_RS02170	DR094_RS02695, DR094_RS02985
OG0000049	MHL_RS03060	DR094_RS03355
OG0000050	MHL_RS02510	DR094_RS03765
OG0000052	MHL_RS00080	DR094_RS01015
OG0000053	MHL_RS01530	DR094_RS03805
OG0000054	MHL_RS02535	DR094_RS00030
OG0000055	MHL_RS00140	DR094_RS03580, DR094_RS03850
OG0000056	MHL_RS03530	DR094_RS01180
OG0000057	MHL_RS02970	DR094_RS00465
OG0000062	MHL_RS03580	DR094_RS01125
