Orthogroup	MHP_7422_genes	MHP_UFV02_genes
OG0000000	MHL_RS02190	FEF31_RS01875, FEF31_RS01865
OG0000000	MHL_RS03905	FEF31_RS04515
OG0000000	MHL_RS02380	FEF31_RS02055
OG0000001	MHL_RS03980	FEF31_RS00940
OG0000001	MHL_RS02845	FEF31_RS02540
OG0000001	MHL_RS03875	FEF31_RS02495
OG0000001	MHL_RS04080	FEF31_RS02490
OG0000002	MHL_RS04055	FEF31_RS01945
OG0000002	MHL_RS02195	FEF31_RS04505
OG0000002	MHL_RS01800	FEF31_RS04455
OG0000003	MHL_RS01875	FEF31_RS01515
OG0000003	MHL_RS02255	FEF31_RS04510
OG0000003	MHL_RS03835	FEF31_RS01590
OG0000004	MHL_RS03205	FEF31_RS03760
OG0000004	MHL_RS03215	FEF31_RS03775
OG0000005	MHL_RS00105	FEF31_RS03370
OG0000005	MHL_RS00125	FEF31_RS04665
OG0000005	MHL_RS04205	FEF31_RS04660
OG0000005	MHL_RS00115	FEF31_RS03380
OG0000005	MHL_RS00130	FEF31_RS04670
OG0000006	MHL_RS03635	FEF31_RS02230
OG0000006	MHL_RS02420	FEF31_RS02090
OG0000006	MHL_RS02390	FEF31_RS02060
OG0000007	MHL_RS02250	FEF31_RS01925
OG0000007	MHL_RS02245	FEF31_RS01915
OG0000007	MHL_RS02240	FEF31_RS01910
OG0000008	MHL_RS02375	FEF31_RS02050
OG0000008	MHL_RS04180	FEF31_RS01300
OG0000008	MHL_RS04065	FEF31_RS02250
OG0000009	MHL_RS00755	FEF31_RS00325
OG0000009	MHL_RS00770	FEF31_RS00335
OG0000010	MHL_RS01930	FEF31_RS01600
OG0000011	MHL_RS04185	FEF31_RS01695
OG0000011	MHL_RS02020	FEF31_RS01690
OG0000013	MHL_RS02470	FEF31_RS02135
OG0000013	MHL_RS03925	FEF31_RS03455
OG0000014	MHL_RS00590	FEF31_RS00255
OG0000014	MHL_RS01170	FEF31_RS00745
OG0000014	MHL_RS00695	FEF31_RS04375
OG0000015	MHL_RS01645	FEF31_RS01295
OG0000015	MHL_RS00685	FEF31_RS01395
OG0000016	MHL_RS02885	FEF31_RS02580
OG0000016	MHL_RS00175	FEF31_RS03440
OG0000017	MHL_RS00160	FEF31_RS03425
OG0000017	MHL_RS02895	FEF31_RS02590
OG0000018	MHL_RS00665	FEF31_RS01415, FEF31_RS01420
OG0000020	MHL_RS03545	FEF31_RS03220
OG0000020	MHL_RS03550	FEF31_RS04270
OG0000022	MHL_RS01740	FEF31_RS01320
OG0000022	MHL_RS01790	FEF31_RS04450
OG0000023	MHL_RS00675, MHL_RS03935	FEF31_RS01405
OG0000024	MHL_RS02790	FEF31_RS02485
OG0000024	MHL_RS01355	FEF31_RS00930
OG0000025	MHL_RS01745	FEF31_RS04445
OG0000025	MHL_RS01785	FEF31_RS01370
OG0000026	MHL_RS01445	FEF31_RS01025
OG0000027	MHL_RS03755	FEF31_RS03015
OG0000027	MHL_RS03360	FEF31_RS04605
OG0000029	MHL_RS01165	FEF31_RS00735
OG0000029	MHL_RS00700	FEF31_RS00270
OG0000030	MHL_RS03335	FEF31_RS04590
OG0000030	MHL_RS03355	FEF31_RS04600
OG0000031	MHL_RS01685	FEF31_RS01265
OG0000031	MHL_RS00630	FEF31_RS01450
OG0000032	MHL_RS03350	FEF31_RS03020
OG0000034	MHL_RS04045	FEF31_RS01895
OG0000035	MHL_RS03210	FEF31_RS03765
OG0000036	MHL_RS00120	FEF31_RS03385
OG0000036	MHL_RS00135	FEF31_RS03400
OG0000039	MHL_RS01705	FEF31_RS01275
OG0000041	MHL_RS00760	FEF31_RS00330
OG0000042	MHL_RS02985	FEF31_RS02675
OG0000043	MHL_RS00625	FEF31_RS01455
OG0000044	MHL_RS04220	FEF31_RS04775
OG0000045	MHL_RS01710	FEF31_RS01280, FEF31_RS01285
OG0000046	MHL_RS04100	FEF31_RS02960, FEF31_RS02245
OG0000047	MHL_RS00650	FEF31_RS01435
OG0000048	MHL_RS02170	FEF31_RS01845
