Orthogroup	MHP_7422_genes	MFC_Ms42_genes
OG0000000	MHL_RS03860	MYF_RS01525
OG0000000	MHL_RS02190	MYF_RS03215
OG0000000	MHL_RS03905	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435
OG0000001	MHL_RS03980, MHL_RS02845, MHL_RS03875, MHL_RS04080	MYF_RS03415
OG0000002	MHL_RS04055, MHL_RS03865	MYF_RS01530
OG0000002	MHL_RS02195	MYF_RS01475
OG0000002	MHL_RS01800	MYF_RS03010
OG0000003	MHL_RS02255	MYF_RS01515
OG0000007	MHL_RS02250	MYF_RS01510
OG0000007	MHL_RS02245	MYF_RS01505
OG0000007	MHL_RS02240	MYF_RS01500
OG0000008	MHL_RS04180	MYF_RS01875
OG0000011	MHL_RS02025, MHL_RS04185	MYF_RS03310
OG0000011	MHL_RS02020	MYF_RS01270
OG0000013	MHL_RS02470	MYF_RS03170, MYF_RS01100
OG0000013	MHL_RS03925	MYF_RS03400
OG0000014	MHL_RS00590, MHL_RS01170, MHL_RS00695	MYF_RS00550
OG0000015	MHL_RS00685	MYF_RS03470
OG0000016	MHL_RS02885	MYF_RS00730
OG0000017	MHL_RS00160	MYF_RS03155
OG0000017	MHL_RS02895	MYF_RS00720
OG0000020	MHL_RS03545	MYF_RS03080
OG0000020	MHL_RS03550	MYF_RS03085
OG0000022	MHL_RS01790	MYF_RS03025
OG0000024	MHL_RS02790, MHL_RS01355	MYF_RS00790
OG0000025	MHL_RS01785	MYF_RS03030
OG0000026	MHL_RS01445	MYF_RS01715
OG0000027	MHL_RS03360	MYF_RS02825
OG0000029	MHL_RS01165, MHL_RS00700	MYF_RS00555
OG0000030	MHL_RS03335, MHL_RS03355	MYF_RS02820
OG0000031	MHL_RS00630	MYF_RS01215
OG0000032	MHL_RS04000	MYF_RS03490
OG0000032	MHL_RS03350	MYF_RS02815
OG0000039	MHL_RS01705	MYF_RS03160, MYF_RS00615
OG0000042	MHL_RS02985	MYF_RS00610, MYF_RS00765
OG0000043	MHL_RS00625	MYF_RS01240
OG0000045	MHL_RS01710	MYF_RS00630
OG0000047	MHL_RS00650	MYF_RS03335
OG0000048	MHL_RS02170	MYF_RS01350
OG0000049	MHL_RS03060	MYF_RS03265, MYF_RS03455
OG0000050	MHL_RS02510	MYF_RS01180
OG0000052	MHL_RS00080	MYF_RS00075
OG0000053	MHL_RS01530	MYF_RS01800
OG0000054	MHL_RS02535	MYF_RS01155
OG0000055	MHL_RS00140	MYF_RS03395, MYF_RS03525
OG0000056	MHL_RS03530	MYF_RS03060
OG0000057	MHL_RS02970	MYF_RS00645
OG0000062	MHL_RS03580	MYF_RS03115
OG0000063	MHL_RS03575	MYF_RS03110
OG0000064	MHL_RS03565	MYF_RS03100
OG0000065	MHL_RS02310	MYF_RS01575
OG0000066	MHL_RS01435	MYF_RS01705
OG0000068	MHL_RS00735	MYF_RS00590
OG0000069	MHL_RS02860	MYF_RS00755
OG0000070	MHL_RS02540	MYF_RS01135
OG0000071	MHL_RS03275	MYF_RS02760
OG0000072	MHL_RS03280	MYF_RS02765
OG0000073	MHL_RS00795	MYF_RS02005
OG0000074	MHL_RS04210	MYF_RS02195
OG0000075	MHL_RS00345	MYF_RS00305
OG0000076	MHL_RS00360	MYF_RS00320
OG0000077	MHL_RS00450	MYF_RS00410
OG0000078	MHL_RS01755	MYF_RS00880
OG0000079	MHL_RS02615	MYF_RS01050
OG0000080	MHL_RS03870	MYF_RS01000, MYF_RS03365
OG0000081	MHL_RS00340	MYF_RS00300
OG0000082	MHL_RS02460	MYF_RS01110
OG0000083	MHL_RS02095	MYF_RS01430
OG0000084	MHL_RS02120	MYF_RS01400
OG0000085	MHL_RS02125	MYF_RS01395
OG0000086	MHL_RS02135	MYF_RS01385
OG0000087	MHL_RS02150	MYF_RS01370
OG0000088	MHL_RS02155	MYF_RS01365
OG0000089	MHL_RS02165	MYF_RS01355
OG0000090	MHL_RS00075	MYF_RS00070
OG0000091	MHL_RS00060	MYF_RS00055
OG0000092	MHL_RS00045	MYF_RS00040
OG0000093	MHL_RS00040	MYF_RS00035
OG0000094	MHL_RS00035	MYF_RS00030
OG0000095	MHL_RS00010	MYF_RS00005
OG0000096	MHL_RS03615	MYF_RS03150
OG0000097	MHL_RS03595	MYF_RS03130
OG0000098	MHL_RS03585	MYF_RS03120
OG0000099	MHL_RS03535	MYF_RS03065
OG0000100	MHL_RS03520	MYF_RS03050
OG0000101	MHL_RS03515	MYF_RS03045
OG0000102	MHL_RS01780	MYF_RS03035
OG0000103	MHL_RS02275	MYF_RS01540
OG0000104	MHL_RS02280	MYF_RS01545
OG0000105	MHL_RS02295	MYF_RS01560
OG0000106	MHL_RS02305	MYF_RS01570
OG0000107	MHL_RS02315	MYF_RS01580
OG0000108	MHL_RS02320	MYF_RS01585
OG0000109	MHL_RS02325	MYF_RS01590
