Orthogroup	MHP_7422_genes	MHP_154B_genes
OG0000000	MHL_RS02190	NB624_RS02230
OG0000000	MHL_RS03905	NB624_RS02325
OG0000001	MHL_RS03980	NB624_RS01275, NB624_RS01270
OG0000001	MHL_RS02845	NB624_RS02960
OG0000001	MHL_RS04080	NB624_RS02915
OG0000002	MHL_RS04055	NB624_RS02340
OG0000002	MHL_RS03865	NB624_RS02335
OG0000002	MHL_RS02195	NB624_RS02245
OG0000002	MHL_RS01800	NB624_RS01730
OG0000003	MHL_RS03835	NB624_RS01835
OG0000004	MHL_RS03205	NB624_RS03355
OG0000005	MHL_RS00105	NB624_RS00100
OG0000005	MHL_RS00115	NB624_RS00105
OG0000006	MHL_RS03635	NB624_RS02650
OG0000006	MHL_RS02420	NB624_RS02495, NB624_RS02645
OG0000006	MHL_RS02390	NB624_RS02465
OG0000007	MHL_RS02245	NB624_RS02305
OG0000008	MHL_RS02375	NB624_RS02450
OG0000008	MHL_RS04180	NB624_RS01625, NB624_RS01635
OG0000008	MHL_RS04065	NB624_RS02665
OG0000009	MHL_RS00755	NB624_RS01015
OG0000009	MHL_RS00090	NB624_RS00085
OG0000009	MHL_RS00770	NB624_RS01000
OG0000010	MHL_RS01930, MHL_RS04125, MHL_RS00100	NB624_RS01855
OG0000011	MHL_RS04185	NB624_RS01955
OG0000011	MHL_RS02020	NB624_RS01950
OG0000012	MHL_RS03845	NB624_RS01870
OG0000013	MHL_RS02470	NB624_RS02540
OG0000013	MHL_RS03925	NB624_RS00185
OG0000014	MHL_RS00590	NB624_RS00595
OG0000014	MHL_RS01170	NB624_RS01090
OG0000014	MHL_RS00695	NB624_RS01080
OG0000015	MHL_RS01645	NB624_RS01620
OG0000015	MHL_RS01720	NB624_RS01565
OG0000016	MHL_RS02885	NB624_RS03000
OG0000016	MHL_RS00175	NB624_RS00170
OG0000017	MHL_RS00160	NB624_RS00155
OG0000017	MHL_RS02895	NB624_RS03010
OG0000018	MHL_RS01405	NB624_RS01315
OG0000020	MHL_RS03545	NB624_RS03690
OG0000020	MHL_RS03550	NB624_RS03695
OG0000022	MHL_RS01740	NB624_RS01660
OG0000022	MHL_RS01790	NB624_RS01715
OG0000023	MHL_RS00675, MHL_RS03935	NB624_RS01310
