Orthogroup	MHP_7422_genes	MHP_KM014_genes
OG0000001	MHL_RS02845	CIB43_RS03715
OG0000001	MHL_RS03875, MHL_RS04080	CIB43_RS03670
OG0000002	MHL_RS04055	CIB43_RS03100
OG0000002	MHL_RS03865	CIB43_RS04020
OG0000002	MHL_RS01800	CIB43_RS02610
OG0000003	MHL_RS03835	CIB43_RS02725
OG0000004	MHL_RS03205	CIB43_RS00290
OG0000005	MHL_RS00105	CIB43_RS00810
OG0000005	MHL_RS00125	CIB43_RS00830
OG0000006	MHL_RS03635	CIB43_RS03435
OG0000006	MHL_RS02420, MHL_RS02390	CIB43_RS03420
OG0000007	MHL_RS02250	CIB43_RS03095
OG0000007	MHL_RS02245	CIB43_RS03080
OG0000007	MHL_RS02240	CIB43_RS03075
OG0000008	MHL_RS02375	CIB43_RS03225
OG0000009	MHL_RS00090	CIB43_RS00790
OG0000009	MHL_RS00770	CIB43_RS01550
OG0000010	MHL_RS01930	CIB43_RS02735
OG0000010	MHL_RS00100	CIB43_RS00795
OG0000011	MHL_RS04185	CIB43_RS02850
OG0000014	MHL_RS00590	CIB43_RS01485
OG0000014	MHL_RS01170	CIB43_RS01955
OG0000015	MHL_RS00685	CIB43_RS00010
OG0000015	MHL_RS01720	CIB43_RS01220
OG0000016	MHL_RS02885	CIB43_RS03755
OG0000017	MHL_RS00160	CIB43_RS00855
OG0000017	MHL_RS02895	CIB43_RS03765
OG0000020	MHL_RS03550	CIB43_RS00635
OG0000021	MHL_RS01835	CIB43_RS01400
OG0000022	MHL_RS01790	CIB43_RS02590
OG0000023	MHL_RS00675, MHL_RS03935	CIB43_RS00020
OG0000024	MHL_RS01355	CIB43_RS02140
OG0000025	MHL_RS01785	CIB43_RS02585
OG0000027	MHL_RS03360	CIB43_RS00440
OG0000028	MHL_RS02480	CIB43_RS03325
OG0000030	MHL_RS03355	CIB43_RS00435
OG0000031	MHL_RS00630	CIB43_RS00065
OG0000035	MHL_RS03210	CIB43_RS00280
OG0000035	MHL_RS03195	CIB43_RS00270
OG0000036	MHL_RS00120	CIB43_RS00815
OG0000038	MHL_RS01870	CIB43_RS02625
OG0000039	MHL_RS01705	CIB43_RS02500
OG0000041	MHL_RS00760	CIB43_RS03980
OG0000042	MHL_RS02985	CIB43_RS03855
OG0000043	MHL_RS01990	CIB43_RS02825
OG0000043	MHL_RS00625	CIB43_RS00070
OG0000045	MHL_RS01710	CIB43_RS02520
OG0000047	MHL_RS01655	CIB43_RS01205
OG0000047	MHL_RS00650	CIB43_RS00045
OG0000048	MHL_RS02170	CIB43_RS02995
OG0000049	MHL_RS03060	CIB43_RS00150
OG0000051	MHL_RS02710	CIB43_RS03575
OG0000052	MHL_RS00080	CIB43_RS00775
OG0000053	MHL_RS01530	CIB43_RS02315
OG0000054	MHL_RS02535	CIB43_RS03395
OG0000055	MHL_RS00140	CIB43_RS00835
OG0000056	MHL_RS03530	CIB43_RS00630, CIB43_RS03960
OG0000057	MHL_RS02970	CIB43_RS03840
OG0000058	MHL_RS00610	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085
OG0000059	MHL_RS00620	CIB43_RS00080, CIB43_RS01165
OG0000060	MHL_RS04115	CIB43_RS00780
OG0000061	MHL_RS01940	CIB43_RS02745
OG0000062	MHL_RS03580	CIB43_RS00675
OG0000063	MHL_RS03575	CIB43_RS00660
OG0000064	MHL_RS03565	CIB43_RS00650
OG0000065	MHL_RS02310	CIB43_RS03145
OG0000068	MHL_RS00735	CIB43_RS01520
OG0000069	MHL_RS02860	CIB43_RS03740
OG0000070	MHL_RS02540	CIB43_RS03400
OG0000071	MHL_RS03275	CIB43_RS00360
OG0000072	MHL_RS03280	CIB43_RS00375
OG0000073	MHL_RS00795	CIB43_RS01580
OG0000075	MHL_RS00345	CIB43_RS01060
OG0000077	MHL_RS00450	CIB43_RS01330
OG0000078	MHL_RS01755	CIB43_RS02560
OG0000079	MHL_RS02615	CIB43_RS03480
OG0000080	MHL_RS03870	CIB43_RS03525
OG0000081	MHL_RS00340	CIB43_RS01055
OG0000082	MHL_RS02460	CIB43_RS03315
OG0000083	MHL_RS02095	CIB43_RS02935
OG0000084	MHL_RS02120	CIB43_RS02955
OG0000086	MHL_RS02135	CIB43_RS02970
OG0000087	MHL_RS02150	CIB43_RS02975
OG0000088	MHL_RS02155	CIB43_RS02980
OG0000089	MHL_RS02165	CIB43_RS02990
OG0000090	MHL_RS00075	CIB43_RS00770
OG0000091	MHL_RS00060	CIB43_RS00760
OG0000092	MHL_RS00045	CIB43_RS00745
OG0000093	MHL_RS00040	CIB43_RS00735
OG0000094	MHL_RS00035	CIB43_RS00730
OG0000095	MHL_RS00010	CIB43_RS00715
OG0000096	MHL_RS03615	CIB43_RS00700
OG0000097	MHL_RS03595	CIB43_RS00690
OG0000100	MHL_RS03520	CIB43_RS00610
OG0000101	MHL_RS03515	CIB43_RS00600
OG0000102	MHL_RS01780	CIB43_RS02580
OG0000103	MHL_RS02275	CIB43_RS03110
OG0000104	MHL_RS02280	CIB43_RS03120
OG0000105	MHL_RS02295	CIB43_RS03130
OG0000106	MHL_RS02305	CIB43_RS03140
OG0000107	MHL_RS02315	CIB43_RS03150
OG0000108	MHL_RS02320	CIB43_RS03155
OG0000109	MHL_RS02325	CIB43_RS03160
OG0000110	MHL_RS02450	CIB43_RS03290
OG0000111	MHL_RS02445	CIB43_RS03285
OG0000112	MHL_RS02435	CIB43_RS03280
OG0000113	MHL_RS02415	CIB43_RS03260
OG0000114	MHL_RS02405	CIB43_RS03245
OG0000115	MHL_RS02395	CIB43_RS03230
OG0000116	MHL_RS01380	CIB43_RS02165
OG0000117	MHL_RS01385	CIB43_RS02170
OG0000118	MHL_RS01420	CIB43_RS02205
OG0000119	MHL_RS01425	CIB43_RS02210
OG0000120	MHL_RS01440	CIB43_RS02230
OG0000121	MHL_RS01465	CIB43_RS02250
OG0000122	MHL_RS01470	CIB43_RS02255
OG0000123	MHL_RS01490	CIB43_RS02275
OG0000124	MHL_RS01495	CIB43_RS02280
OG0000125	MHL_RS01500	CIB43_RS02285
OG0000126	MHL_RS01510	CIB43_RS02295
OG0000127	MHL_RS01520	CIB43_RS02305
OG0000128	MHL_RS01535	CIB43_RS02320
OG0000129	MHL_RS01540	CIB43_RS02330
OG0000130	MHL_RS01550	CIB43_RS02335
OG0000131	MHL_RS01580	CIB43_RS02370
OG0000132	MHL_RS01595	CIB43_RS02385
OG0000133	MHL_RS00530	CIB43_RS01415
OG0000134	MHL_RS00535	CIB43_RS01425
OG0000135	MHL_RS00550	CIB43_RS01435
OG0000136	MHL_RS00555	CIB43_RS01440
OG0000137	MHL_RS00585	CIB43_RS01470
OG0000138	MHL_RS00710	CIB43_RS01495
OG0000139	MHL_RS00740	CIB43_RS01525
OG0000140	MHL_RS00745	CIB43_RS01540
OG0000141	MHL_RS02980	CIB43_RS03850
OG0000142	MHL_RS02975	CIB43_RS03845
OG0000143	MHL_RS02950	CIB43_RS03835
OG0000144	MHL_RS02940	CIB43_RS03815
OG0000145	MHL_RS02930	CIB43_RS03805
OG0000146	MHL_RS02920	CIB43_RS03790
OG0000147	MHL_RS02915	CIB43_RS03785
OG0000148	MHL_RS02900	CIB43_RS03780
OG0000149	MHL_RS02890	CIB43_RS03760
OG0000150	MHL_RS02875	CIB43_RS03745
OG0000151	MHL_RS02830	CIB43_RS03700
OG0000152	MHL_RS02825	CIB43_RS03695
OG0000153	MHL_RS02820	CIB43_RS03690
OG0000154	MHL_RS02810	CIB43_RS03680
OG0000155	MHL_RS02770	CIB43_RS03645
OG0000156	MHL_RS02760	CIB43_RS03635
OG0000157	MHL_RS02755	CIB43_RS03625
OG0000158	MHL_RS04195	CIB43_RS03620
OG0000159	MHL_RS02525	CIB43_RS03385
OG0000160	MHL_RS02520	CIB43_RS03380
OG0000161	MHL_RS02515	CIB43_RS03375
OG0000163	MHL_RS02500	CIB43_RS03370
OG0000164	MHL_RS01690	CIB43_RS02495
OG0000165	MHL_RS02015	CIB43_RS02840
OG0000166	MHL_RS02035	CIB43_RS02860
OG0000167	MHL_RS02050	CIB43_RS02875
OG0000168	MHL_RS04040	CIB43_RS02880
OG0000169	MHL_RS03055	CIB43_RS00130
OG0000171	MHL_RS03080	CIB43_RS00155
OG0000172	MHL_RS03085	CIB43_RS00160
OG0000173	MHL_RS03090	CIB43_RS00165
OG0000174	MHL_RS03095	CIB43_RS00170
OG0000175	MHL_RS03110	CIB43_RS00190
OG0000176	MHL_RS03160	CIB43_RS00235
OG0000177	MHL_RS03165	CIB43_RS00240
OG0000178	MHL_RS03170	CIB43_RS00245
OG0000179	MHL_RS03180	CIB43_RS00255
OG0000180	MHL_RS03185	CIB43_RS00260
OG0000181	MHL_RS03225	CIB43_RS00310
OG0000182	MHL_RS03235	CIB43_RS00320
OG0000183	MHL_RS03270	CIB43_RS00355
OG0000184	MHL_RS03310	CIB43_RS00430
OG0000185	MHL_RS03295	CIB43_RS00380
OG0000186	MHL_RS01605	CIB43_RS02400
OG0000187	MHL_RS01620	CIB43_RS02410
OG0000188	MHL_RS01630	CIB43_RS02425
OG0000189	MHL_RS02365	CIB43_RS03200
OG0000190	MHL_RS02360	CIB43_RS03195
OG0000191	MHL_RS02340	CIB43_RS03180
OG0000192	MHL_RS01300	CIB43_RS02085
OG0000193	MHL_RS01290	CIB43_RS02075
OG0000194	MHL_RS00780	CIB43_RS01560
OG0000195	MHL_RS00785	CIB43_RS01565
OG0000196	MHL_RS00805	CIB43_RS01585
OG0000197	MHL_RS00810	CIB43_RS01590
OG0000198	MHL_RS00825	CIB43_RS01605
OG0000199	MHL_RS00830	CIB43_RS01615
OG0000200	MHL_RS00840	CIB43_RS01630
OG0000201	MHL_RS00850	CIB43_RS01635
OG0000202	MHL_RS00905	CIB43_RS01690
OG0000203	MHL_RS00910	CIB43_RS01695
OG0000204	MHL_RS00915	CIB43_RS01700
OG0000205	MHL_RS00920	CIB43_RS01705
OG0000206	MHL_RS00940	CIB43_RS01735
OG0000207	MHL_RS00955	CIB43_RS01740
OG0000208	MHL_RS00960	CIB43_RS01745
OG0000209	MHL_RS00965	CIB43_RS01750
OG0000210	MHL_RS01010	CIB43_RS01800
OG0000211	MHL_RS01020	CIB43_RS01805
OG0000212	MHL_RS01030	CIB43_RS01815
OG0000213	MHL_RS01035	CIB43_RS01820
