Orthogroup	MHP_154B_genes	MHP_4284_genes
OG0000000	NB624_RS02330	ABLE99_RS02150
OG0000000	NB624_RS02230	ABLE99_RS02215
OG0000000	NB624_RS02220	ABLE99_RS02225
OG0000000	NB624_RS01720, NB624_RS01725	ABLE99_RS01670
OG0000001	NB624_RS01275, NB624_RS01270	ABLE99_RS01250
OG0000001	NB624_RS02960	ABLE99_RS02690
OG0000001	NB624_RS02915	ABLE99_RS02640
OG0000002	NB624_RS02340	ABLE99_RS02040
OG0000002	NB624_RS02335	ABLE99_RS02035
OG0000002	NB624_RS02245	ABLE99_RS02210
OG0000002	NB624_RS01730	ABLE99_RS01675
OG0000003	NB624_RS01755	ABLE99_RS00505
OG0000003	NB624_RS01835	ABLE99_RS01760
OG0000004	NB624_RS03355	ABLE99_RS03080
OG0000004	NB624_RS03360	ABLE99_RS03085
OG0000004	NB624_RS03175	ABLE99_RS02895
OG0000004	NB624_RS03195	ABLE99_RS02925
OG0000005	NB624_RS00100	ABLE99_RS00100
OG0000005	NB624_RS00105	ABLE99_RS00110
OG0000006	NB624_RS02650	ABLE99_RS02400
OG0000006	NB624_RS02495	ABLE99_RS02260
OG0000006	NB624_RS02465	ABLE99_RS02230
OG0000007	NB624_RS02305	ABLE99_RS02165
OG0000008	NB624_RS02450	ABLE99_RS02145
OG0000008	NB624_RS01625, NB624_RS01635	ABLE99_RS01590
OG0000008	NB624_RS02665	ABLE99_RS02405
OG0000009	NB624_RS00085	ABLE99_RS00085
OG0000009	NB624_RS01000	ABLE99_RS00995
OG0000010	NB624_RS01855	ABLE99_RS01770
OG0000011	NB624_RS01955	ABLE99_RS01865
OG0000011	NB624_RS01950	ABLE99_RS01860
OG0000012	NB624_RS02895, NB624_RS01075	ABLE99_RS02305
OG0000013	NB624_RS02540	ABLE99_RS02310
OG0000014	NB624_RS00595	ABLE99_RS00590
OG0000014	NB624_RS01080	ABLE99_RS01060
OG0000015	NB624_RS01565	ABLE99_RS01525
OG0000016	NB624_RS03000	ABLE99_RS02735
OG0000016	NB624_RS00170	ABLE99_RS00170
OG0000017	NB624_RS00155	ABLE99_RS00155
OG0000017	NB624_RS03010	ABLE99_RS02745
OG0000018	NB624_RS01315	ABLE99_RS01290
OG0000019	NB624_RS03190	ABLE99_RS02920
OG0000019	NB624_RS03180	ABLE99_RS02900
OG0000019	NB624_RS03200	ABLE99_RS02930
OG0000020	NB624_RS03690	ABLE99_RS03410
OG0000020	NB624_RS03695	ABLE99_RS03415
OG0000022	NB624_RS01660	ABLE99_RS01610
OG0000022	NB624_RS01715	ABLE99_RS01665
OG0000023	NB624_RS01310	ABLE99_RS01285
OG0000024	NB624_RS02910	ABLE99_RS02635
OG0000024	NB624_RS01265	ABLE99_RS01245
OG0000025	NB624_RS01665	ABLE99_RS01615
OG0000025	NB624_RS01710	ABLE99_RS01660
OG0000026	NB624_RS01355	ABLE99_RS01330
OG0000026	NB624_RS01690	ABLE99_RS01640
OG0000027	NB624_RS03505	ABLE99_RS03220
OG0000028	NB624_RS02565	ABLE99_RS02320
OG0000030	NB624_RS03495	ABLE99_RS03215
OG0000031	NB624_RS01595	ABLE99_RS01555
OG0000032	NB624_RS01570	ABLE99_RS01535
OG0000035	NB624_RS03370	ABLE99_RS03090
OG0000036	NB624_RS00120	ABLE99_RS00115
OG0000036	NB624_RS00125	ABLE99_RS00130
OG0000037	NB624_RS01585	ABLE99_RS01540
OG0000039	NB624_RS01605	ABLE99_RS01570, ABLE99_RS01565
OG0000040	NB624_RS03440	ABLE99_RS03165
OG0000041	NB624_RS01185	ABLE99_RS01155
OG0000043	NB624_RS01920	ABLE99_RS01830
OG0000044	NB624_RS01675	ABLE99_RS01625
OG0000044	NB624_RS01795	ABLE99_RS01720
OG0000045	NB624_RS01610	ABLE99_RS01575
OG0000048	NB624_RS02205	ABLE99_RS02015
OG0000049	NB624_RS03210	ABLE99_RS02940
OG0000050	NB624_RS02595	ABLE99_RS02350
OG0000051	NB624_RS02825	ABLE99_RS02550
OG0000052	NB624_RS00075	ABLE99_RS00075
OG0000053	NB624_RS01440	ABLE99_RS01415
OG0000054	NB624_RS02620	ABLE99_RS02375
OG0000055	NB624_RS00130	ABLE99_RS00135
OG0000056	NB624_RS03675	ABLE99_RS03395
OG0000057	NB624_RS03080	ABLE99_RS02815
OG0000061	NB624_RS01865	ABLE99_RS01780
OG0000062	NB624_RS03725	ABLE99_RS03445
OG0000063	NB624_RS03720	ABLE99_RS03440
OG0000064	NB624_RS03710	ABLE99_RS03430
OG0000065	NB624_RS02385	ABLE99_RS02085
OG0000066	NB624_RS01345	ABLE99_RS01320
OG0000067	NB624_RS00520	ABLE99_RS00520
OG0000068	NB624_RS01035	ABLE99_RS01015
OG0000069	NB624_RS02975	ABLE99_RS02710
OG0000070	NB624_RS02625	ABLE99_RS02380
OG0000071	NB624_RS03430	ABLE99_RS03155
OG0000072	NB624_RS03435	ABLE99_RS03160
OG0000073	NB624_RS00975	ABLE99_RS00970
OG0000074	NB624_RS00775	ABLE99_RS00775
OG0000075	NB624_RS00340	ABLE99_RS00340
OG0000076	NB624_RS00355	ABLE99_RS00355
OG0000077	NB624_RS00440	ABLE99_RS00440
OG0000078	NB624_RS01680	ABLE99_RS01630
OG0000079	NB624_RS02715	ABLE99_RS02455
OG0000080	NB624_RS02770	ABLE99_RS02500
OG0000081	NB624_RS00335	ABLE99_RS00335
OG0000083	NB624_RS02025	ABLE99_RS01935
OG0000084	NB624_RS02055	ABLE99_RS01965
OG0000085	NB624_RS02060	ABLE99_RS01970
OG0000086	NB624_RS02170	ABLE99_RS01980
OG0000087	NB624_RS02185	ABLE99_RS01995
OG0000088	NB624_RS02190	ABLE99_RS02000
OG0000089	NB624_RS02200	ABLE99_RS02010
OG0000090	NB624_RS00070	ABLE99_RS00070
OG0000091	NB624_RS00055	ABLE99_RS00055
OG0000092	NB624_RS00045	ABLE99_RS00040
OG0000093	NB624_RS00035	ABLE99_RS00035
OG0000094	NB624_RS00030	ABLE99_RS00030
OG0000095	NB624_RS00005	ABLE99_RS00005
OG0000096	NB624_RS03760	ABLE99_RS03480
OG0000097	NB624_RS03740	ABLE99_RS03460
OG0000098	NB624_RS03730	ABLE99_RS03450
OG0000099	NB624_RS03680	ABLE99_RS03400
OG0000100	NB624_RS03670	ABLE99_RS03385
OG0000101	NB624_RS03660	ABLE99_RS03380
