Orthogroup	MHP_154B_genes	MHP_MHP691_genes
OG0000000	NB624_RS02455	DR087_RS04815
OG0000001	NB624_RS01275	DR087_RS03325
OG0000001	NB624_RS02960	DR087_RS04015
OG0000001	NB624_RS02915	DR087_RS03255
OG0000002	NB624_RS02340, NB624_RS02335	DR087_RS03810
OG0000002	NB624_RS02245	DR087_RS04740
OG0000002	NB624_RS01730	DR087_RS04755
OG0000003	NB624_RS01750, NB624_RS00505	DR087_RS01665
OG0000003	NB624_RS02310	DR087_RS04220
OG0000004	NB624_RS03355	DR087_RS00850
OG0000005	NB624_RS00100	DR087_RS00530
OG0000005	NB624_RS00105	DR087_RS04465
OG0000006	NB624_RS02495	DR087_RS04080
OG0000007	NB624_RS02315	DR087_RS04205, DR087_RS04210
OG0000007	NB624_RS02305	DR087_RS03530
OG0000008	NB624_RS02665	DR087_RS04355
OG0000009	NB624_RS00085	DR087_RS00515
OG0000010	NB624_RS01855	DR087_RS01605, DR087_RS03875
OG0000011	NB624_RS01955	DR087_RS04590
OG0000011	NB624_RS01950	DR087_RS01515
OG0000012	NB624_RS02895, NB624_RS01075	DR087_RS03620
OG0000012	NB624_RS01870	DR087_RS03740
OG0000013	NB624_RS02540	DR087_RS01680
OG0000013	NB624_RS00185	DR087_RS04185
OG0000014	NB624_RS00595	DR087_RS03505
OG0000014	NB624_RS01080	DR087_RS03520
OG0000015	NB624_RS01565	DR087_RS00350
OG0000016	NB624_RS03000	DR087_RS01400
OG0000016	NB624_RS00170	DR087_RS02395
OG0000017	NB624_RS00155	DR087_RS02410
OG0000017	NB624_RS03010	DR087_RS01410
OG0000018	NB624_RS01315	DR087_RS04550
OG0000019	NB624_RS03180	DR087_RS03610
OG0000020	NB624_RS03690	DR087_RS04440
OG0000020	NB624_RS03695	DR087_RS04445
OG0000021	NB624_RS01765	DR087_RS02025
OG0000022	NB624_RS01660	DR087_RS02045
OG0000022	NB624_RS01715	DR087_RS04630
OG0000023	NB624_RS01310	DR087_RS01210, DR087_RS00330
OG0000024	NB624_RS02910	DR087_RS03250
OG0000025	NB624_RS01665	DR087_RS04625
OG0000025	NB624_RS01710	DR087_RS02095
OG0000026	NB624_RS01355	DR087_RS01165
OG0000026	NB624_RS01690	DR087_RS02075
OG0000027	NB624_RS03505	DR087_RS04635
OG0000028	NB624_RS02565	DR087_RS04675, DR087_RS01670
OG0000030	NB624_RS03495	DR087_RS04640
OG0000031	NB624_RS01595	DR087_RS03210
OG0000032	NB624_RS01570	DR087_RS03235
OG0000033	NB624_RS02560	DR087_RS04070
OG0000033	NB624_RS02550	DR087_RS01675
OG0000034	NB624_RS02260	DR087_RS04365
OG0000035	NB624_RS03370	DR087_RS00855
OG0000036	NB624_RS00120, NB624_RS00125	DR087_RS00550
OG0000037	NB624_RS01575	DR087_RS04725
OG0000039	NB624_RS01605	DR087_RS03190
OG0000040	NB624_RS03440	DR087_RS02165
OG0000041	NB624_RS01010	DR087_RS03625
OG0000042	NB624_RS03095	DR087_RS03360
OG0000043	NB624_RS01920	DR087_RS01545
OG0000044	NB624_RS01675	DR087_RS04800
OG0000045	NB624_RS01610	DR087_RS03185
OG0000048	NB624_RS02205	DR087_RS00140
OG0000049	NB624_RS03210	DR087_RS01000
OG0000050	NB624_RS02595	DR087_RS02450
OG0000051	NB624_RS02825	DR087_RS01275
OG0000052	NB624_RS00075	DR087_RS00505
OG0000053	NB624_RS01440	DR087_RS04540
OG0000054	NB624_RS02620	DR087_RS02475
OG0000055	NB624_RS00130	DR087_RS00555
OG0000056	NB624_RS03675	DR087_RS00765
OG0000057	NB624_RS03080	DR087_RS01485
